,method,Output,nCell,Batch_ASW_batch-RNA,graph_connectivity_batch-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,Batch_ASW_batch-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC
0,bindSC-louvain,Embedding,15021.0,0.9623587675993772,0.963276836158192,1.0,0.4381124634942612,0.9116290013892088,0.8589232303090728,1.0,0.4283863797728668,0.1605298351564184,0.0013647560082551,0.001464616203981,0.0012648958125291
1,GLUE-louvain,Embedding,15021.0,0.95533328053889,0.753904951811233,1.0,0.4106091235733715,0.768688653112958,0.994848786972416,1.0,0.0261976704975215,0.0651503823457934,0.0138139937420944,0.0141801477930896,0.0134478396910991
2,LIGER_INMF-louvain,Embedding,15021.0,0.8875910234428864,0.9704220671319376,1.0,0.4098044390377742,0.9056319091211412,0.9348620804253904,1.0,0.3981103102419319,0.1693656109992711,0.0003661540509952,0.0001997203914519,0.0005325877105385
3,LIGER_OINMF-louvain,Embedding,15021.0,0.9247443981210556,0.9162512462612163,1.0,0.4165956891424927,0.948382913521314,0.9853772017281488,1.0,0.4329307019881305,0.1665852946677527,0.0009320284934425,0.0007323081019905,0.0011317488848944
4,LIGER_UINMF-louvain,Embedding,15021.0,0.8964416394280761,0.97357926221336,1.0,0.3929913260942479,0.8821680876155428,0.9848786972416084,1.0,0.3968284220573432,0.2908629979586841,0.0002995805871779,0.0001331469276346,0.0004660142467212
5,MaxFuse-louvain,Embedding,15021.0,0.9332308467225844,0.976237952808242,1.0,0.449960420735531,0.8535999670151627,0.9938517779993352,1.0,0.3269108234864808,0.0840435821334941,0.016210638439518,0.015711337460888,0.0167099394181479
6,MultiMAP-louvain,Embedding,15021.0,0.8955884011700098,0.6003655699567962,1.0,0.4198479018230694,0.8591276647683427,0.6169397651202237,1.0,0.3013039248634082,0.1966189859106821,0.0008654550296251,0.0007988815658078,0.0009320284934425
7,pamona-louvain,Embedding,15021.0,0.8695234630748979,0.7902957793286807,1.0,0.4503810275589297,0.7645152476158737,0.5106344303752081,1.0,0.4563823068369603,0.4983140018770782,3.328673190866121e-05,0.0,6.657346381732241e-05
8,SCALEX-louvain,Embedding,15021.0,0.9453945469238278,0.9798936523762048,1.0,0.423629157929748,0.9478846377705976,0.9742439348620804,1.0,0.4435479514311282,0.1745389355508107,0.0022634977697889,0.0031955262632314,0.0013314692763464
9,SeuratV3_CCA-louvain,Embedding,15021.0,0.9686528389433052,0.7987703555998671,1.0,0.3983074864734348,0.7724025047055421,0.9325251020166274,1.0,0.0259925200987842,0.0962114238831807,0.0045602822714865,0.0063244790626456,0.0027960854803275
10,SeuratV4_RPCA-louvain,Embedding,15021.0,0.9680013426451451,0.799933532735128,1.0,0.3849958152297192,0.7921211430450511,0.9511465603190428,1.0,0.0252630234996067,0.106344221079637,0.0047600026629385,0.0074562279475401,0.0020637773783369
11,SIMBA-louvain,Embedding,15021.0,0.976582533102628,0.752575606513792,1.0,0.4092214684466806,0.8506620954197092,0.9996676636756398,1.0,0.0055909933796951,0.1007863961051248,0.0031622395313228,0.0033952466546834,0.0029292324079621
12,uniPort-louvain,Embedding,15021.0,0.9525382153212208,0.9759056164838816,1.0,0.4231802769735102,0.954337376033227,0.9307078763708874,1.0,0.4188790138960292,0.1120493267129677,0.0063244790626456,0.0053258771053857,0.0073230810199054
13,bindSC-louvain,Embedding,15021.0,0.9623587675993772,0.963276836158192,1.0,0.4381124634942612,0.9116290013892088,0.8589232303090728,1.0,0.4283863797728668,0.1605298351564184,0.0013647560082551,0.001464616203981,0.0012648958125291
14,GLUE-louvain,Embedding,15021.0,0.9595978859177834,0.7537387836490528,1.0,0.4212589118545049,0.7567669505631595,0.9993353273512796,1.0,0.0207727845993128,0.0621920824947552,0.0151454630184408,0.0158444843885227,0.0144464416483589
15,LIGER_INMF-louvain,Embedding,15021.0,0.8875910234428864,0.9704220671319376,1.0,0.4098044390377742,0.9056319091211412,0.9348620804253904,1.0,0.3981103102419319,0.1693656109992711,0.0003661540509952,0.0001997203914519,0.0005325877105385
16,LIGER_OINMF-louvain,Embedding,15021.0,0.9247443981210556,0.9162512462612163,1.0,0.4165956891424927,0.948382913521314,0.9853772017281488,1.0,0.4329307019881305,0.1665852946677527,0.0009320284934425,0.0007323081019905,0.0011317488848944
17,LIGER_UINMF-louvain,Embedding,15021.0,0.8964416394280761,0.97357926221336,1.0,0.3929913260942479,0.8821680876155428,0.9848786972416084,1.0,0.3968284220573432,0.2908629979586841,0.0002995805871779,0.0001331469276346,0.0004660142467212
18,MaxFuse-louvain,Embedding,15021.0,0.9388220024957454,0.9754071119973412,1.0,0.4344238519415899,0.8560282366744341,0.994848786972416,1.0,0.3032705990625379,0.0857070522678276,0.0148458824312628,0.0143798681845416,0.0153118966779841
19,MultiMAP-louvain,Embedding,15021.0,0.8955884011700098,0.6003655699567962,1.0,0.4198479018230694,0.8591276647683427,0.6169397651202237,1.0,0.3013039248634082,0.1966189859106821,0.0008654550296251,0.0007988815658078,0.0009320284934425
