"","method","Output","nCell","Batch_ASW_batch.RNA","Batch_ASW_site.RNA","graph_connectivity_batch.RNA","graph_connectivity_label.RNA","graph_connectivity_label.l1.RNA","graph_connectivity_cluster.RNA","graph_iLISI.RNA","ARI.RNA","ARI.l1.RNA","AMI.RNA","AMI.l1.RNA","graph_cLISI.RNA","graph_cLISI.l1.RNA","isolated_labels_ASW.RNA","isolated_labels_ASW.l1.RNA","Batch_ASW_batch.ATAC","Batch_ASW_site.ATAC","graph_connectivity_batch.ATAC","graph_connectivity_label.ATAC","graph_connectivity_label.l1.ATAC","graph_connectivity_cluster.ATAC","graph_iLISI.ATAC","ARI.ATAC","ARI.l1.ATAC","AMI.ATAC","AMI.l1.ATAC","graph_cLISI.ATAC","graph_cLISI.l1.ATAC","isolated_labels_ASW.ATAC","isolated_labels_ASW.l1.ATAC","FOSCTTM","nearest_cell_barcode","nearest_cell_barcode.RNA","nearest_cell_barcode.ATAC","nearest_cell_celltype","nearest_cell_celltype.RNA","nearest_cell_celltype.ATAC","nearest_cell_celltype.l1","nearest_cell_celltype.l1.RNA","nearest_cell_celltype.l1.ATAC"
"1","bindSC","Embedding",6781,NA,NA,1,0.892924877796175,0.939917697730142,1,NA,0.408752770908302,0.440757505752999,0.65134004374083,0.649741243470379,0.958034510853125,0.96388979556717,0.518890423918801,0.590925529573001,NA,NA,1,0.864775698639937,0.905135188242278,1,NA,0.367188219226711,0.349271228568828,0.647174056759954,0.630432282887483,0.969242753557447,0.987765225167842,0.516073579548871,0.598437126686911,0.120366104003263,0.00272821117829229,0.003096888364548,0.00235953399203657,0.535761687066804,0.52514378410264,0.546379590030969,0.732119156466598,0.71744580445362,0.746792508479575
"2","scglue","Embedding",6781,NA,NA,1,0.990238872742577,0.990291234056596,1,NA,0.678251525065581,0.544347299575684,0.841892665883215,0.755466955465814,0.99633782715819,0.999573502790352,0.633462728308751,0.607648214617537,NA,NA,1,0.978867531158765,0.974603530364538,1,NA,0.627631482639591,0.507347364214894,0.805230740380819,0.725002889072817,0.988939621741721,0.99624411924942,0.617924753417649,0.600352259904503,0.0357141575584391,0.00973307771715086,0.00973307771715086,0.00973307771715086,0.824804601091284,0.834980091431942,0.814629110750627,0.89418964754461,0.902964164577496,0.885415130511724
"3","LIGER_INMF","Embedding",6781,NA,NA,1,0.984796681415595,0.985041437921212,1,NA,0.589011099045324,0.483912848532872,0.813419771353641,0.73710374146208,0.994548959184904,0.999614827038242,0.619509277290658,0.615111935368358,NA,NA,1,0.939342596298165,0.967262778775336,1,NA,0.61499845507284,0.675641247501387,0.690742314989385,0.70317716189732,0.956743467558361,0.967815141446477,0.511325220860223,0.570738554050836,0.249800840377382,0.000884825247013715,0.000884825247013715,0.000884825247013715,0.283660227105147,0.459666715823625,0.107653738386669,0.529641645774959,0.754018581330187,0.305264710219732
"4","LIGER_OINMF","Embedding",6781,NA,NA,1,0.961927151861344,0.984409315321157,1,NA,0.549270487192415,0.495326228189045,0.779538081675378,0.732993469101302,0.989459438602372,0.997694034367584,0.585728556129445,0.546823204526327,NA,NA,1,0.890188591772108,0.954822286922709,1,NA,0.423994100734904,0.474311145799719,0.618815367732302,0.63629190195104,0.946523041072986,0.937943156026156,0.500270153232911,0.542370244858185,0.256310066897756,0.000589883498009143,0.000589883498009143,0.000589883498009143,0.377820380474856,0.355257336676007,0.400383424273706,0.563928624096741,0.552868308509069,0.574988939684412
"5","LIGER_UINMF","Embedding",6781,NA,NA,1,0.983239470052776,0.983483732225726,1,NA,0.625882993276144,0.470297466148101,0.830997905480229,0.728486088885401,0.995177791836312,0.999544273057801,0.615670289987951,0.58340647756471,NA,NA,1,0.933202452168529,0.969117184589316,1,NA,0.417607447288665,0.489154880284805,0.659686321952795,0.682755125016898,0.954681517898887,0.97234420911263,0.509153164237554,0.577981550349073,0.435603105313408,0.000589883498009143,0.000737354372511429,0.000442412623506857,0.177554932900752,0.306591948090252,0.048517917711252,0.336528535614216,0.447574104114437,0.225482967113995
"6","MaxFuse","Embedding",6781,NA,NA,1,0.975414845919049,0.992647366710317,1,NA,0.633014963322481,0.531841694541394,0.817665920884235,0.744734016023936,0.989103031950173,0.998060930571479,0.557767398423987,0.534325110345305,NA,NA,1,0.986588291269714,0.985187657300336,1,NA,0.586493837461122,0.491220513912111,0.765311302056345,0.698036739403703,0.985327698566997,0.991801765946063,0.529839055363359,0.511934269125154,0.100611944323123,0.00597257041734258,0.00604630585459372,0.00589883498009143,0.787494469842206,0.825836897212801,0.749152042471612,0.868824657130217,0.900457159710957,0.837192154549476
"7","pamona","Embedding",6781,NA,NA,1,0.509646967211364,0.698622821482409,1,NA,0.121017267750616,0.0969600227436348,0.33804626650825,0.296122389866628,0.888157963716006,0.820594183924955,0.42021606482262,0.453348089612497,NA,NA,1,0.112323219961133,0.189381479196379,1,NA,0.00885575837065953,0.0104822626968397,0.058817279279681,0.0513714242173675,0.696686356281258,0.538960278942497,0.421227007178387,0.446366643878808,0.511205361598215,0,0,0,0.097035835422504,0.102639728653591,0.0914319421914172,0.151821265300103,0.157498893968441,0.146143636631765
"8","SCALEX","Embedding",6781,NA,NA,1,0.98686296877301,0.991625086082172,1,NA,0.655906617084482,0.569023717480079,0.818343573107851,0.762812321478763,0.98835075617414,0.996195221693799,0.602280828815732,0.620898542185432,NA,NA,1,0.929815667868759,0.968461664116826,1,NA,0.494611120258645,0.580144488301903,0.605813746395987,0.639332128417235,0.94596980659734,0.939352284529609,0.510545087207868,0.552403728687511,0.123582082547545,0.003613036425306,0.003096888364548,0.004129184486064,0.606842648576906,0.69547264415278,0.518212653001032,0.768470727031411,0.829228727326353,0.70771272673647
"9","SeuratV3","Embedding",6781,NA,NA,1,0.996211864861282,0.995888394272075,1,NA,0.647918952812397,0.565869711663839,0.831029982759037,0.777236894942149,0.994025302953643,0.99920332671118,0.594076860490578,0.602653087292434,NA,NA,1,0.911618466495287,0.937775216192594,1,NA,0.468111010898875,0.353888938162542,0.742343614966524,0.659725359913641,0.987828020037606,0.995871476465351,0.614581127631581,0.646831723249851,0.0479940274839518,0.00479280342132429,0.006193776729096,0.00339183011355257,0.770461583837192,0.74900457159711,0.791918596077275,0.863589441085386,0.853856363368235,0.873322518802537
"10","SIMBA","Embedding",6781,NA,NA,1,0.991512396266721,0.990458448888562,1,NA,0.644543845750686,0.51315118341011,0.832305175388648,0.741399565561759,0.993303150329507,0.99933524127792,0.588151079830882,0.58591228314445,NA,NA,1,0.965476890206571,0.978672620488338,1,NA,0.593858844310728,0.550179875403444,0.707443031871704,0.68031763429684,0.967091718146714,0.981102597867612,0.531390798570367,0.564057478079935,0.0832682625258196,0.003096888364548,0.003096888364548,0.003096888364548,0.646954726441528,0.675269134345967,0.618640318537089,0.792655950449786,0.816546232119156,0.768765668780416
