"","method","Output","nCell","graph_connectivity_label.RNA","graph_connectivity_cluster.RNA","ARI.RNA","AMI.RNA","graph_connectivity_label.ATAC","graph_connectivity_cluster.ATAC","ARI.ATAC","AMI.ATAC","FOSCTTM","nearest_cell_barcode","nearest_cell_barcode.RNA","nearest_cell_barcode.ATAC","nearest_cell_celltype","nearest_cell_celltype.RNA","nearest_cell_celltype.ATAC","RNA","ATAC"
"1","GLUE","Embedding",34774,0.780016821721054,1,0.191533158828585,0.337822038345513,0.746012446245413,1,0.250491607537136,0.365520306471809,0.267585448242318,0.000230056939092425,0.000287571173865532,0.000172542704319319,0.38265658250417,0.374762753781561,0.390550411226779,"R10","A10"
"2","LIGER_OINMF","Embedding",34774,0.0577933232255647,1,-4.53600638606998e-05,-0.000317220169731273,0.0577933232255647,1,-4.53600638606998e-05,-0.000317220169731273,0,2.87571173865532e-05,2.87571173865532e-05,2.87571173865532e-05,0.0322367285903261,0.0322367285903261,0.0322367285903261,"R10","A10"
"3","MaxFuse","Embedding",34774,0.560445308590267,1,0.0694759230369988,0.0979003969064803,0.604206082073833,1,0.134865919873287,0.259585919821394,0.427206248460654,5.75142347731063e-05,5.75142347731063e-05,5.75142347731063e-05,0.180048311957209,0.135963651003623,0.224132972910795,"R10","A10"
"4","MultiMAP","Embedding",34774,0.295008480404311,1,0.0501819362086662,0.225618822245656,0.209347728022753,1,0.0446373474318643,0.207877339363994,0.267698059473291,0.000201299821705872,0.000258814056478979,0.000143785586932766,0.229179847012136,0.260481969287399,0.197877724736872,"R10","A10"
"5","SCALEX","Embedding",34774,0.290037468925636,1,0.0234018156505549,0.0620943384266751,0.248936378245342,1,0.0198421671484346,0.0308572832943316,0.395938592716087,8.62713521596595e-05,0.000115028469546213,5.75142347731063e-05,0.139587047794329,0.145942370736757,0.133231724851901,"R10","A10"
"6","SeuratV3_CCA","Embedding",34774,0.595345058842242,1,0.0470002323263415,0.121708597967419,0.626087862437985,1,0.179226262055567,0.284818602620921,0.42144102530491,0.000143785586932766,0.000172542704319319,0.000115028469546213,0.230977166848795,0.198510381319377,0.263443952378214,"R10","A10"
"7","SeuratV4_RPCA","Embedding",34774,0.601082817663982,1,0.0452330308596284,0.117824252925714,0.361955597939536,1,0.0852711410542158,0.160698637135674,0.422199287326288,0.000143785586932766,0.000143785586932766,0.000143785586932766,0.182435152700293,0.18487950767815,0.179990797722436,"R10","A10"
"8","uniPort","Embedding",34774,0.35686825862115,1,0.0286353349205252,0.0517031501162972,0.581610131422037,1,0.0963925717281559,0.172828102998037,0.40478670141289,7.18927934663829e-05,8.62713521596595e-05,5.75142347731063e-05,0.16811410824179,0.163599240812101,0.172628975671479,"R10","A10"
"9","GLUE","Embedding",34774,0.762211574758845,1,0.20912039452705,0.355395991648566,0.919941564751881,1,0.317409730305637,0.518307713509027,0.173540483423699,0.00166791280842008,0.001351584517168,0.00198424109967217,0.475326393282337,0.438085926266751,0.512566860297924,"R10","A100"
"10","LIGER_OINMF","Embedding",34774,0.0577933232255647,1,-4.53600638606998e-05,-0.000317220169731273,0.0577933232255647,1,-4.53600638606998e-05,-0.000317220169731273,0,2.87571173865532e-05,2.87571173865532e-05,2.87571173865532e-05,0.0322367285903261,0.0322367285903261,0.0322367285903261,"R10","A100"
"11","MaxFuse","Embedding",34774,0.72459813029624,1,0.182458569451402,0.270614831407818,0.914431721125392,1,0.360602367173556,0.547409744299177,0.322893894516485,0.000474492436878127,0.000488870995571404,0.000460113878184851,0.374777132340254,0.340369241387243,0.409185023293265,"R10","A100"
"12","MultiMAP","Embedding",34774,0.375137355923977,1,0.075743222370038,0.291922699195218,0.609206449826971,1,0.141514270788717,0.435446054894976,0.364010875784009,0.000388221084718468,0.000345085408638638,0.000431356760798298,0.310389946511762,0.230402024501064,0.390377868522459,"R10","A100"
"13","SCALEX","Embedding",34774,0.394244234091758,1,0.0446293345727362,0.112257979678669,0.700567662071153,1,0.162641294356851,0.305543455912521,0.338569907047278,0.000115028469546213,0.000172542704319319,5.75142347731063e-05,0.255147524012193,0.239000402599643,0.271294645424743,"R10","A100"
"14","SeuratV4_RPCA","Embedding",34774,0.610650200353527,1,0.0491356414316349,0.127406984313998,0.801479287636328,1,0.233017953638289,0.472659952537901,0.321024275016234,0.000488870995571404,0.000517628112957957,0.000460113878184851,0.342741703571634,0.260568240639558,0.42491516650371,"R10","A100"
"15","uniPort","Embedding",34774,0.689801113650138,1,0.155778147975202,0.244808871394179,0.573881548088708,1,0.0926600421165291,0.156208972481598,0.350646031114735,0.000258814056478979,0.000316328291252085,0.000201299821705872,0.241358486225341,0.24736872375913,0.235348248691551,"R10","A100"
"16","LIGER_INMF","Embedding",34774,0.941708237903879,1,0.424080191668781,0.619911357470659,0.395987486421744,1,0.0198778708068703,0.0473349581946458,0.385369738876939,8.62713521596595e-05,0.000172542704319319,0,0.28962730775867,0.375251624777132,0.204002990740208,"R100","A10"
"17","LIGER_OINMF","Embedding",34774,0.891927854614519,1,0.295902576452302,0.49604335169601,0.272260116384694,1,0.0035820696458344,0.0259548566977069,0.421919013765075,5.75142347731063e-05,0.000115028469546213,0,0.208891700695922,0.295651923851153,0.122131477540691,"R100","A10"
"18","MaxFuse","Embedding",34774,0.775494576175525,1,0.183024454754906,0.276572087923809,0.598924959630437,1,0.115737029574378,0.249341965372551,0.383566968882629,8.62713521596595e-05,0.000115028469546213,5.75142347731063e-05,0.224017944441249,0.200092022775637,0.247943866106861,"R100","A10"
"19","MultiMAP","Embedding",34774,0.561477701985815,1,0.0929631318114043,0.386325203874713,0.232931532969551,1,0.0575584702744388,0.231937045788609,0.232655354368349,0.000244435497785702,0.000373842526025191,0.000115028469546213,0.266348421234256,0.34465405187784,0.188042790590671,"R100","A10"
"20","SeuratV3_CCA","Embedding",34774,0.936496520020854,1,0.414205418755464,0.600489865706386,0.647164472456726,1,0.165396309067534,0.301298569440139,0.325077164573299,0.000215678380399149,0.000316328291252085,0.000115028469546213,0.260395697935239,0.314602864208892,0.206188531661586,"R100","A10"
"21","SeuratV4_RPCA","Embedding",34774,0.933182917791632,1,0.47160310007492,0.625857266649477,0.33823503675949,1,0.108474937642736,0.192231317573517,0.294207054847472,0.000316328291252085,0.000517628112957957,0.000115028469546213,0.280108701903721,0.363317421061713,0.19689998274573,"R100","A10"
"22","uniPort","Embedding",34774,0.273239858419951,1,0.0202404296687527,0.0519229545533396,0.856895515072297,1,0.394511272343594,0.535037499489599,0.343121790148238,0.000158164145626042,0.000115028469546213,0.000201299821705872,0.216627365272905,0.195232069937309,0.238022660608501,"R100","A10"
"23","GLUE","Embedding",34774,0.967379923322082,1,0.43804690503068,0.664568460736875,0.924216401581924,1,0.341219444328443,0.557998132381644,0.0452468726498392,0.0157301432104446,0.0157301432104446,0.0157301432104446,0.669580721228504,0.664519468568471,0.674641973888537,"R100","A100"
"24","LIGER_INMF","Embedding",34774,0.944216937032605,1,0.368799108709916,0.59637666768497,0.763874062130023,1,0.204913143017546,0.329078138285606,0.216036814373103,0.000445735319491574,0.000431356760798298,0.000460113878184851,0.426424915166504,0.525651348708805,0.327198481624202,"R100","A100"
"25","LIGER_OINMF","Embedding",34774,0.896878076420343,1,0.274216255170152,0.486705195354082,0.677528411779993,1,0.0709136698238475,0.15501237495894,0.307580841976311,0.000301949732558808,0.000431356760798298,0.000172542704319319,0.346206936216714,0.431155460976592,0.261258411456836,"R100","A100"
"26","LIGER_UINMF","Embedding",34774,0.9548292278095,1,0.354762911078783,0.602974637148911,0.789023245560993,1,0.147500699850953,0.271468497358247,0.275367095759289,0.000474492436878127,0.00063265658250417,0.000316328291252085,0.444096163800541,0.501150284695462,0.387042042905619,"R100","A100"
"27","MaxFuse","Embedding",34774,0.952045412460771,1,0.416381620289002,0.625859470338988,0.913248746468939,1,0.391403523405301,0.56838124294588,0.101436214247607,0.00895784206591131,0.00762063610743659,0.010295048024386,0.658710530856387,0.680911025478806,0.636510036233968,"R100","A100"
"28","MultiMAP","Embedding",34774,0.683331862410648,1,0.125547992145066,0.449763666013156,0.584822904110136,1,0.119057510821265,0.403572995324,0.124394515643427,0.000560763789037787,0.00054638523034451,0.000575142347731063,0.45440559038362,0.45603036751596,0.45278081325128,"R100","A100"
"29","SeuratV3_CCA","Embedding",34774,0.941076953526983,1,0.395339306282369,0.613046851364001,0.829260569702811,1,0.257085371671897,0.514880227689643,0.078537235673887,0.0022718122735377,0.00293322597342842,0.00161039857364698,0.606041870362915,0.5455512739403,0.666532466785529,"R100","A100"
"30","SeuratV4_RPCA","Embedding",34774,0.940395251021897,1,0.47827621761649,0.635979826813042,0.778048123300219,1,0.217638862747996,0.466169617777612,0.0879469669699425,0.00255938344740323,0.00345085408638638,0.00166791280842008,0.57003795939495,0.547276700983493,0.592799217806407,"R100","A100"
"31","uniPort","Embedding",34774,0.807962089814567,1,0.284992343348797,0.429410072390623,0.933666316242201,1,0.443090561982039,0.597693865475904,0.0970891819852635,0.00231494794961753,0.00192672686489906,0.002703169034336,0.541884741473515,0.534968654742049,0.548800828204981,"R100","A100"
"32","LIGER_INMF","Embedding",34774,0.943154612562834,1,0.403227345730074,0.613647084075731,0.585333166177382,1,0.0528626966843979,0.115643738054871,0.33324366450536,0.000258814056478979,0.000402599643411744,0.000115028469546213,0.305990107551619,0.400442859607753,0.211537355495485,"R100","A25"
"33","LIGER_OINMF","Embedding",34774,0.893151470174034,1,0.30003845008839,0.489470826259544,0.452199247070385,1,0.02812550091388,0.0522116729066968,0.380363216864599,0.000129407028239489,0.000230056939092425,2.87571173865532e-05,0.282049807327313,0.388249841835854,0.175849772818773,"R100","A25"
"34","LIGER_UINMF","Embedding",34774,0.95565509911997,1,0.387713009923404,0.603939609713468,0.601733740231794,1,0.0240356585510244,0.0812386465981663,0.368573897781635,0.000258814056478979,0.000258814056478979,0.000258814056478979,0.326723989187324,0.397538390751711,0.255909587622937,"R100","A25"
"35","MaxFuse","Embedding",34774,0.896446573879551,1,0.362318933055317,0.474051628818099,0.839409065265248,1,0.284564721328642,0.44157550344433,0.255048470156915,0.000575142347731063,0.000431356760798298,0.000718927934663829,0.460473342152183,0.426468050842584,0.494478633461782,"R100","A25"
"36","MultiMAP","Embedding",34774,0.622831239572638,1,0.116868360855152,0.423280932447491,0.411732914035706,1,0.0908301725298917,0.334163902065274,0.160627943537898,0.000402599643411744,0.000603899465117617,0.000201299821705872,0.368004831195721,0.418387300856962,0.31762236153448,"R100","A25"
"37","SeuratV3_CCA","Embedding",34774,0.935960850398348,1,0.377674103158785,0.59023563487861,0.783354616917449,1,0.247397052483447,0.464053104510652,0.103152124499321,0.00146661298671421,0.00186921263012596,0.00106401334330247,0.556493357105884,0.531374015068729,0.581612699143038,"R100","A25"
"38","SeuratV4_RPCA","Embedding",34774,0.935348488884354,1,0.447142858483611,0.617101842896363,0.687275187563472,1,0.19148613159844,0.391221560114746,0.134269172966574,0.00132282739978145,0.00181169839535285,0.000833956404210042,0.480876516937942,0.492063035601311,0.469689998274573,"R100","A25"
"39","uniPort","Embedding",34774,0.61987261803693,1,0.151019083746645,0.268949563315136,0.926907470616398,1,0.42382219852832,0.579356973025706,0.195193851435555,0.000905849197676425,0.000690170817277276,0.00112152757807557,0.418286650946109,0.382958532236729,0.45361476965549,"R100","A25"
"40","LIGER_INMF","Embedding",34774,0.941144898078303,1,0.411346300662688,0.609739134366131,0.693778724589015,1,0.13868941196236,0.210493934033936,0.288076172051668,0.000460113878184851,0.000517628112957957,0.000402599643411744,0.392822223500316,0.498533387013286,0.287111059987347,"R100","A50"
"41","LIGER_OINMF","Embedding",34774,0.891671152140007,1,0.260433446936119,0.485104432097543,0.572865748635051,1,0.0543505320315186,0.08855788353959,0.34338547217422,0.000143785586932766,0.000230056939092425,5.75142347731063e-05,0.316400184045551,0.410910450336458,0.221889917754644,"R100","A50"
"42","LIGER_UINMF","Embedding",34774,0.950624445596403,1,0.386775965341683,0.608469349628027,0.707726520342586,1,0.093098885818457,0.18679130380473,0.325179745876792,0.000431356760798298,0.000661413699890723,0.000201299821705872,0.390449761315926,0.480272617472825,0.300626905159027,"R100","A50"
"43","MaxFuse","Embedding",34774,0.931721606718304,1,0.421508605670535,0.586607839309886,0.881405620240549,1,0.329160309178314,0.503851288848058,0.157559524628029,0.00258814056478979,0.00218554092137804,0.00299074020820153,0.583309369068844,0.583366883303618,0.583251854834071,"R100","A50"
"44","MultiMAP","Embedding",34774,0.628894717816839,1,0.128856348465317,0.438430135357727,0.482504750657788,1,0.103749965827711,0.366504951502736,0.139028474653591,0.000603899465117617,0.000661413699890723,0.00054638523034451,0.425317766147121,0.462184390636683,0.38845114165756,"R100","A50"
"45","SeuratV3_CCA","Embedding",34774,0.938032951433848,1,0.37191931850207,0.596687787204776,0.801131453073236,1,0.249584153188293,0.498641105791769,0.0869785313059553,0.00191234830620579,0.00247311209524357,0.001351584517168,0.575012940702824,0.5455512739403,0.604474607465348,"R100","A50"
"46","SeuratV4_RPCA","Embedding",34774,0.935681075471024,1,0.387403871908665,0.606317379818932,0.781529735104895,1,0.22292450186421,0.452359471999104,0.0979369930615313,0.00232932650831081,0.00322079714729396,0.00143785586932766,0.546485880255363,0.530051187668948,0.562920572841778,"R100","A50"
"47","uniPort","Embedding",34774,0.78897678884974,1,0.257591808350566,0.389301233889539,0.941974364725888,1,0.426644021457003,0.58998641184737,0.128792982243867,0.00211364812791166,0.00158164145626042,0.00264565479956289,0.524371656985104,0.494449876344395,0.554293437625812,"R100","A50"
"48","LIGER_INMF","Embedding",34774,0.94246107515297,1,0.366873423701198,0.597190104179832,0.730060041450915,1,0.157155101937366,0.276781542922489,0.238242189783088,0.00050324955426468,0.00063265658250417,0.000373842526025191,0.403893713694139,0.479064818542589,0.328722608845689,"R100","A75"
"49","LIGER_OINMF","Embedding",34774,0.899251078873856,1,0.3068031174596,0.497003799813443,0.642054362452236,1,0.0688077916165236,0.115058315041945,0.322297629241543,0.000273192615172255,0.000316328291252085,0.000230056939092425,0.333122447805832,0.420515327543567,0.245729568068097,"R100","A75"
"50","LIGER_UINMF","Embedding",34774,0.954239976187283,1,0.370000298896783,0.607105301772703,0.761772282701848,1,0.135539643059292,0.25813304313197,0.295210254752004,0.000474492436878127,0.00054638523034451,0.000402599643411744,0.403706792431127,0.467935814113993,0.33947777074826,"R100","A75"
"51","MaxFuse","Embedding",34774,0.945530207465719,1,0.446843135701821,0.630520157313457,0.901678199113692,1,0.357285051772952,0.542445553637717,0.117208351913047,0.00661413699890723,0.00595272329901651,0.00727555069879795,0.644346350721804,0.661873813768908,0.6268188876747,"R100","A75"
"52","MultiMAP","Embedding",34774,0.679400727578804,1,0.135675360159299,0.456886382212877,0.544152055548953,1,0.115816673733995,0.395115720309823,0.131963964263849,0.000603899465117617,0.000776442169436936,0.000431356760798298,0.42641053660781,0.446137919134986,0.406683154080635,"R100","A75"
"53","SeuratV4_RPCA","Embedding",34774,0.941423358499063,1,0.459317917526111,0.625261558103497,0.768138967890721,1,0.218711619560786,0.462794859213854,0.0915229241098333,0.00225743371484442,0.00296198309081498,0.00155288433887387,0.557054120894922,0.544199689423132,0.569908552366711,"R100","A75"
"54","uniPort","Embedding",34774,0.782827212383721,1,0.289736473243819,0.423350352295117,0.935249727196867,1,0.427754888151216,0.59162445926768,0.106022491519231,0.00238684074308391,0.00247311209524357,0.00230056939092425,0.528138839362742,0.519899925231495,0.53637775349399,"R100","A75"
"55","GLUE","Embedding",34774,0.909302889567311,1,0.343594860759069,0.54461516949179,0.919235316489302,1,0.414604986627615,0.572903968803921,0.0973192562907637,0.00552136653821821,0.00572266635992408,0.00532006671651234,0.602892966009087,0.575228619083223,0.630557312934951,"R25","A100"
