,method,rna_n_features,adt_n_features,rna_raw_nzero_ratio_celltype,rna_raw_nzero_ratio_cell,rna_knn_nzero_ratio_celltype,rna_knn_nzero_ratio_cell,rna_raw_celltype_cor,rna_raw_cell_cor,rna_knn_celltype_cor,rna_knn_cell_cor,adt_raw_nzero_ratio_celltype,adt_raw_nzero_ratio_cell,adt_raw_celltype_cor,adt_raw_cell_cor
0,MIDAS-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.9397802775877292,0.9074109690140684,0.94596756810325,0.9419308843491784,0.9996072270227808,0.7103714585220101,0.906402438571316,0.827570381506054
1,MIDAS-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.9384582310879032,0.9055471251561577,0.9417956259842925,0.9396003294200947,0.9996072270227808,0.7103714585220101,0.90409311257709,0.8249288745103943
2,MIDAS-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.9284469624180448,0.900152850904263,0.9322141577433002,0.933962264238926,0.9996072270227808,0.7103714585220101,0.8931773705365238,0.8071229308628812
3,MIDAS-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.9289274876856976,0.8960076492742794,0.9324064592786426,0.9296772233341196,0.9996072270227808,0.7103714585220101,0.8648679054608577,0.7855429917286343
4,MIDAS-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.9292026039599504,0.9078870724833684,0.9322371986286256,0.9420979225191912,0.9996072270227808,0.7103714585220101,0.9212216203613756,0.8351426591415386
5,sciPENN-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.5812880150734255,0.5137319553102907
6,sciPENN-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.5790022941557503,0.5122767001529703
7,sciPENN-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.5731641535211175,0.5135841556259826
8,sciPENN-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.5782022523622752,0.5098615886486563
9,sciPENN-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.579895209046338,0.5138472033464884
10,scVAEIT-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.5109737832470808,0.5206611909669971,0.5153567942432243,0.5377387720083674,0.9996072270227808,0.7103714585220101,0.2875382649077462,0.3546975679176016
11,scVAEIT-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.6111944478559272,0.5732335477637969,0.6174234106018361,0.5975683930208779,0.9996072270227808,0.7103714585220101,0.1669196584670161,0.1680100785888705
12,scVAEIT-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.5530471932804906,0.5740621794235606,0.5577848407433752,0.5935947974522104,0.9996072270227808,0.7103714585220101,0.3925685642440894,0.4011253670786033
13,scVAEIT-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.1571813757415544,0.1664633192589989,0.1585758333282049,0.1722471475354394,0.9996072270227808,0.7103714585220101,0.391578138961941,0.4253934582085768
14,scVAEIT-louvain,13953.0,134,0.7390845960310366,0.0845854876460729,0.9022526753348646,0.4597455336800778,0.5861472116335449,0.5737330386240522,0.591677772362126,0.5962677966397105,0.9996072270227808,0.7103714585220101,0.2024876444456322,0.2178910042692275
15,totalVI-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.6950908464468163,0.5553995854738902
16,totalVI-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.5428821795621896,0.4343437437763728
17,totalVI-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.6592685698579228,0.537576497227259
18,totalVI-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.6224083811669598,0.449814939389236
19,totalVI-louvain,,134,,,,,,,,,0.9996072270227808,0.7103714585220101,0.6907274785804485,0.5197341656543261
20,StabMap-louvain,600.0,134,0.7258209626630682,0.145956770839714,0.8820512820512821,0.4243974828590213,0.5953126268840219,0.585020781194302,0.5957279919627274,0.5955024854357781,0.9995951417004048,0.7065456282847586,0.515071051999531,0.4512866400056304
21,StabMap-louvain,600.0,134,0.7258209626630682,0.145956770839714,0.8820512820512821,0.4243974828590213,0.5953126268840219,0.585020781194302,0.5957279919627274,0.5955024854357781,0.9995951417004048,0.7065456282847586,0.515071051999531,0.4512866400056304
22,StabMap-louvain,600.0,134,0.7258209626630682,0.145956770839714,0.8820512820512821,0.4243974828590213,0.5953126268840219,0.585020781194302,0.5957279919627274,0.5955024854357781,0.9995951417004048,0.7065456282847586,0.515071051999531,0.4512866400056304
23,StabMap-louvain,600.0,134,0.7258209626630682,0.145956770839714,0.8820512820512821,0.4243974828590213,0.5953126268840219,0.585020781194302,0.5957279919627274,0.5955024854357781,0.9995951417004048,0.7065456282847586,0.515071051999531,0.4512866400056304
24,StabMap-louvain,600.0,134,0.7258209626630682,0.145956770839714,0.8820512820512821,0.4243974828590213,0.5953126268840219,0.585020781194302,0.5957279919627274,0.5955024854357781,0.9995951417004048,0.7065456282847586,0.515071051999531,0.4512866400056304
