,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,MIDAS-louvain,Embedding,21500.0,0.9434714921270504,0.9434714921270504,0.9642605567705212,0.95120983435612,0.6994087925821726,0.5689778316085411,0.5268656956254429,0.7581313092662839,0.7310559737866574,0.9902263018223014,0.9974816614770472,0.5365713746286929,0.5620988673181273
1,MIDAS-louvain,Embedding,21500.0,0.9031347765643328,0.9031347765643328,0.9577041630228854,0.9533340417631536,0.3969362766091722,0.5617150008164055,0.5747817548078125,0.747051734518038,0.7413908602586461,0.9906099072247642,0.997780377380344,0.5497316608089022,0.5628058351343498
2,MIDAS-louvain,Embedding,21500.0,0.9393774384618296,0.9393774384618296,0.9733946013301108,0.9513230473819588,0.5642813208323845,0.4714534580641063,0.4833203753723045,0.7398315486783452,0.7187268502680987,0.990544937681728,0.9975127278145104,0.5465305837569758,0.5663716080132872
3,MIDAS-louvain,Embedding,21500.0,0.8851692265052772,0.8851692265052772,0.9607041598793608,0.955546830598236,0.3722021635735413,0.4706490509651767,0.5025108291488061,0.7380709695010313,0.7240068483382662,0.9893347794885008,0.9978495536393944,0.5528716556727886,0.5681475231889636
4,MIDAS-louvain,Embedding,21500.0,0.9462294190340697,0.9462294190340697,0.9554611473484192,0.949192305255686,0.7147531477979645,0.5030151885543973,0.4976146258219165,0.7390502364484622,0.7176401459302799,0.990371133165281,0.9980333345544704,0.5386800093110651,0.5622284084034618
5,multigrate-louvain,Embedding,21500.0,0.6405560543805119,0.6405560543805119,0.7962756800142591,0.8371164084785481,2.220446049250313e-16,0.3328940344164491,0.2982054912670537,0.6959063870694396,0.6449228313943808,0.9916045317044048,0.9993819223266984,0.6551048578694463,0.5981054546311497
6,multigrate-louvain,Embedding,21500.0,0.6405560543805119,0.6405560543805119,0.7962756800142591,0.8371164084785481,2.220446049250313e-16,0.3328940344164491,0.2982054912670537,0.6959063870694396,0.6449228313943808,0.9916045317044048,0.9993819223266984,0.6551048578694463,0.5981054546311497
7,multigrate-louvain,Embedding,21500.0,0.6405560543805119,0.6405560543805119,0.7962756800142591,0.8371164084785481,2.220446049250313e-16,0.3328940344164491,0.2982054912670537,0.6959063870694396,0.6449228313943808,0.9916045317044048,0.9993819223266984,0.6551048578694463,0.5981054546311497
8,multigrate-louvain,Embedding,21500.0,0.6405560543805119,0.6405560543805119,0.7962756800142591,0.8371164084785481,2.220446049250313e-16,0.3328940344164491,0.2982054912670537,0.6959063870694396,0.6449228313943808,0.9916045317044048,0.9993819223266984,0.6551048578694463,0.5981054546311497
9,multigrate-louvain,Embedding,21500.0,0.6405560543805119,0.6405560543805119,0.7962756800142591,0.8371164084785481,2.220446049250313e-16,0.3328940344164491,0.2982054912670537,0.6959063870694396,0.6449228313943808,0.9916045317044048,0.9993819223266984,0.6551048578694463,0.5981054546311497
10,scmomat-louvain,Embedding,21500.0,0.7164665003499691,0.7164665003499691,0.8356104276264369,0.9114861605392636,0.0072034786278312,0.3288946421700072,0.3681521615038264,0.6324673037248258,0.6351249163680547,0.9713036646409056,0.9825885168810532,0.5651210839860141,0.5105691622185986
