,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,MIDAS-louvain,Embedding,31965.0,0.9396998820833034,0.9396081536753856,0.952570968176406,0.943921995362856,0.5935873149455559,0.6127996719084637,0.5923545410023331,0.7479648119823425,0.7454116691523222,0.9893094918239588,0.998242066616243,0.5260393228381872,0.5635511587373913
1,MIDAS-louvain,Embedding,31965.0,0.9180109091395842,0.8798853701414696,0.9525054387159408,0.945016552630816,0.491392062784039,0.407923864771022,0.43503676437119,0.7008651572020376,0.7023820531384459,0.9907656516637492,0.9986247374435416,0.5415554046630859,0.5639561935211532
2,MIDAS-louvain,Embedding,31965.0,0.934199886429353,0.9443889643204184,0.96460250881415,0.9433089319000396,0.5668974850742903,0.4673199754100636,0.5108696577205244,0.7329145648257764,0.7406591842688963,0.9902998006761468,0.9981842398595956,0.5453489944338799,0.567543686972931
3,MIDAS-louvain,Embedding,31965.0,0.915545149344735,0.8741470740893693,0.9521408126380648,0.946851481630996,0.4733805390922438,0.4746886434072917,0.464097888159931,0.7103357153141213,0.6985941501011325,0.990062522287236,0.9981127420445954,0.5405531078577042,0.5679482573643326
4,MIDAS-louvain,Embedding,31965.0,0.9382544122502864,0.9455615937570568,0.9562423738713536,0.9435223633258476,0.6174733324621584,0.4287963046701327,0.5071524621239627,0.7252514052198135,0.7363179769060133,0.9896401354932224,0.998623643588345,0.5391381569206715,0.5636226424947381
5,multigrate-louvain,Embedding,31965.0,0.5936065616270989,0.5936065616270989,0.6004234678806423,0.6845539556259972,1.1102230246251563e-16,0.3006891868012747,0.2957560264534758,0.647188926471217,0.6300136072965273,0.990904793685074,0.9992053941324066,0.563879705965519,0.5772973289713264
6,multigrate-louvain,Embedding,31965.0,0.5936065616270989,0.5936065616270989,0.6004234678806423,0.6845539556259972,1.1102230246251563e-16,0.3006891868012747,0.2957560264534758,0.647188926471217,0.6300136072965273,0.990904793685074,0.9992053941324066,0.563879705965519,0.5772973289713264
7,multigrate-louvain,Embedding,31965.0,0.5936065616270989,0.5936065616270989,0.6004234678806423,0.6845539556259972,1.1102230246251563e-16,0.3006891868012747,0.2957560264534758,0.647188926471217,0.6300136072965273,0.990904793685074,0.9992053941324066,0.563879705965519,0.5772973289713264
8,multigrate-louvain,Embedding,31965.0,0.5936065616270989,0.5936065616270989,0.6004234678806423,0.6845539556259972,1.1102230246251563e-16,0.3006891868012747,0.2957560264534758,0.647188926471217,0.6300136072965273,0.990904793685074,0.9992053941324066,0.563879705965519,0.5772973289713264
9,multigrate-louvain,Embedding,31965.0,0.5936065616270989,0.5936065616270989,0.6004234678806423,0.6845539556259972,1.1102230246251563e-16,0.3006891868012747,0.2957560264534758,0.647188926471217,0.6300136072965273,0.990904793685074,0.9992053941324066,0.563879705965519,0.5772973289713264
10,scmomat-louvain,Embedding,31965.0,0.8850304538528829,0.8832688021493545,0.8434131250328426,0.9145891659081358,0.2338592973651757,0.4242756520441908,0.4689007624214064,0.6482727393608108,0.669239131562165,0.9751665242190872,0.9903501117773548,0.5307401195168495,0.5196627329452894
