,method,Output,nCell,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ADT,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ADT,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ADT
0,MIDAS-louvain,Embedding,10465.0,0.0477546546185279,0.0091256569517439,0.009842331581462,0.0084089823220258,0.7420926899187769,0.7397037744863831,0.7444816053511706,0.9258480649784996,0.9199235547061634,0.931772575250836
1,MIDAS-louvain,Embedding,10465.0,0.0489844449989031,0.0107501194457716,0.0111801242236024,0.0103201146679407,0.736741519350215,0.7327281414237936,0.7407548972766365,0.9188724319159104,0.9140946010511228,0.9236502627806976
2,MIDAS-louvain,Embedding,10465.0,0.0465293749853046,0.0092689918776875,0.0095556617295747,0.0089823220258002,0.7417582417582418,0.7412326803631152,0.7422838031533684,0.9229813664596274,0.91820353559484,0.9277591973244148
3,MIDAS-louvain,Embedding,10465.0,0.0483501006357733,0.0103678929765886,0.0112756808408982,0.009460105112279,0.742809364548495,0.7461060678451983,0.7395126612517917,0.9236024844720496,0.9191591017677976,0.928045867176302
4,MIDAS-louvain,Embedding,10465.0,0.0489002337324903,0.009460105112279,0.0095556617295747,0.0093645484949832,0.7406593406593407,0.7468705207835643,0.7344481605351171,0.9188724319159104,0.9146679407548972,0.9230769230769232
5,multigrate-louvain,Embedding,10465.0,0.1025510329633805,0.001098901098901,0.0005733397037744,0.0016244624940277,0.5605828953655041,0.4953655040611562,0.6258002866698519,0.8282369804108934,0.7555661729574773,0.9009077878643096
6,multigrate-louvain,Embedding,10465.0,0.1025510329633805,0.001098901098901,0.0005733397037744,0.0016244624940277,0.5605828953655041,0.4953655040611562,0.6258002866698519,0.8282369804108934,0.7555661729574773,0.9009077878643096
7,multigrate-louvain,Embedding,10465.0,0.1025510329633805,0.001098901098901,0.0005733397037744,0.0016244624940277,0.5605828953655041,0.4953655040611562,0.6258002866698519,0.8282369804108934,0.7555661729574773,0.9009077878643096
8,multigrate-louvain,Embedding,10465.0,0.1025510329633805,0.001098901098901,0.0005733397037744,0.0016244624940277,0.5605828953655041,0.4953655040611562,0.6258002866698519,0.8282369804108934,0.7555661729574773,0.9009077878643096
9,multigrate-louvain,Embedding,10465.0,0.1025510329633805,0.001098901098901,0.0005733397037744,0.0016244624940277,0.5605828953655041,0.4953655040611562,0.6258002866698519,0.8282369804108934,0.7555661729574773,0.9009077878643096
