,method,Output,nCell,graph_connectivity,graph_connectivity.l1,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,paired_size,unpaired_size
0,MIDAS-louvain,Embedding,5000.0,0.8799777618010792,0.920552234046394,0.3229647528765876,0.3593687067297763,0.6052581974367921,0.6228667707067427,0.9759910534344932,0.9798419146535388,c10k,c5k
1,multigrate-louvain,Embedding,5000.0,0.8438988745212964,0.8766124994784852,0.4817754184061157,0.4349253720890269,0.7299404428190011,0.6844767240801357,0.9856220705315172,0.992598660819561,c10k,c5k
2,sciPENN-louvain,Embedding,5000.0,0.8314473066371657,0.8982558050222744,0.3686215187098385,0.3357532407075488,0.6777810801710757,0.6503723202437736,0.9856833207821988,0.9954567319296168,c10k,c5k
3,scmomat-louvain,Embedding,5000.0,0.8060379965328127,0.8886598989385301,0.3994792099904861,0.4173598215218095,0.6649899801966455,0.6574745428854502,0.9763072937704008,0.9757040910191878,c10k,c5k
4,scVAEIT-louvain,Embedding,5000.0,0.7765425537496466,0.8935303054822349,0.3822470305104857,0.4117547874475009,0.6499127911388397,0.6594678818149623,0.9774263964492302,0.9856527406863071,c10k,c5k
5,StabMap-louvain,Embedding,5000.0,0.9308058667019948,0.9519074769179252,0.5248825111550642,0.5446372870499016,0.7127113956565722,0.7056397450554377,0.9836423886536244,0.9931542821779036,c10k,c5k
6,totalVI-louvain,Embedding,5000.0,0.9201430775348882,0.9185869854315382,0.5269745810864327,0.5500897814224851,0.7269068669109991,0.7283407530324196,0.9796953449341664,0.98518510049845,c10k,c5k
7,MIDAS-louvain,Embedding,5000.0,0.9036918942089052,0.9348192234189294,0.3122249474997485,0.3460979357276592,0.6221089133885896,0.621977067791412,0.9766076282223204,0.9825395348738422,c20k,c5k
8,multigrate-louvain,Embedding,5000.0,0.8726565596531267,0.8930941539194821,0.5252782548354031,0.4805953770404639,0.7441332900485281,0.7106674698208864,0.9880210938525432,0.9934572427809188,c20k,c5k
9,sciPENN-louvain,Embedding,5000.0,0.8259947110046837,0.9001574210700293,0.3284805118139722,0.3172830204086773,0.6622564898025226,0.6441949898481291,0.9856903252869548,0.9945608260091444,c20k,c5k
10,scmomat-louvain,Embedding,5000.0,0.8101268380763063,0.8954081118982897,0.4136665080646576,0.4687533013991187,0.6503029711708612,0.6646045101747938,0.9747155620525384,0.9749186436847672,c20k,c5k
11,scVAEIT-louvain,Embedding,5000.0,0.791576731884378,0.8575672676393286,0.4608593142381063,0.4593181029316331,0.683758011475483,0.6788012236635167,0.9775245299083338,0.9864998750188524,c20k,c5k
