,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,paired_size,unpaired_size
0,MIDAS-louvain,Embedding,10000.0,0.9275721830281244,0.8818896886360631,0.9412585035457792,0.8932301279245225,0.2923784037877762,0.31679217905767,0.5959360755020164,0.6192037613291712,0.9794903295880922,0.9886978923793348,0.5046686418936588,0.5470482897013426,c10k,c5k
1,multigrate-louvain,Embedding,10000.0,0.6477870725314061,0.4575345901968422,0.5484181827679699,0.0,0.3117222491541447,0.3153856054705722,0.5980346272335201,0.6138454138689077,0.9804272218355984,0.9901495946223612,0.4900396939113058,0.5543299427255988,c10k,c5k
2,scmomat-louvain,Embedding,10000.0,0.6737914573578794,0.6165537451465567,0.895353666185169,0.019746968539537,0.309223197780275,0.314718608955618,0.5682116165735327,0.5793816455401,0.9710059499458712,0.9728486866326418,0.4573945208024021,0.5021799667971208,c10k,c5k
3,scVAEIT-louvain,Embedding,10000.0,0.5323404427825567,0.4100416068166785,0.6021010740197948,0.0,0.2657270947739354,0.3205517335110707,0.537293930150598,0.5781391948085868,0.975693021770314,0.9815128023106424,0.4639127057810335,0.5432926703244447,c10k,c5k
4,StabMap-louvain,Embedding,10000.0,0.8554563788548117,0.8739828715308948,0.9463997358204322,0.5277724485690993,0.3963653968807228,0.4387135736710921,0.6510574565547476,0.6594979955209077,0.981261246033552,0.9905459976770148,0.5115493641327579,0.5723900463432073,c10k,c5k
5,MIDAS-louvain,Embedding,10000.0,0.935159836199051,0.9239496411900971,0.9550910455601024,0.9076103138561932,0.3009607793173525,0.3137830129381376,0.6105585095643641,0.6217692653115641,0.979536955472433,0.9890584518022816,0.5091268431702205,0.548207729839487,c20k,c5k
6,multigrate-louvain,Embedding,10000.0,,0.441731290842339,0.4478752719138684,0.0,0.2887563988040679,0.2846673282518167,0.5971504077933975,0.6017338106164031,0.9822278258983388,0.9910979355670082,0.4919763236486522,0.5676048062741756,c20k,c5k
7,scmomat-louvain,Embedding,10000.0,0.7084274847436673,0.6883013331915996,0.907270156721798,0.0562565962581238,0.3360654533364984,0.3718176485729243,0.5696525801624129,0.6050438482213887,0.9729887995633072,0.975751212923118,0.4708267359581606,0.5146966034080833,c20k,c5k
8,scVAEIT-louvain,Embedding,10000.0,0.6886650706500794,0.4482027742754942,0.6527611406076813,2.220446049250313e-16,0.2583612362565508,0.3083599048414599,0.5646763512419151,0.5953937152824732,0.9758618279936024,0.9826160075988656,0.4734352599850602,0.5544836160726845,c20k,c5k
9,StabMap-louvain,Embedding,10000.0,0.8498760639067903,0.8754509977509767,0.9428044308394758,0.4307871334539803,0.3260542815459478,0.3795891645399851,0.6415520720914858,0.6508452954381216,0.9800436431220444,0.9900709629117384,0.511773304152567,0.5698550878092646,c20k,c5k
10,MIDAS-louvain,Embedding,10000.0,0.9383564894447256,0.8599901426996026,0.903865453753214,0.8669860751134226,0.3017392944531885,0.3352188538119919,0.598669236771778,0.6162668921010881,0.9773098769310212,0.9871658883566348,0.49955963816716,0.547800463065505,c3k,c5k
11,multigrate-louvain,Embedding,10000.0,,0.4149077311757148,0.442480176158203,0.0,0.2664329088494983,0.2679445610437446,0.572292837459711,0.5829494261905657,0.9768892758499504,0.9847704736288668,0.4790092131006531,0.5463344695046544,c3k,c5k
12,scmomat-louvain,Embedding,10000.0,0.6837490797125011,0.6199565626222264,0.8965059570366092,0.0060720062340822,0.266244504791267,0.2942338407581703,0.5499782149806444,0.5692628083258431,0.9717574540649558,0.9749028778045988,0.4610501382584599,0.5103708706097677,c3k,c5k
13,scVAEIT-louvain,Embedding,10000.0,,0.3657601984051164,0.4281771521058698,0.0,0.2584558382922899,0.2796333636504821,0.5088760389662075,0.5418404738279289,0.9685530230467456,0.9707220569281408,0.4709314891925631,0.5205835434840992,c3k,c5k
14,StabMap-louvain,Embedding,10000.0,0.8588130778665688,0.9004934339794377,0.9167798263986412,0.5465171249308782,0.4996299930984448,0.4934292130552274,0.6748997091365576,0.6767984663646159,0.9804750135690088,0.9896849095254971,0.5090032663852484,0.567610508389771,c3k,c5k
15,MIDAS-louvain,Embedding,10000.0,0.943045170648945,0.8968223224110532,0.9350012233124536,0.898459067800339,0.2919886361728278,0.3324260742716869,0.5960823244542406,0.6173889924234472,0.9784180925166082,0.989560498377084,0.5024723973008143,0.5484939250163734,c5k,c5k
