,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s2d1,s3d6,Batch_ASW_site
0,MIDAS-louvain,Embedding,21500.0,0.7566882321208313,0.8905876107677827,0.917012028969078,8.881784197001252e-16,0.5081077667126361,0.4751595143693488,0.6985703516589011,0.6849400406462991,0.9869721634295716,0.9972142492685384,0.5623475974425673,0.5655749544966966,R10_A10,R100_A100,
1,multigrate-louvain,Embedding,21500.0,0.5937680336135236,0.7531705915192614,0.7884579320552356,0.0,0.3265419363357769,0.3135924445241214,0.6654922243109567,0.631680591017969,0.9880836997034194,0.9989353253205416,0.5513586094602942,0.592585851973854,R10_A10,R100_A100,
2,sciPENN-louvain,Embedding,21500.0,0.7994097105532093,0.8446297883230067,0.9102886355392804,0.2236696005888907,0.4820151606340261,0.4619119456606873,0.6600558749344502,0.6612345348137134,0.9853907197432936,0.9964859165655128,0.4752037893049419,0.5886206734925509,R10_A10,R100_A100,
3,scmomat-louvain,Embedding,21500.0,0.7682665591116237,0.8208826609582532,0.9140844498426228,0.0262407294225224,0.3519882933524716,0.3785283785801145,0.5841403052531671,0.600485783461824,0.9627096162597728,0.9745648535842462,0.4941148146172054,0.5114992478862405,R10_A10,R100_A100,
4,scVAEIT-louvain,Embedding,21500.0,0.3419317689820204,0.617362091349552,0.7530568184689799,0.0,0.2893308611819666,0.3225153597506944,0.5731128393683327,0.5849262033098479,0.9757749303082804,0.9948951070003896,0.5406461637467146,0.4664579989388585,R10_A10,R100_A100,
5,StabMap-louvain,Embedding,21500.0,0.8089546868881454,0.8500647871181568,0.8819837192918725,0.4354535235394681,0.4265135752652204,0.4563415259188456,0.6137201758117821,0.6297583329562219,0.9767678100892392,0.9875203056943292,0.471827446250245,0.5486625381512568,R10_A10,R100_A100,
6,totalVI-louvain,Embedding,21500.0,0.8520271956432388,0.860605076123444,0.8900344633976343,0.6566917321042856,0.5240732428108129,0.5784531545445115,0.689686976834422,0.70914912412743,0.9775749730061324,0.9846148323564154,0.4586811438202858,0.5323116114363075,R10_A10,R100_A100,
7,MIDAS-louvain,Embedding,21500.0,0.8642840110894375,0.9370676881301062,0.9378604901854584,0.2079786490651751,0.4145430374004589,0.4565307427749515,0.7057921717005647,0.7075309060227256,0.9883002740391716,0.9975185307981812,0.5541722262278199,0.5685672204941511,R25_A25,R100_A100,
8,multigrate-louvain,Embedding,21500.0,0.6153983237309776,0.798368660491087,0.8663527437273467,2.220446049250313e-16,0.3620475452625346,0.3197896739460212,0.6839617589949847,0.6440766616123248,0.9900715619733852,0.9991753872367636,0.5845811991021037,0.6072141753509641,R25_A25,R100_A100,
9,sciPENN-louvain,Embedding,21500.0,0.8302199401401213,0.8931420694345825,0.9420839341172704,0.4678612668490967,0.5131432585219339,0.5003628255592414,0.7091626151042011,0.6978004931205135,0.9873717132723688,0.9975700332307657,0.4546391075709834,0.6043135693296791,R25_A25,R100_A100,
