,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s2d1,s3d6,Batch_ASW_site
0,MIDAS-louvain,Embedding,31965.0,0.8435564797209759,0.8438967075618001,0.9091893621985498,0.1479750269285734,0.4185004523478567,0.424893372152268,0.6585631644924477,0.6623026026138896,0.9845423278521784,0.9968883521955696,0.5420829206705093,0.5622263978468254,R10_A10,R100_A100,
1,multigrate-louvain,Embedding,31965.0,0.6464978610165784,0.5561464790869294,0.6556574219203207,0.0,0.3120213382523314,0.2985785817257991,0.5986673256786618,0.5897527629095246,0.9824472798793756,0.9981610204100784,0.5837600454688072,0.5587968870997428,R10_A10,R100_A100,0.6464978610165784
2,scmomat-louvain,Embedding,31965.0,0.90518976344787,0.7983010923231648,0.903826047993542,0.3597936531241944,0.3724821512964953,0.4217048195689462,0.5853349046120879,0.6197809252861115,0.9629149840650496,0.9700489709841924,0.5362104810774326,0.5160016450798139,R10_A10,R100_A100,0.8836242141312678
3,scVAEIT-louvain,Embedding,31965.0,0.3519168396213643,0.4618773700535533,0.5280507627371737,0.0,0.2171728634363702,0.2388428149909636,0.4685452836776938,0.4832044846759017,0.9678280287650745,0.9759676548294725,0.6462147384881973,0.4173161152750254,R10_A10,R100_A100,0.3519168396213643
4,StabMap-louvain,Embedding,31965.0,0.8437391213574355,0.865852329437464,0.9265317135744732,0.3694986409364899,0.3608084404321018,0.4120968300784153,0.6052730275594184,0.6280912926069792,0.976261266297527,0.9906535648351508,0.4870762340724468,0.5485124645056203,R10_A10,R100_A100,0.82313471122797
5,MIDAS-louvain,Embedding,31965.0,0.8876717340729939,0.9371662630546604,0.936192551253483,0.403756813716295,0.4651037435056508,0.4598247630497269,0.6936087348839624,0.6836878130659803,0.9878128430411962,0.9980609956246984,0.541578471660614,0.5684250886668452,R25_A25,R100_A100,
6,multigrate-louvain,Embedding,31965.0,0.6268344758263092,0.5928429978578362,0.6126122762084604,1.1102230246251563e-16,0.3312410034994236,0.3087758158084613,0.6320387221483429,0.6173314580470814,0.9868530985073508,0.998703818205368,0.5627460032701492,0.5724111410789192,R25_A25,R100_A100,0.6268344758263092
7,scmomat-louvain,Embedding,31965.0,0.9039422625313288,0.7958741841966374,0.9147117168727772,0.3445964514586268,0.48934822985088,0.5130007676429559,0.6355222321871521,0.6713995236006352,0.9705659097885784,0.9849669933039108,0.528214106336236,0.5187885089544579,R25_A25,R100_A100,0.8921144958312552
8,scVAEIT-louvain,Embedding,31965.0,0.4570629573024685,0.5365634464339651,0.7213854032032767,1.1102230246251563e-16,0.2516882755227974,0.2724478632097215,0.5397890284976808,0.5577158410021844,0.9750547840007956,0.9940271015161828,0.6135540008544922,0.4488127827644348,R25_A25,R100_A100,0.3784077170236048
9,StabMap-louvain,Embedding,31965.0,0.8433013813780988,0.904751446693476,0.9163884604071466,0.3517217822094961,0.3470123854595657,0.4128339365251547,0.6551082901953686,0.6743741844315673,0.9844565943326328,0.99675459872402,0.470038827508688,0.5625055952230469,R25_A25,R100_A100,0.8227908508539571
10,MIDAS-louvain,Embedding,31965.0,0.8856122706199213,0.957635792221008,0.9412511953645032,0.4253431490915806,0.5202476069537334,0.4926326512707629,0.7243574283088643,0.7072366603989695,0.989414166493035,0.9982478025440376,0.5430943369865417,0.5628001901321114,R50_A50,R100_A100,
11,multigrate-louvain,Embedding,31965.0,0.6335735099236187,0.5734206309270953,0.670104382128499,1.1102230246251563e-16,0.2996615570990477,0.2822089053607128,0.6372004024488496,0.6169809240458678,0.9895249872579264,0.9991011327348686,0.5179193820804358,0.5716110051609575,R50_A50,R100_A100,0.6335735099236187
12,scmomat-louvain,Embedding,31965.0,0.889218227435258,0.8569286197704795,0.9129964917454664,0.3163000633340773,0.4460000176840247,0.4938343340274101,0.6543933873642879,0.6810644778228624,0.973677894272198,0.9899977792923382,0.5209709573537111,0.521849362179637,R50_A50,R100_A100,0.8731241709372879
13,scVAEIT-louvain,Embedding,31965.0,0.5653247142441469,0.5222982547073053,0.702669995440731,2.220446049250313e-16,0.2296141237679521,0.2595869812059873,0.5554369675747775,0.5714134382706125,0.9744101994089815,0.9945942341576792,0.6465295553207397,0.5197000827640295,R50_A50,R100_A100,0.5337997668059067
14,StabMap-louvain,Embedding,31965.0,0.8572599066838954,0.9117218310432303,0.9299948607112456,0.3280238312665055,0.3956343138741609,0.4450810426507396,0.6860731823401365,0.701774729809515,0.9857613359713326,0.9974085780128276,0.4789967387914657,0.570966996345669,R50_A50,R100_A100,0.8439821809246373
15,MIDAS-louvain,Embedding,31965.0,0.8965973373286212,0.9477714998813084,0.9419560108242806,0.3748423603867499,0.4886190936467013,0.485691184378245,0.7188188330605437,0.7102784705466277,0.9899180701494144,0.9982221531831014,0.5556125789880753,0.5677337945438922,R75_A75,R100_A100,
16,multigrate-louvain,Embedding,31965.0,0.6468839888594166,0.6059431893001481,0.6525128844951045,1.1102230246251563e-16,0.2974143066342992,0.2855050775632565,0.6467887265781217,0.629367389557454,0.9912298800851296,0.9992523269235636,0.6391343176364899,0.5696728656999767,R75_A75,R100_A100,0.6476861841191559
17,scmomat-louvain,Embedding,31965.0,0.8847104115828008,0.8584811451897721,0.9369510154979578,0.2752053260266247,0.4608462497292396,0.4652414505910929,0.6431203515389132,0.6484220303348783,0.9752585242693328,0.989654065469038,0.5286131594330072,0.5245498289354146,R75_A75,R100_A100,0.8716951619032632
18,scVAEIT-louvain,Embedding,31965.0,0.4867813382983517,0.5242018606336525,0.6952905634605471,1.1102230246251563e-16,0.2575195167555976,0.2838913654552199,0.5757157131736372,0.5957798708075639,0.9762134287501948,0.9971277324040526,0.6031537353992462,0.5232174969278276,R75_A75,R100_A100,0.4866271249303753
19,StabMap-louvain,Embedding,31965.0,0.8767065601065492,0.9186236664732752,0.9620075634918176,0.358643242994215,0.4065675290047456,0.4598706585656985,0.7057466738463737,0.7158443269580027,0.9877142424772876,0.9980740682151455,0.4635329954326153,0.5741696401964873,R75_A75,R100_A100,0.8670684627335034
20,MIDAS-louvain,Embedding,31965.0,0.9396998820833034,0.952570968176406,0.943921995362856,0.5935873149455559,0.6127996719084637,0.5923545410023331,0.7479648119823425,0.7454116691523222,0.9893094918239588,0.998242066616243,0.5260393228381872,0.5635511587373913,R100_A100,R100_A100,0.9396081536753856
21,multigrate-louvain,Embedding,31965.0,0.5936065616270989,0.6004234678806423,0.6845539556259972,1.1102230246251563e-16,0.3006891868012747,0.2957560264534758,0.647188926471217,0.6300136072965273,0.990904793685074,0.9992053941324066,0.563879705965519,0.5772973289713264,R100_A100,R100_A100,0.5936065616270989
22,MIDAS-louvain,Embedding,31965.0,0.8625558425805653,0.8731345592936199,0.9130712956368704,0.2570530519548258,0.5120764887341601,0.5093456701527795,0.6793380464772664,0.6919240290599882,0.9874064462190296,0.996650330601392,0.5368372276425362,0.5472891431767494,R100_A100,R10_A10,
23,multigrate-louvain,Embedding,31965.0,0.6090298070334136,0.5224679804667264,0.6048852043652271,0.0,0.278961175595587,0.2633271836408332,0.6392235137918346,0.612246993305148,0.9886717674946672,0.9985991317954552,0.5803784877061844,0.5553413047455251,R100_A100,R10_A10,0.6090298070334136
24,scmomat-louvain,Embedding,31965.0,0.8754171859800284,0.6998372333236832,0.8900308565053677,0.158591462781596,0.387849961636424,0.4068557011727983,0.5498147378921453,0.5684103390031519,0.9711198569759648,0.9749809406577824,0.5207242909818888,0.5036864097462967,R100_A100,R10_A10,0.8515863127962741
