,method,Output,nCell,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ADT,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ADT,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ADT,s2d1,s3d6
0,MIDAS-louvain,Embedding,10465.0,0.0729071651255327,0.0034400382226469,0.0043000477783086,0.0025800286669851,0.641328236980411,0.6516961299569995,0.6309603440038223,0.86741519350215,0.8701385570950788,0.8646918299092212,R10_A10,R100_A100
1,multigrate-louvain,Embedding,10465.0,0.1695674088474105,0.0006211180124223,0.0006688963210702,0.0005733397037744,0.3267080745341615,0.3849976110845676,0.2684185379837553,0.4999522216913521,0.5845198279980889,0.4153846153846154,R10_A10,R100_A100
2,scmomat-louvain,Embedding,10465.0,0.2584923466819642,0.0010511227902532,0.0011466794075489,0.0009555661729574,0.4774486383182035,0.4415671285236502,0.5133301481127568,0.7021978021978021,0.6642140468227424,0.740181557572862,R10_A10,R100_A100
3,scVAEIT-louvain,Embedding,10465.0,0.4013202746898918,0.0004300047778308,0.0007644529383659,9.555661729574773e-05,0.1343048256091734,0.1569995222169135,0.1116101290014333,0.235212613473483,0.2571428571428571,0.2132823698041089,R10_A10,R100_A100
4,StabMap-louvain,Embedding,10465.0,0.1601245568864339,0.0019589106545628,0.0020066889632107,0.0019111323459149,0.5484472049689442,0.5526039178213091,0.5442904921165791,0.8115145723841376,0.780697563306259,0.8423315814620163,R10_A10,R100_A100
5,MIDAS-louvain,Embedding,10465.0,0.0566894540055594,0.0055422838031533,0.007166746297181,0.0039178213091256,0.6910654562828475,0.687529861442905,0.6946010511227902,0.8923554706163401,0.8938365981844243,0.8908743430482561,R25_A25,R100_A100
6,multigrate-louvain,Embedding,10465.0,0.1473549193281634,0.0010511227902532,0.0007644529383659,0.0013377926421404,0.5524128045867176,0.5507883420926899,0.5540372670807453,0.8016244624940276,0.8034400382226469,0.7998088867654085,R25_A25,R100_A100
7,scmomat-louvain,Embedding,10465.0,0.2542733325587145,0.0015766841853798,0.0017200191113234,0.0014333492594362,0.4790731008122313,0.4220735785953177,0.5360726230291448,0.6528428093645485,0.5756330625895844,0.7300525561395127,R25_A25,R100_A100
8,scVAEIT-louvain,Embedding,10465.0,0.2470573835064165,0.0005255613951266,0.0004777830864787,0.0005733397037744,0.3669374104156713,0.2933588150979455,0.440516005733397,0.5209746774964166,0.3958910654562828,0.6460582895365504,R25_A25,R100_A100
9,StabMap-louvain,Embedding,10465.0,0.0996748929211173,0.0028189202102245,0.0033444816053511,0.0022933588150979,0.643191591017678,0.6494983277591974,0.6368848542761586,0.883325370281892,0.8696607740086001,0.8969899665551839,R25_A25,R100_A100
10,MIDAS-louvain,Embedding,10465.0,0.0519632045388708,0.008695652173913,0.0099378881987577,0.0074534161490683,0.7218824653607263,0.7192546583850932,0.7245102723363593,0.9092689918776876,0.9100812231247014,0.9084567606306736,R50_A50,R100_A100
