,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,cobolt-louvain,Embedding,19786.0,0.8117036096775456,0.7993208010441619,0.980602687970698,0.9841492679551102,0.2346859896998149,0.5163902595492756,0.4729186096486881,0.7356846429161252,0.6923527791293262,0.9861500764349216,0.995187888860674,0.6642965972423553,0.5977297431737598
1,cobolt-louvain,Embedding,19786.0,0.8572188759733385,0.7930345631234361,0.9767303038571916,0.9758345151823,0.2473604799555053,0.5357112339302408,0.4789964650289163,0.7426124513467923,0.6962043229151565,0.9858565237948532,0.9952282021931128,0.6742522716522217,0.6020492125664734
2,cobolt-louvain,Embedding,19786.0,0.7946098321801461,0.8179366238577767,0.9751722181560608,0.9828054898827988,0.183726956025183,0.5012723961694369,0.4589259563962534,0.7113264369110585,0.6718296185718587,0.9831953053574976,0.9935009156025564,0.5983048304915428,0.5918455065952407
3,cobolt-louvain,Embedding,19786.0,0.7845379392103113,0.8056096612527441,0.9776785983633596,0.9828767823876884,0.1558115032672051,0.5490145903286474,0.4913130201463623,0.7259537319895111,0.6971857402950673,0.986607822918408,0.9940163811658316,0.6044057011604309,0.5992629619108306
4,cobolt-louvain,Embedding,19786.0,0.8352666758839734,0.773222947395547,0.9770741738211826,0.9791886499076544,0.2590919375677463,0.495151510989029,0.4687393113029979,0.7426542108419351,0.7005621781587023,0.9867286029705044,0.9946046986819952,0.6404674202203751,0.6014861773389081
5,MIDAS-louvain,Embedding,19786.0,0.9390122153584468,,0.9841762099042104,0.9825468012622128,0.6823096933414896,0.5778585618275903,0.5088506656364222,0.7312392702574874,0.6819983871226555,0.9826289625164976,0.9894205355837106,0.6472527831792831,0.5519972465052787
6,MIDAS-louvain,Embedding,19786.0,0.9475429621037466,,0.984142573507588,0.9805783772421404,0.6853042451624098,0.6037163115879824,0.5368326341267057,0.7375246790681124,0.6956491307622731,0.9830671515767808,0.9901827736323052,0.6654636412858963,0.5540091803349141
7,MIDAS-louvain,Embedding,19786.0,0.9417626594621352,,0.9845059733007436,0.9827829851168276,0.6549303191511799,0.5853037683637065,0.530063753152524,0.7306654312309054,0.6930883184700767,0.982404421680934,0.989572779964174,0.6394015699625015,0.5508629550329514
8,MIDAS-louvain,Embedding,19786.0,0.9405276091509424,,0.9842934414094384,0.9814607350555588,0.7027851417588917,0.5582397918045374,0.5150244557058107,0.7202478497590146,0.6918313543397194,0.9821292023528094,0.989866088759084,0.6527944952249527,0.5493798573734239
9,MIDAS-louvain,Embedding,19786.0,0.9364795789323273,,0.9823634097829372,0.982063077832553,0.6942634754483281,0.5682955574035204,0.5103529891350583,0.7239979601570712,0.6826987126083744,0.98297279337858,0.989911514798042,0.6559195816516876,0.5527363208303642
10,multigrate-louvain,Embedding,19786.0,0.5990896197324919,0.5990896197324919,0.6570246741324663,0.7065477812293208,1.1102230246251563e-16,0.3228374371669267,0.311548963341327,0.6222207900253027,0.6098694045201086,0.9882357115416984,0.9977974743435524,0.6504009366035461,0.5736306695034727
11,multigrate-louvain,Embedding,19786.0,0.5990896197324919,0.5990896197324919,0.6570246741324663,0.7065477812293208,1.1102230246251563e-16,0.3228374371669267,0.311548963341327,0.6222207900253027,0.6098694045201086,0.9882357115416984,0.9977974743435524,0.6504009366035461,0.5736306695034727
12,multigrate-louvain,Embedding,19786.0,0.5990896197324919,0.5990896197324919,0.6570246741324663,0.7065477812293208,1.1102230246251563e-16,0.3228374371669267,0.311548963341327,0.6222207900253027,0.6098694045201086,0.9882357115416984,0.9977974743435524,0.6504009366035461,0.5736306695034727
13,multigrate-louvain,Embedding,19786.0,0.5990896197324919,0.5990896197324919,0.6570246741324663,0.7065477812293208,1.1102230246251563e-16,0.3228374371669267,0.311548963341327,0.6222207900253027,0.6098694045201086,0.9882357115416984,0.9977974743435524,0.6504009366035461,0.5736306695034727
14,multigrate-louvain,Embedding,19786.0,0.5990896197324919,0.5990896197324919,0.6570246741324663,0.7065477812293208,1.1102230246251563e-16,0.3228374371669267,0.311548963341327,0.6222207900253027,0.6098694045201086,0.9882357115416984,0.9977974743435524,0.6504009366035461,0.5736306695034727
15,multivi-louvain,Embedding,19786.0,0.9029028748863276,0.9045062275156496,0.9839230679176888,0.9850267122344636,0.5144497346424486,0.5943877519597388,0.5210457716660073,0.7864622537630861,0.726755842951884,0.9923343383614868,0.9971144161645562,0.7242106050252914,0.6005159635096788
16,multivi-louvain,Embedding,19786.0,0.9029028748863276,0.9045062275156496,0.9839230679176888,0.9850267122344636,0.5144497346424486,0.5943877519597388,0.5210457716660073,0.7864622537630861,0.726755842951884,0.9923343383614868,0.9971144161645562,0.7242106050252914,0.6005159635096788
17,multivi-louvain,Embedding,19786.0,0.9029028748863276,0.9045062275156496,0.9839230679176888,0.9850267122344636,0.5144497346424486,0.5943877519597388,0.5210457716660073,0.7864622537630861,0.726755842951884,0.9923343383614868,0.9971144161645562,0.7242106050252914,0.6005159635096788
18,multivi-louvain,Embedding,19786.0,0.9029028748863276,0.9045062275156496,0.9839230679176888,0.9850267122344636,0.5144497346424486,0.5943877519597388,0.5210457716660073,0.7864622537630861,0.726755842951884,0.9923343383614868,0.9971144161645562,0.7242106050252914,0.6005159635096788
19,multivi-louvain,Embedding,19786.0,0.9029028748863276,0.9045062275156496,0.9839230679176888,0.9850267122344636,0.5144497346424486,0.5943877519597388,0.5210457716660073,0.7864622537630861,0.726755842951884,0.9923343383614868,0.9971144161645562,0.7242106050252914,0.6005159635096788
