,method,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,paired_size,unpaired_size,Output,nCell
0,cobolt-louvain,0.02640712,0.0311,0.0322,0.03,0.7532000000000001,0.7528,0.7536,0.864,0.865,0.863,c10k,c5k,,
1,MIDAS-louvain,0.0655438,0.0429,0.046,0.0398,0.7695000000000001,0.7718,0.7672,0.8668,0.8692,0.8644,c10k,c5k,,
2,multigrate-louvain,0.10994928,0.0045,0.005,0.004,0.5976,0.617,0.5782,0.7849999999999999,0.7822,0.7878,c10k,c5k,,
3,multivi-louvain,0.0193894199999999,0.0451,0.0408,0.0494,0.7892,0.7916,0.7868,0.8854,0.887,0.8838,c10k,c5k,,
4,scmomat-louvain,0.28963272,0.0027,0.0022,0.0032,0.3877,0.3538,0.4216,0.5811999999999999,0.5468,0.6156,c10k,c5k,,
5,cobolt-louvain,0.02568488,0.0327999999999999,0.0308,0.0348,0.7604,0.7662,0.7546,0.8703,0.8744,0.8662,c20k,c5k,,
6,MIDAS-louvain,0.0487488799999999,0.044,0.0462,0.0418,0.7722,0.7634,0.781,0.8726,0.8654,0.8798,c20k,c5k,,
7,multigrate-louvain,0.0891235,0.0059,0.0058,0.006,0.5923,0.6324,0.5522,0.7362,0.7444,0.728,c20k,c5k,,
8,multivi-louvain,0.0145595799999999,0.0674,0.0668,0.068,0.8167,0.8208,0.8126,0.8986000000000001,0.9008,0.8964,c20k,c5k,,
9,scmomat-louvain,0.35501264,0.0017,0.0018,0.0016,0.2886,0.2266,0.3506,0.4667,0.4176,0.5158,c20k,c5k,,
10,cobolt-louvain,0.0382369,0.0174,0.0144,0.0204,0.7057,0.7118,0.6996,0.8523000000000001,0.8574,0.8472,c3k,c5k,,
11,MIDAS-louvain,0.08314582,0.0224,0.0248,0.02,0.7081999999999999,0.7186,0.6978,0.8407,0.847,0.8344,c3k,c5k,,
12,multigrate-louvain,0.14451154,0.0017,0.002,0.0014,0.3320999999999999,0.353,0.3112,0.4516,0.4724,0.4308,c3k,c5k,,
13,multivi-louvain,0.0391608799999999,0.0187,0.0188,0.0186,0.7294,0.7378,0.721,0.8587,0.8512,0.8662,c3k,c5k,,
14,scmomat-louvain,0.2546118,0.0033,0.003,0.0036,0.4557,0.4402,0.4712,0.6175999999999999,0.5962,0.639,c3k,c5k,,
15,cobolt-louvain,0.03211008,0.0247,0.0256,0.0238,0.7316,0.741,0.7222,0.8561,0.8592,0.853,c5k,c5k,,
16,MIDAS-louvain,0.075584,0.0281,0.0304,0.0258,0.7294,0.7326,0.7262,0.8486,0.853,0.8442,c5k,c5k,,
17,multigrate-louvain,0.11837422,0.0033,0.0038,0.0028,0.4855,0.5332,0.4378,0.76,0.8284,0.6916,c5k,c5k,,
18,multivi-louvain,0.0290253,0.0312,0.0314,0.031,0.7639,0.7752,0.7526,0.8711,0.8732,0.869,c5k,c5k,,
19,scmomat-louvain,0.28990748,0.0024,0.0026,0.0022,0.4151,0.3876,0.4426,0.5929,0.5556,0.6302,c5k,c5k,,
20,SeuratV5,0.0282019,0.0323,0.0408,0.0238,0.7857000000000001,0.782,0.7894,0.8739,0.8788,0.869,c10k,c5k,Embedding,10000.0
21,SeuratV5,0.0276481199999999,0.0438,0.0526,0.035,0.7906,0.7914,0.7898,0.873,0.8798,0.8662,c20k,c5k,Embedding,10000.0
22,SeuratV5,0.0497416,0.023,0.0288,0.0172,0.7615,0.7726,0.7504,0.8581,0.869,0.8472,c3k,c5k,Embedding,10000.0
23,SeuratV5,0.03919094,0.0260999999999999,0.0336,0.0186,0.7604,0.779,0.7418,0.853,0.8786,0.8274,c5k,c5k,Embedding,10000.0
24,StabMap,0.25324504,0.0015999999999999,0.0018,0.0014,0.4211,0.4786,0.3636,0.5958,0.6824,0.5092,c10k,c5k,Embedding,10000.0
25,StabMap,0.26105978,0.0017,0.0018,0.0016,0.375,0.453,0.297,0.5724,0.6508,0.494,c20k,c5k,Embedding,10000.0
26,StabMap,0.29965354,0.0019,0.0022,0.0016,0.3816,0.4498,0.3134,0.5513,0.6368,0.4658,c3k,c5k,Embedding,10000.0
27,StabMap,0.28280284,0.0022,0.003,0.0014,0.4143,0.508,0.3206,0.5718,0.6894,0.4542,c5k,c5k,Embedding,10000.0
