,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,s1d1,s3d10
0,cobolt-louvain,Embedding,19786.0,0.8674065827514632,0.8751347338884731,0.9664458689272732,0.9762379182127432,0.181550369444575,0.4450523356707745,0.4504374514875891,0.668516018266033,0.647239491971878,0.974815883282814,0.9861257272337602,0.5895362570881844,0.5831899063454734,R10_A10,R100_A100
1,MIDAS-louvain,Embedding,19786.0,0.8452071810377441,0.7353722487428419,0.973932379484724,0.9826472083041472,0.2606848394165709,0.4410358182024571,0.4440891170943219,0.6544399095253792,0.6506302862396302,0.9754725301201348,0.9865805092703492,0.686758503317833,0.5387905525923189,R10_A10,R100_A100
2,multigrate-louvain,Embedding,19786.0,0.5812767343389649,0.5812767343389649,0.5597032570175944,0.599446414467919,1.1102230246251563e-16,0.2801786152043519,0.2597225642219928,0.58223328558212,0.5517742637144153,0.9748057143747808,0.990012174280722,0.5979364886879921,0.5245475730237862,R10_A10,R100_A100
3,multivi-louvain,Embedding,19786.0,0.8636869131660078,0.8569962089283077,0.973460258344658,0.9779822905703316,0.4435902307720819,0.5776588010691721,0.5040187253109578,0.7470166691490637,0.6906988485099014,0.9848805745164548,0.9908885771655858,0.6971791237592697,0.5703864032402635,R10_A10,R100_A100
4,scmomat-louvain,Embedding,19786.0,0.8289237215020353,0.8086805294667956,0.8410919097534774,0.9701808272424328,0.0712107197302976,0.358961350983439,0.3187266126021958,0.5693066125959652,0.5428493267920278,0.9621223085427012,0.9647385698161192,0.5414960943162441,0.5046031285956916,R10_A10,R100_A100
5,cobolt-louvain,Embedding,19786.0,0.8426242834366551,0.8326372338957951,0.9628246576565735,0.976174812740651,0.1433471178336864,0.4513688487877539,0.4450808648094191,0.7030451907976392,0.6750177619464164,0.9764238373247124,0.9906390411142848,0.610704705119133,0.5890778030475808,R25_A25,R100_A100
6,MIDAS-louvain,Embedding,19786.0,0.9207310849143608,0.924514316505785,0.982441514405267,0.9838892367591976,0.584045257571352,0.4823928681711532,0.4574012790635944,0.6924038159643788,0.6671415276508263,0.9770031252026956,0.9850029184208804,0.6768877953290939,0.5429762445597185,R25_A25,R100_A100
7,multigrate-louvain,Embedding,19786.0,0.6244162076703038,0.6244162076703038,0.6920648109394268,0.7867785823469456,3.3306690738754696e-16,0.3098975756459595,0.2719299651790176,0.6263139659156981,0.587215497378731,0.9824496719679526,0.9950104114294792,0.6285520642995834,0.5676645013607211,R25_A25,R100_A100
8,multivi-louvain,Embedding,19786.0,0.8988011396070757,0.909746954728434,0.9781993930480548,0.9731790575391168,0.5387111902246919,0.604191510559132,0.5106887080311582,0.7705058945044477,0.7069907368941392,0.9884496221732896,0.994765692022054,0.7040252834558487,0.5907983446700705,R25_A25,R100_A100
9,scmomat-louvain,Embedding,19786.0,0.8295100466785,0.8174322824356381,0.763633850284496,0.8930370065910354,0.0953013195436519,0.3419663244040962,0.3168075893423294,0.5634205484816266,0.5422394492164171,0.966391425880686,0.9703719064028062,0.580911323428154,0.5143418224114511,R25_A25,R100_A100
10,cobolt-louvain,Embedding,19786.0,0.8426522863223423,0.7954060891236318,0.9781740341332916,0.9768415838153918,0.2736480180941134,0.4676138530481289,0.4886474705368805,0.714301488983064,0.6887906644627945,0.9816073184110992,0.9940289919284262,0.6838936805725098,0.5903645040881302,R50_A50,R100_A100
11,MIDAS-louvain,Embedding,19786.0,0.9196916265288544,0.8448444709182102,0.9867775017712755,0.9850375096954744,0.4712743332764515,0.4811223679673151,0.4411988831860854,0.69586481747674,0.661174444735025,0.9823161549013254,0.9909710767014084,0.6695287674665451,0.5471758382854104,R50_A50,R100_A100
12,multigrate-louvain,Embedding,19786.0,0.6337506330339865,0.6337506330339865,0.6650465733153605,0.7514071795770457,1.1102230246251563e-16,0.3161349158164073,0.2782366397792092,0.6280814307665891,0.591031076339079,0.9870526632543412,0.996489598870037,0.6686780154705048,0.5602863357505865,R50_A50,R100_A100
13,multivi-louvain,Embedding,19786.0,0.8648374322030687,0.8935413342475883,0.977409909510658,0.9752948543703952,0.4731849313153164,0.5744883561745439,0.473462337150868,0.7572816222136086,0.6823409099186362,0.9904352496855332,0.9970410263662252,0.7396807074546814,0.6049412948389848,R50_A50,R100_A100
