,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC,s1d1,s3d10
0,cobolt-louvain,Embedding,6781.0,,,0.9875193115438704,0.989012277701577,1.0,,0.5609520634181031,0.4546863760518907,0.7800291088612445,0.7044250324882959,0.9872136459020588,0.9976051758060518,0.5924773642383508,0.6015567659956584,,,0.94914427593076,0.9666760482095038,1.0,,0.5539767298393433,0.4905152901032141,0.7299558438062322,0.6915917573290469,0.9704485635672382,0.9816763515867032,0.5451158300451545,0.5790752689401208,0.0825633447864478,0.00258074030379,0.0025070048665388,0.0026544757410411,0.5491815366465123,0.5962247456127415,0.5021383276802831,0.6964312048370447,0.7434006783660227,0.6494617313080666,R10_A10,R100_A100
1,MIDAS-louvain,Embedding,6781.0,,,0.978577257114708,0.9945041533981084,1.0,,0.6134915562502,0.537738658688428,0.8029093080294941,0.7513308987686718,0.9881058523095174,0.994278328858936,0.5651975613146653,0.5602116397397525,,,0.9291599901088068,0.9669929990188276,1.0,,0.3884257584582172,0.3630967971476762,0.6488224000231001,0.626253181601543,0.9685076114901976,0.985303836684632,0.5320726584122645,0.5467537845690964,0.1225627915260073,0.0072998082878631,0.0081108980976257,0.0064887184781005,0.6996018286388438,0.7133166199675564,0.6858870373101312,0.8245096593422798,0.8326205574399056,0.8163987612446542,R10_A10,R100_A100
2,multigrate-louvain,Embedding,6781.0,,,0.958661822440968,0.9581920428118232,1.0,,0.5615730498082506,0.4548738431311283,0.804595673266249,0.718325750456674,0.993369830415754,0.9996267112272726,0.626598524688318,0.6449382983929317,,,0.8566617819052593,0.9320252889569234,1.0,,0.3441023828502141,0.323580209109538,0.5966214837976098,0.5724465953377655,0.9634319515644668,0.9733600668133776,0.5027043280286688,0.5712619619166792,0.3644787463501176,0.0004424126235068,0.0005898834980091,0.0002949417490045,0.2094823772304969,0.1996755640760949,0.2192891903848989,0.3817283586491667,0.2459814186698127,0.5174752986285208,R10_A10,R100_A100
3,multivi-louvain,Embedding,6781.0,,,0.990048486673198,0.99415798034206,1.0,,0.670466799921797,0.5168958664340738,0.841509754325071,0.7438549253766535,0.9935581149764624,0.9980638310159688,0.629634712367558,0.5970793209228941,,,0.9513115785691736,0.971361056128254,1.0,,0.5703200476075445,0.4941320511536475,0.7538364824332726,0.7004641718211891,0.981264866154144,0.988332205166508,0.572588099513546,0.5777590979818572,0.0959457448976567,0.003613036425306,0.0033918301135525,0.0038342427370594,0.6803568795162955,0.7009290665093644,0.6597846925232267,0.8023152927296859,0.8103524553900605,0.7942781300693114,R10_A10,R100_A100
4,scmomat-louvain,Embedding,6781.0,,,0.9839286822349316,0.99327538378717,1.0,,0.4958484986946199,0.4535522113903038,0.747866223579934,0.7037200183726912,0.9881990433627008,0.9977239716552994,0.5575821056465484,0.5614595871667221,,,0.9243183546456076,0.968023768876248,1.0,,0.4206847565050171,0.3761252085476211,0.6137711658285672,0.5880241441077044,0.9610827165548512,0.972010775831589,0.5119609074191954,0.5376607202213566,0.4772506222603251,7.37354372511429e-05,0.0,0.0001474708745022,0.1134051024922577,0.1147323403627783,0.1120778646217372,0.1809467630143046,0.1881728358649166,0.1737206901636926,R10_A10,R100_A100
5,cobolt-louvain,Embedding,6781.0,,,0.9801526079088386,0.9850880604349032,1.0,,0.597261487735687,0.5240830765015719,0.8040819091810748,0.7475240956737335,0.985735279094641,0.998213925057814,0.5953315150238557,0.6143502726591348,,,0.9616593580575412,0.972113440843428,1.0,,0.4910181505930828,0.4593670360307509,0.7212152925553256,0.6944849504217953,0.9715050123913628,0.9909169037155016,0.5576280242640829,0.6014689592454143,0.0697925214629276,0.0038342427370594,0.004129184486064,0.0035393009880548,0.6420881875829524,0.692965639286241,0.5912107358796638,0.7803421324288453,0.8082878631470285,0.7523964017106621,R25_A25,R100_A100
6,MIDAS-louvain,Embedding,6781.0,,,0.9918860448194788,0.9949621169801336,1.0,,0.5442987193289056,0.4746624129547432,0.7709274762553792,0.7127445804416319,0.9874352156652094,0.9925801986423584,0.5659364242242255,0.5556029323275845,,,0.930094743033292,0.958437139787944,1.0,,0.3893761849320964,0.3494198779153122,0.656376955004959,0.6234298999450378,0.972851386392878,0.9825084501863052,0.5338813615087075,0.5470767115626034,0.119693590275543,0.0081846335348768,0.0089957233446394,0.0073735437251142,0.7120631175342871,0.7289485326647988,0.6951777024037753,0.8537826279309837,0.8658015042029199,0.8417637516590474,R25_A25,R100_A100
7,multigrate-louvain,Embedding,6781.0,,,0.9656494576224528,0.9586092015500648,1.0,,0.5688306620303009,0.4380175560862552,0.8093811851496345,0.7176841852701968,0.9957005514392184,0.9996761420784204,0.6607837350479625,0.6492589894654553,,,0.8822965557999721,0.9247918912659544,1.0,,0.4122019186176188,0.4013277704696011,0.6543241127814032,0.6348375481983577,0.9630989173068149,0.9796002205715052,0.5309238434778655,0.5914591637886282,0.143509473204068,0.0013272378705205,0.0014747087450228,0.0011797669960182,0.4402742958265742,0.3997935407756968,0.4807550508774517,0.6683380032443592,0.6497566730570712,0.6869193334316472,R25_A25,R100_A100
8,multivi-louvain,Embedding,6781.0,,,0.9933029639695612,0.993372351476152,1.0,,0.6538733978815171,0.5596342391986998,0.8320338538963408,0.7679792270070297,0.9945657510056972,0.998346561909306,0.6297593472516991,0.6083827079403148,,,0.9738469798155543,0.9710100166016732,1.0,,0.5510468710587106,0.4567257280544001,0.7516974834601146,0.6861127910215135,0.9819651404936044,0.9913150510944608,0.5804910860995777,0.5841920802960059,0.0609192374374811,0.0068573956643562,0.007226072850612,0.0064887184781005,0.7773189795015485,0.7954578970653295,0.7591800619377673,0.874133608612299,0.890576611119304,0.8576906061052942,R25_A25,R100_A100
9,scmomat-louvain,Embedding,6781.0,,,0.9587084762025848,0.9915782037354284,1.0,,0.543743977697196,0.4576767050841152,0.7823864005985289,0.7158346355554045,0.9887561986575838,0.9984392746282208,0.5624469246170637,0.574119324417555,,,0.933072955062192,0.957309877025054,1.0,,0.3943178776210992,0.3387364610929175,0.6002149961067853,0.5693409271883696,0.96156351496589,0.9721090346158232,0.5143463646453599,0.542968759755545,0.4836925615242898,0.0005898834980091,0.0005898834980091,0.0005898834980091,0.1435628963279752,0.14968293761982,0.1374428550361303,0.2047633092464238,0.1909747824804601,0.2185518360123875,R25_A25,R100_A100
