,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW,c5k_1,c5k_2
0,cobolt-louvain,Embedding,15000.0,0.9272758192296624,0.8708072345065621,0.8259490696722438,0.4086213952791965,0.5357300015867511,0.9649885776114044,0.525484765191441,R100_A100,R100_A100
1,multigrate-louvain,Embedding,15000.0,0.843170443823173,0.7367776653259471,0.0252340079949374,0.1872844184957151,0.408302900491473,0.9462447704504836,0.4967455966195658,R100_A100,R100_A100
2,multivi-louvain,Embedding,15000.0,0.9428175120583536,0.8649514567721018,0.8031560592241571,0.3852917603819447,0.5399890419625633,0.9607965266734244,0.5224687685461148,R100_A100,R100_A100
3,cobolt-louvain,Embedding,15000.0,0.8619658685661561,0.7270641277232783,0.3284197278230802,0.2045114007472024,0.387488386254258,0.93316141055104,0.4822833607702151,R100_A100,R10_A10
4,multigrate-louvain,Embedding,15000.0,0.8314729262063962,0.5312057374787094,0.07359711336245,0.1187439692123336,0.2656740014715139,0.8958591323237441,0.4644421332733422,R100_A100,R10_A10
5,multivi-louvain,Embedding,15000.0,0.8699881382199657,0.7581245973460686,0.5844794616496154,0.3021884459906161,0.4372632720542977,0.9422046058834662,0.4939247721441738,R100_A100,R10_A10
6,scmomat-louvain,Embedding,15000.0,0.8328955804501623,0.6644721734246352,0.1872432938577493,0.0743051170226609,0.2067752524607346,0.8820921913523182,0.4636773562625698,R100_A100,R10_A10
7,cobolt-louvain,Embedding,15000.0,0.9196019895206152,0.8242722029481439,0.6670290388351705,0.3130852211836758,0.4841541914989206,0.9525352337851808,0.5001553302711766,R100_A100,R25_A25
8,multigrate-louvain,Embedding,15000.0,0.835955195693538,0.6382579365833595,0.0446453399719255,0.1576401254009781,0.3514172363652239,0.9239042004795408,0.4812470412074143,R100_A100,R25_A25
9,multivi-louvain,Embedding,15000.0,0.9318745180283344,0.8017897951648483,0.7527203593377345,0.3559555288888336,0.485165632303081,0.9499968401666838,0.5053759493865705,R100_A100,R25_A25
10,scmomat-louvain,Embedding,15000.0,0.8623464167196758,0.6776675062641024,0.2773887378618651,0.10746989563377,0.2424418033599439,0.8925781106444881,0.4607778615115777,R100_A100,R25_A25
11,cobolt-louvain,Embedding,15000.0,0.9445585936787276,0.857692689781402,0.8310554308781446,0.3694299749947084,0.5263739861403789,0.9619762385577436,0.5204377525489848,R100_A100,R50_A50
