,method,Output,nCell,Batch_ASW_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,AMI-RNA,graph_cLISI-RNA,isolated_labels_ASW-RNA,Batch_ASW_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,AMI-ATAC,graph_cLISI-ATAC,isolated_labels_ASW-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,c5k_1,c5k_2
0,cobolt-louvain,Embedding,5000.0,,0.892253610952517,1.0,,0.4113296204012419,0.5815929506298657,0.9596782509171476,0.5454674721774413,,0.8223770969930624,1.0,,0.3367881177298719,0.4761642831141184,0.9497456396782707,0.506543417177964,0.04036112,0.0182999999999999,0.018,0.0186,0.5933999999999999,0.6144,0.5724,R100_A100,R100_A100
1,multigrate-louvain,Embedding,5000.0,,0.8648872227901808,1.0,,0.3169162722732708,0.5401145041084893,0.95561177402477,0.523454721130333,,0.6208170180660055,1.0,,0.2176161626681769,0.3814501139830862,0.9202427082568464,0.463436900454457,0.1756704599999999,0.0023,0.0018,0.0028,0.3731,0.345,0.4012,R100_A100,R100_A100
2,multivi-louvain,Embedding,5000.0,,0.9025843500869548,1.0,,0.4152310565363639,0.5875471563290358,0.960361221093018,0.5497436371572268,,0.791381186079164,1.0,,0.2897194834260779,0.4570933529538838,0.9450836153641606,0.4961973578378891,0.05859116,0.0174,0.0152,0.0196,0.5944,0.6048,0.584,R100_A100,R100_A100
3,cobolt-louvain,Embedding,5000.0,,0.814819018603906,1.0,,0.3266642060460827,0.505474355956437,0.9521928907682944,0.5197643103845466,,0.7118969002210028,1.0,,0.2838278592874039,0.4371449736620104,0.9359445952112124,0.4816532729123541,0.16181568,0.002,0.0018,0.0022,0.3403,0.3518,0.3288,R100_A100,R10_A10
4,multigrate-louvain,Embedding,5000.0,,0.7976640284077787,1.0,,0.3025560903377556,0.5144597736538348,0.9479580094103646,0.5019206385910089,,0.4010247866962226,1.0,,0.1064072809378563,0.2155654759090891,0.8477785905349632,0.4275972377976887,0.4725215,0.0001,0.0002,0.0,0.0842,0.1296,0.0388,R100_A100,R10_A10
5,multivi-louvain,Embedding,5000.0,,0.8666867264555083,1.0,,0.4228825422526433,0.6034833122802407,0.9608588903536393,0.5417954731206297,,0.7055913145079904,1.0,,0.2600857468484451,0.3984676059324153,0.9155789421805238,0.4778183892309115,0.16804666,0.0041,0.0044,0.0038,0.4496,0.4692,0.43,R100_A100,R10_A10
6,scmomat-louvain,Embedding,5000.0,,0.7819034601999474,1.0,,0.2045924325978402,0.3707447776606678,0.911900487050019,0.4625055284275149,,0.6434933266910393,1.0,,0.1801255722634852,0.3255310209783402,0.9029509585813836,0.4569319415508957,0.4765522199999999,0.0006,0.0006,0.0006,0.0485,0.0586,0.0384,R100_A100,R10_A10
7,cobolt-louvain,Embedding,5000.0,,0.8371201288110275,1.0,,0.349952648854291,0.5350214402076648,0.9588253601768276,0.5263777286490788,,0.787004681449055,1.0,,0.3207783986213569,0.4722897316673212,0.947539911587355,0.4973082761557775,0.08735906,0.0065,0.0068,0.0062,0.5093,0.5192,0.4994,R100_A100,R25_A25
8,multigrate-louvain,Embedding,5000.0,,0.8423563836861759,1.0,,0.2938928934647463,0.5204509701764897,0.9461395865154258,0.5065702477775488,,0.5846641853417941,1.0,,0.2102035577365549,0.3377993279252699,0.8973337482003949,0.4482086592259343,0.31104412,0.0009,0.0014,0.0004,0.193,0.2134,0.1726,R100_A100,R25_A25
9,multivi-louvain,Embedding,5000.0,,0.8794710039933997,1.0,,0.3650090889212334,0.5673809937601698,0.957447304197819,0.546444965954987,,0.728444191372682,1.0,,0.285090624142201,0.4179476950972305,0.924761639131782,0.4815179963470734,0.1310736599999999,0.0066999999999999,0.0048,0.0086,0.5034000000000001,0.5046,0.5022,R100_A100,R25_A25
10,scmomat-louvain,Embedding,5000.0,,0.8009612853528626,1.0,,0.2012871136124223,0.354962606762669,0.9012031496597848,0.4658469403263783,,0.6322626695906017,1.0,,0.1503704135201853,0.307289905565666,0.900174762188825,0.4569204504604348,0.45005846,0.0003,0.0002,0.0004,0.107,0.1206,0.0934,R100_A100,R25_A25
11,cobolt-louvain,Embedding,5000.0,,0.8710145321346429,1.0,,0.3920990796781483,0.5694847895213941,0.960932256942321,0.5422568204816863,,0.8213970140260415,1.0,,0.3434314924064258,0.5008264594930467,0.9511185810681756,0.5050999231569648,0.0468725,0.0161,0.0162,0.016,0.5713,0.5934,0.5492,R100_A100,R50_A50
12,multigrate-louvain,Embedding,5000.0,,0.8670078544424357,1.0,,0.3330920808732258,0.5301005730463235,0.9518675589431864,0.5381155217259986,,0.6057840057851095,1.0,,0.2210634926676657,0.3611761295844563,0.9143074927325648,0.4555530397955404,0.20396452,0.0019,0.0018,0.002,0.3389,0.3496,0.3282,R100_A100,R50_A50
13,multivi-louvain,Embedding,5000.0,,0.9063077085275192,1.0,,0.4103007206297144,0.5988026364897256,0.9623588961652896,0.5532338524373221,,0.7638124895797209,1.0,,0.2675554085791897,0.4380111748788149,0.93685882201298,0.4913609513214647,0.08596682,0.0098999999999999,0.0092,0.0106,0.5609999999999999,0.5832,0.5388,R100_A100,R50_A50
14,scmomat-louvain,Embedding,5000.0,,0.7806635357124726,1.0,,0.2049480710213158,0.3608708415640224,0.8998197335197936,0.4709464940809884,,0.6146842018048786,1.0,,0.1730319513769832,0.3281386773223926,0.9044181953930944,0.4609118637938186,0.35271964,0.0009,0.0004,0.0014,0.2105,0.2334,0.1876,R100_A100,R50_A50
15,cobolt-louvain,Embedding,5000.0,,0.8828368464544676,1.0,,0.4115688874700651,0.5683257455568742,0.9605813490083084,0.5376371947985112,,0.7976972243048133,1.0,,0.3379656591101028,0.4821531726141853,0.9450115786406502,0.5042820449468791,0.04100468,0.0169,0.0164,0.0174,0.5777,0.6026,0.5528,R100_A100,R75_A75
16,multigrate-louvain,Embedding,5000.0,,0.8537297854455714,1.0,,0.2922784276680561,0.5294170121175421,0.9488420940577892,0.5249816014968456,,0.6017815670051335,1.0,,0.2037100690522226,0.3571031063804526,0.9127043001562825,0.4630589865574984,0.18037332,0.0018,0.0014,0.0022,0.3126,0.2848,0.3404,R100_A100,R75_A75
17,multivi-louvain,Embedding,5000.0,,0.895527885948115,1.0,,0.4167181225803067,0.5850966705120081,0.9626584864552988,0.5462703416663193,,0.7362427621961073,1.0,,0.3066998600751175,0.4381745623909495,0.9344056422887496,0.4896788147131333,0.06605554,0.0121,0.012,0.0122,0.5768,0.5828,0.5708,R100_A100,R75_A75
18,scmomat-louvain,Embedding,5000.0,,0.8075102182912185,1.0,,0.2102703815476026,0.3826144082815009,0.906876944734313,0.4713234573625496,,0.6983159991464489,1.0,,0.1678911559002278,0.3367167824361469,0.9113460139107816,0.4676618647494316,0.30438424,0.0019,0.0016,0.0022,0.2694,0.274,0.2648,R100_A100,R75_A75
19,scmomat-louvain,Embedding,5000.0,,0.7594594217511232,1.0,,0.1778009372325246,0.3460200087794068,0.9157592058071984,0.4650291826263948,,0.7198224115366665,1.0,,0.1559722992420709,0.347020840783793,0.9165960391099685,0.4727489447564121,0.23284852,0.0048,0.0044,0.0052,0.3371,0.3226,0.3516,R100_A100,R100_A100
20,cobolt-louvain,Embedding,5000.0,,0.6201568499477922,1.0,,0.1412330829196448,0.2848276775523107,0.8849366441854187,0.4546698487782831,,0.6242343868435052,1.0,,0.2228914803811513,0.3640242947394055,0.9077128657829512,0.4492923988195004,0.18064464,0.0036999999999999,0.0048,0.0026,0.3378,0.3484,0.3272,R10_A10,R100_A100
21,multigrate-louvain,Embedding,5000.0,,0.5689795797195976,1.0,,0.145674936861947,0.2636787730339779,0.8629804928873284,0.4643611594259328,,0.2956964370337571,1.0,,0.0630769505634001,0.0817601352656287,0.7692678164883019,0.4480034041228932,0.4253159199999999,0.0003,0.0002,0.0004,0.0959,0.091,0.1008,R10_A10,R100_A100
22,multivi-louvain,Embedding,5000.0,,0.6893684719072081,1.0,,0.211839952802366,0.3708476243417468,0.9111460554118246,0.4815230607378251,,0.5152345016954399,1.0,,0.1446515782080156,0.2800479102633941,0.8793554367451868,0.4499966111529264,0.2000775,0.0024,0.0024,0.0024,0.3497,0.3484,0.351,R10_A10,R100_A100
23,scmomat-louvain,Embedding,5000.0,,0.6017718582191299,1.0,,0.0724935323343585,0.1855067012378188,0.8233260632207119,0.4731750516986557,,0.5824952973730172,1.0,,0.1285600604826377,0.2483210763467981,0.8675517793651127,0.4589706578534567,0.29080972,0.0027,0.0034,0.002,0.2919,0.2934,0.2904,R10_A10,R100_A100
24,cobolt-louvain,Embedding,5000.0,,0.7452384581681631,1.0,,0.2786487773758294,0.4512006322834803,0.9385318132714098,0.4853905965063407,,0.719810594546658,1.0,,0.2865206820590176,0.4201130553566091,0.93531992647593,0.4753779458968188,0.08853896,0.0072,0.0056,0.0088,0.4739,0.4924,0.4554,R25_A25,R100_A100
25,multigrate-louvain,Embedding,5000.0,,0.7840938893288576,1.0,,0.2326071277002944,0.3945646035506889,0.9144721924635342,0.4971148819372955,,0.4676453079736833,1.0,,0.1132949272778921,0.2233245557632043,0.8622896685298251,0.4574092845062491,0.2965143999999999,0.0013,0.0018,0.0008,0.2077999999999999,0.2724,0.1432,R25_A25,R100_A100
26,multivi-louvain,Embedding,5000.0,,0.8215951780637498,1.0,,0.3022379005839977,0.4791455888057994,0.9393998195971875,0.5098628171554609,,0.6677803406091745,1.0,,0.2601836299599508,0.3836310230432974,0.9131781019538188,0.4722722794811165,0.128762,0.0051,0.005,0.0052,0.4546,0.4624,0.4468,R25_A25,R100_A100
27,scmomat-louvain,Embedding,5000.0,,0.6707238398561691,1.0,,0.1316808736598737,0.265365530316223,0.871119110578319,0.474541095283833,,0.6418982464942172,1.0,,0.1499545118442954,0.2908245798751623,0.894969421934832,0.4632503675254175,0.2409347399999999,0.0042,0.0042,0.0042,0.3541999999999999,0.352,0.3564,R25_A25,R100_A100
28,cobolt-louvain,Embedding,5000.0,,0.8446354588345777,1.0,,0.3881732711241789,0.5455710004922304,0.9533295292231624,0.5230419227961659,,0.7970195303223141,1.0,,0.3437586155192684,0.4620842406225932,0.940933035368748,0.4955210044935169,0.0534903199999999,0.0115,0.0112,0.0118,0.5405,0.5644,0.5166,R50_A50,R100_A100
