,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,bindSC-louvain,Embedding,20974.0,0.9896737066247946,0.9483361779820468
1,CiteFuse-louvain,Graph,20974.0,,0.7940453846347506
2,MaxFuse-louvain,Embedding,20974.0,0.9868006016542038,0.9474299111680198
3,MOFA2-louvain,Embedding,20974.0,0.9773604204893804,0.9544446849727736
4,multigrate-louvain,Embedding,20974.0,0.975685076123511,0.9525775628068718
5,SCALEX-louvain,Embedding,20974.0,0.9803808723038164,0.9506793446908792
6,sciPENN-louvain,Embedding,20974.0,0.9714187156540056,0.9520931798915168
7,scMDC-louvain,Embedding,20974.0,0.9776754953386948,0.950752491215737
8,SeuratV4-louvain,Graph,20974.0,,0.9655807854110364
9,totalVI-louvain,Embedding,20974.0,0.977285681837313,0.9494770939429262
10,bindSC-louvain,Embedding,20974.0,0.9896737066247946,0.9483361779820468
11,CiteFuse-louvain,Graph,20974.0,,0.7940453846347506
12,MaxFuse-louvain,Embedding,20974.0,0.9857089238919658,0.950051436172699
13,MOFA2-louvain,Embedding,20974.0,0.9773604204893804,0.9544446849727736
14,multigrate-louvain,Embedding,20974.0,0.975685076123511,0.9525775628068718
15,SCALEX-louvain,Embedding,20974.0,0.9803808723038164,0.9506793446908792
16,sciPENN-louvain,Embedding,20974.0,0.970580816826358,0.9525996204433014
17,scMDC-louvain,Embedding,20974.0,0.976429660602354,0.9492721446837796
18,SeuratV4-louvain,Graph,20974.0,,0.9655807854110364
19,totalVI-louvain,Embedding,20974.0,0.9834690956504424,0.9510526204140964
20,bindSC-louvain,Embedding,20974.0,0.9896737066247946,0.9483361779820468
21,CiteFuse-louvain,Graph,20974.0,,0.7940453846347506
22,MaxFuse-louvain,Embedding,20974.0,0.986056275451981,0.9457759638074976
23,MOFA2-louvain,Embedding,20974.0,0.9773604204893804,0.9544446849727736
24,multigrate-louvain,Embedding,20974.0,0.975685076123511,0.9525775628068718
25,SCALEX-louvain,Embedding,20974.0,0.9803808723038164,0.9506793446908792
26,sciPENN-louvain,Embedding,20974.0,0.9692458224850284,0.9535025606714826
27,scMDC-louvain,Embedding,20974.0,0.9729443823387584,0.951536168066052
28,SeuratV4-louvain,Graph,20974.0,,0.9655807854110364
29,totalVI-louvain,Embedding,20974.0,0.9796206449733548,0.9494978254757538
30,bindSC-louvain,Embedding,20974.0,0.9896737066247946,0.9483361779820468
31,CiteFuse-louvain,Graph,20974.0,,0.7940453846347506
32,MaxFuse-louvain,Embedding,20974.0,0.986614444134939,0.9501013903711146
33,MOFA2-louvain,Embedding,20974.0,0.9773604204893804,0.9544446849727736
34,multigrate-louvain,Embedding,20974.0,0.975685076123511,0.9525775628068718
35,SCALEX-louvain,Embedding,20974.0,0.9803808723038164,0.9506793446908792
36,sciPENN-louvain,Embedding,20974.0,0.9764887815882828,0.9560718109110596
37,scMDC-louvain,Embedding,20974.0,0.9769340216984972,0.9522678021251838
38,SeuratV4-louvain,Graph,20974.0,,0.9655807854110364
39,totalVI-louvain,Embedding,20974.0,0.9832722196910982,0.950094435249033
40,bindSC-louvain,Embedding,20974.0,0.9896737066247946,0.9483361779820468
41,CiteFuse-louvain,Graph,20974.0,,0.7940453846347506
42,MaxFuse-louvain,Embedding,20974.0,0.987230826102864,0.9482099309034848
43,MOFA2-louvain,Embedding,20974.0,0.9773604204893804,0.9544446849727736
44,multigrate-louvain,Embedding,20974.0,0.975685076123511,0.9525775628068718
45,SCALEX-louvain,Embedding,20974.0,0.9803808723038164,0.9506793446908792
46,sciPENN-louvain,Embedding,20974.0,0.9744727916052264,0.954926087305662
47,scMDC-louvain,Embedding,20974.0,0.9710356560651768,0.9522994863958244
48,SeuratV4-louvain,Graph,20974.0,,0.9655807854110364
49,totalVI-louvain,Embedding,20974.0,0.9789842534630516,0.9486560175954084
