,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,bindSC-louvain,Embedding,15618.0,0.913918726612109,0.4291079417855027
1,CiteFuse-louvain,Graph,15618.0,,0.1798143047590417
2,MaxFuse-louvain,Embedding,15618.0,0.862321277107551,0.4276277051028382
3,MOFA2-louvain,Embedding,15618.0,0.8535364166232309,0.4144810140346248
4,multigrate-louvain,Embedding,15618.0,0.819982273131727,0.3382588908895916
5,SCALEX-louvain,Embedding,15618.0,0.8880550558061794,0.4002472267465233
6,sciPENN-louvain,Embedding,15618.0,0.8546448339674712,0.4240685041213052
7,scMDC-louvain,Embedding,15618.0,0.8674409289221078,0.3223390086643443
8,SeuratV4-louvain,Graph,15618.0,,0.3711773780062207
9,totalVI-louvain,Embedding,15618.0,0.8893122166512604,0.2707223192953816
10,CiteFuse-louvain,Graph,15618.0,,0.1798143047590417
11,MaxFuse-louvain,Embedding,15618.0,0.8636556537762683,0.4235639168083971
12,MOFA2-louvain,Embedding,15618.0,0.8535364166232309,0.4144810140346248
13,multigrate-louvain,Embedding,15618.0,0.819982273131727,0.3382588908895916
14,SCALEX-louvain,Embedding,15618.0,0.8880550558061794,0.4002472267465233
15,sciPENN-louvain,Embedding,15618.0,0.8623749856192294,0.4265643296307815
16,scMDC-louvain,Embedding,15618.0,0.8558233097395124,0.2968187170721117
17,totalVI-louvain,Embedding,15618.0,0.8812815084956468,0.2824520470512811
18,CiteFuse-louvain,Graph,15618.0,,0.1798143047590417
19,MaxFuse-louvain,Embedding,15618.0,0.8586109098164255,0.4293180538519094
20,MOFA2-louvain,Embedding,15618.0,0.8535364166232309,0.4144810140346248
21,multigrate-louvain,Embedding,15618.0,0.819982273131727,0.3382588908895916
22,SCALEX-louvain,Embedding,15618.0,0.8880550558061794,0.4002472267465233
23,sciPENN-louvain,Embedding,15618.0,0.8646200090528066,0.4409610077607813
24,scMDC-louvain,Embedding,15618.0,0.8609202525054012,0.3091783819333554
25,totalVI-louvain,Embedding,15618.0,0.8861091508696242,0.280857552465897
26,CiteFuse-louvain,Graph,15618.0,,0.1798143047590417
27,MaxFuse-louvain,Embedding,15618.0,0.8562667730720231,0.4207459956437915
28,MOFA2-louvain,Embedding,15618.0,0.8535364166232309,0.4144810140346248
29,multigrate-louvain,Embedding,15618.0,0.819982273131727,0.3382588908895916
30,SCALEX-louvain,Embedding,15618.0,0.8880550558061794,0.4002472267465233
31,sciPENN-louvain,Embedding,15618.0,0.8494904122590187,0.4397437363450154
32,scMDC-louvain,Embedding,15618.0,0.8566067686154643,0.318663700652827
33,totalVI-louvain,Embedding,15618.0,0.8870928352447627,0.2667979713741482
34,CiteFuse-louvain,Graph,15618.0,,0.1798143047590417
35,MaxFuse-louvain,Embedding,15618.0,0.8524970030867237,0.4252230090291424
36,MOFA2-louvain,Embedding,15618.0,0.8535364166232309,0.4144810140346248
37,multigrate-louvain,Embedding,15618.0,0.819982273131727,0.3382588908895916
38,SCALEX-louvain,Embedding,15618.0,0.8880550558061794,0.4002472267465233
39,sciPENN-louvain,Embedding,15618.0,0.8697086822015265,0.4488309091988259
40,scMDC-louvain,Embedding,15618.0,0.8723945361362891,0.3063744710386138
41,totalVI-louvain,Embedding,15618.0,0.8910810446850748,0.2848465482823325
42,SeuratV4-louvain,Graph,15618.0,,0.3711773780062207
43,SeuratV4-louvain,Graph,15618.0,,0.3711773780062207
44,SeuratV4-louvain,Graph,15618.0,,0.3711773780062207
45,SeuratV4-louvain,Graph,15618.0,,0.3711773780062207
46,bindSC-louvain,Embedding,15618.0,0.913918726612109,0.4291079417855027
47,bindSC-louvain,Embedding,15618.0,0.913918726612109,0.4291079417855027
48,bindSC-louvain,Embedding,15618.0,0.913918726612109,0.4291079417855027
49,bindSC-louvain,Embedding,15618.0,0.913918726612109,0.4291079417855027
