,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,bindSC-louvain,Embedding,9026.0,0.904890421759122,0.8681516998284063,0.91179588613454,0.9535919502759412,0.1895885304943763,0.5579228725201157,0.5030685353734485,0.7420671599894423,0.7136028809273491,0.9884747820252624,0.9967870407742244,0.585312028725942,0.5761032927781343
1,CiteFuse,Graph,9026.0,,,1.0,1.0,0.1151843738661829,0.0,0.0,-1.616198915343812e-15,-2.287717763707675e-12,0.9468979065491638,0.776944466694517,,
2,MaxFuse-louvain,Embedding,9026.0,0.9002226762612637,0.8978262286138468,0.941039296128562,0.9310462461514882,0.2591286907610666,0.468095796838659,0.4602997866949494,0.7338836936547855,0.7059969601795836,0.9883879505624612,0.9941926007215768,0.5629799092809359,0.5466476682107896
3,MOFA2-louvain,Embedding,9026.0,0.8439244694525199,0.8395773321520797,0.814652491577573,0.8865901823968827,0.1774295396036516,0.3597786394926099,0.3312923277501067,0.6647742588003892,0.6357901393122998,0.9856445682276072,0.996131982334851,0.6084775726000468,0.5477508861571551
4,multigrate_batch-louvain,Embedding,9026.0,0.8293475123518206,0.9077418883624911,0.854519560720303,0.8954617234103525,0.430067789523871,0.4951119343526531,0.4684574157570371,0.7447198163352268,0.696976269187548,0.9893439601662244,0.9962710064442184,0.6205383688211441,0.5991512261331081
5,multigrate-louvain,Embedding,9026.0,0.8465469314332015,0.8654011538095111,0.7545501734680463,0.8811620732151336,0.2241968103441277,0.3213863608255105,0.2967635745947414,0.6560544717813995,0.6230557178313483,0.9858744844274392,0.994862187196456,0.6173520758748055,0.5939002587459982
6,SCALEX-louvain,Embedding,9026.0,0.872642774513055,0.8820990099829309,0.8769994651436049,0.9213132437256232,0.3010627378141999,0.4361857533592316,0.4677227475451552,0.7092579832564003,0.6972209045816784,0.9859104043447277,0.9935786740629804,0.5939684137701988,0.5793966454453766
7,sciPENN_batch,Embedding,9026.0,0.910065654425821,0.9488811488985788,0.455507247975326,0.7024887395666415,0.416135314681963,0.2497084285193011,0.2709016117129603,0.352665022098106,0.3400402629067139,0.9689061481992304,0.8964701769371312,0.4604841967423757,0.4552520198747515
8,sciPENN-louvain,Embedding,9026.0,0.9463181948371296,0.9572566835192582,0.7415707812288546,0.8696690265176488,0.4939964223966612,0.5778540781944247,0.6367950210451755,0.6436329384685696,0.6771897110687165,0.952690379052638,0.9040446415028892,0.4910097162549694,0.4951499451184645
9,scMDC-louvain,Embedding,9026.0,0.8692550342404509,0.8440769391901423,0.8855746121182738,0.8379168347291408,0.1815147495100212,0.4040626904416756,0.3943125350997142,0.7266560211829779,0.6845846867898129,0.992864518528521,0.9991940437614736,0.5108613868554434,0.6324251528829337
