,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,bindSC-louvain,Embedding,10465.0,,,0.955351139643497,0.9586704173215622,,0.5806730032648854,0.5231925063751619,0.7911376496216661,0.7553554018998678,0.9943096816488212,0.9997333869168752,0.5431297887606841,0.5863715127110481
1,CiteFuse,Graph,10465.0,,,1.0,1.0,,0.0,0.0,-2.2396868742087082e-11,-8.231584835358663e-12,0.9486650941649502,0.9799572202272966,,
2,MaxFuse-louvain,Embedding,10465.0,,,0.9649259016366966,0.9331133575144012,,0.6582617786591676,0.5908912487881838,0.8110868403530103,0.7758815569194115,0.993541385181646,0.9995963735035835,0.536860442261322,0.5401255555916578
3,MOFA2-louvain,Embedding,10465.0,,,0.900090083631715,0.9511891169025082,,0.4240550089715003,0.4058804792683346,0.7348743039912805,0.6957067198422905,0.9908764654558492,0.9997707682425292,0.5405860378278272,0.5718869458884001
4,multigrate-louvain,Embedding,10465.0,,,0.8861781157841019,0.9527363057016408,,0.4467708161363516,0.4113208289613508,0.7508675193854543,0.7048445513747515,0.9933733486199232,0.999826267457499,0.552831218455379,0.6395726852118969
5,SCALEX-louvain,Embedding,10465.0,,,0.9038118411736203,0.9504058605794596,,0.5359845678974052,0.5080569068961082,0.7642002928028825,0.7349918833495863,0.9897223019977582,0.9994514214976408,0.5426356643622153,0.6034549586474895
6,sciPENN-louvain,Embedding,10465.0,,,0.586845871969279,0.7418091990429408,,0.3160016665982495,0.2849344535351586,0.3431828894737587,0.3114908953273069,0.9336067902260236,0.8391263128449716,0.4500383902708755,0.4633611880242824
7,scMDC-louvain,Embedding,10465.0,,,0.9488186998047644,0.8975220674270566,,0.5897774128295448,0.5225059868280262,0.8075378982811507,0.7588319043632699,0.9981754304594892,1.0,0.5432576115800705,0.6301624186336994
8,SeuratV4,Graph,10465.0,,,0.9812210852419112,0.958318725190988,,0.6843287983299512,0.6019029876710976,0.8166769330716405,0.777007154216044,0.9971961455874786,1.0,,
9,totalVI-louvain,Embedding,10465.0,,,0.9589305457699132,0.9615484946368904,,0.662252210157785,0.572349123247259,0.8194269571347369,0.7710228450697155,0.9957877079574036,0.9996547386350992,0.5511772185732537,0.5511056643445045
10,bindSC-louvain,Embedding,10465.0,,,0.955351139643497,0.9586704173215622,,0.5806730032648854,0.5231925063751619,0.7911376496216661,0.7553554018998678,0.9943096816488212,0.9997333869168752,0.5431297887606841,0.5863715127110481
11,CiteFuse,Graph,10465.0,,,1.0,1.0,,0.0,0.0,-2.2396868742087082e-11,-8.231584835358663e-12,0.9486650941649502,0.9799572202272966,,
12,MaxFuse-louvain,Embedding,10465.0,,,0.9616427899900932,0.9477183428209426,,0.5913951658708173,0.5446401143326047,0.8029231316492766,0.7653792580406362,0.9945345818954866,0.9995701237692192,0.5365552855134745,0.5377627482172102
13,MOFA2-louvain,Embedding,10465.0,,,0.900090083631715,0.9511891169025082,,0.4240550089715003,0.4058804792683346,0.7348743039912805,0.6957067198422905,0.9908764654558492,0.9997707682425292,0.5405860378278272,0.5718869458884001
14,multigrate-louvain,Embedding,10465.0,,,0.8861781157841019,0.9527363057016408,,0.4467708161363516,0.4113208289613508,0.7508675193854543,0.7048445513747515,0.9933733486199232,0.999826267457499,0.552831218455379,0.6395726852118969
15,SCALEX-louvain,Embedding,10465.0,,,0.9038118411736203,0.9504058605794596,,0.5359845678974052,0.5080569068961082,0.7642002928028825,0.7349918833495863,0.9897223019977582,0.9994514214976408,0.5426356643622153,0.6034549586474895
16,sciPENN-louvain,Embedding,10465.0,,,0.5926345780570926,0.7362686116760518,,0.3361487192473779,0.3085385814723769,0.3640235053241928,0.3237741069650029,0.9406881421956858,0.8544122712501085,0.4522714871334181,0.4618305634707212
17,scMDC-louvain,Embedding,10465.0,,,0.9439051432145712,0.9099264836892262,,0.57664470734415,0.5090955548704251,0.8081463348592083,0.7553139459367965,0.9985459171879298,1.0,0.5413227589218111,0.6282303757965565
18,SeuratV4,Graph,10465.0,,,0.9812210852419112,0.958318725190988,,0.6843287983299512,0.6019029876710976,0.8166769330716405,0.777007154216044,0.9971961455874786,1.0,,
19,totalVI-louvain,Embedding,10465.0,,,0.9637512973391332,0.9610316907529408,,0.6515035039727914,0.5682235410115194,0.8160253918874376,0.765406600763997,0.9949968585691722,0.9994048876693484,0.5527731480653625,0.5460795546881855
20,bindSC-louvain,Embedding,10465.0,,,0.955351139643497,0.9586704173215622,,0.5806730032648854,0.5231925063751619,0.7911376496216661,0.7553554018998678,0.9943096816488212,0.9997333869168752,0.5431297887606841,0.5863715127110481
