,method,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW,Output,nCell
0,MaxFuse,0.899575032784504,0.8557325844133465,0.936787419104582,0.1384957483339589,0.532344091278779,0.7127575312720862,0.9932969341887088,0.557385536654942,Embedding,647366
1,MOFA2,0.8237135122705173,0.8162516917729503,0.8994032991561061,0.1729742626701287,0.4656087592389679,0.685446865907586,0.9915139701178391,0.5756814060834173,Embedding,647366
2,SCALEX,0.8454176295423637,0.8748764778774638,0.9060231684051044,0.2095600335109807,0.559767251490002,0.7349137809010232,0.99464702483686,0.5905685830509547,Embedding,647366
3,sciPENN,0.8112616744906209,0.7909705867046852,0.8627190210231124,0.1267804622221826,0.4122208332700464,0.6630541378849143,0.9950074526211188,0.5632224067475143,Embedding,647366
4,totalVI,0.898409728088239,0.7971749200690638,0.9201113410946884,0.0861896542356262,0.47127737733316,0.6879592876786286,0.9928530996766728,0.5712208050140332,Embedding,647366
5,MaxFuse,0.9031916176487568,0.858272937553364,0.937355988035847,0.1480961267729831,0.5346907781342658,0.7206195156645023,0.993096195300824,0.5566649949434561,Embedding,647366
6,MOFA2,0.8237135122705173,0.8162516917729503,0.8994032991561061,0.1729742626701287,0.4656087592389679,0.685446865907586,0.9915139701178391,0.5756814060834173,Embedding,647366
7,SCALEX,0.8454176295423637,0.8748764778774638,0.9060231684051044,0.2095600335109807,0.559767251490002,0.7349137809010232,0.99464702483686,0.5905685830509547,Embedding,647366
8,sciPENN,0.8116862481526643,0.7775905030570232,0.8552033028450676,0.1292197770410153,0.386657971559069,0.6539714206619194,0.9954904829050726,0.5589652867471111,Embedding,647366
9,totalVI,0.8915094524306242,0.7989660238180377,0.9161005885298223,0.0881832620387602,0.4766377134187924,0.6903321021774024,0.9932579695067236,0.5725964912156826,Embedding,647366
10,MaxFuse,0.8965449241691662,0.8657996244037216,0.9398986551390526,0.1401440327196946,0.5414394907748874,0.7202152139686598,0.9926150995748112,0.5563815046718251,Embedding,647366
11,MOFA2,0.8237135122705173,0.8162516917729503,0.8994032991561061,0.1729742626701287,0.4656087592389679,0.685446865907586,0.9915139701178391,0.5756814060834173,Embedding,647366
12,SCALEX,0.8454176295423637,0.8748764778774638,0.9060231684051044,0.2095600335109807,0.559767251490002,0.7349137809010232,0.99464702483686,0.5905685830509547,Embedding,647366
13,sciPENN,0.8136953825353911,0.7931323325911873,0.8567254923139928,0.1306690040340551,0.3872572835681103,0.6557692773566169,0.9951903111598884,0.5571847890621103,Embedding,647366
14,totalVI,0.899885801582184,0.8101925889516356,0.9204280496299542,0.0872431315933736,0.4768384152813493,0.6891489049196489,0.99297503688901,0.5706156769463272,Embedding,647366
15,MaxFuse,0.8974062399486744,0.8552938956777142,0.9349774461270798,0.14024986582396,0.5373528070087742,0.7199657692051916,0.992752353030531,0.5563485451961387,Embedding,647366
16,MOFA2,0.8237135122705173,0.8162516917729503,0.8994032991561061,0.1729742626701287,0.4656087592389679,0.685446865907586,0.9915139701178391,0.5756814060834173,Embedding,647366
17,SCALEX,0.8454176295423637,0.8748764778774638,0.9060231684051044,0.2095600335109807,0.559767251490002,0.7349137809010232,0.99464702483686,0.5905685830509547,Embedding,647366
18,sciPENN,0.8088632619336862,0.7732595916352077,0.8542069613315162,0.1348230763937569,0.4210157808539806,0.6674745158749888,0.995109367684173,0.5624397570303906,Embedding,647366
19,totalVI,0.8953629278133327,0.7793098307650279,0.9096385594710884,0.0872379787488369,0.4740126200655736,0.690118071802179,0.9926671126294074,0.5708822955650272,Embedding,647366
20,MaxFuse,0.8983408497739479,0.8587976474719281,0.938938280580639,0.1437767084789729,0.5273239942205205,0.7169284685284837,0.99272886374009,0.5560452220788826,Embedding,647366
21,MOFA2,0.8237135122705173,0.8162516917729503,0.8994032991561061,0.1729742626701287,0.4656087592389679,0.685446865907586,0.9915139701178391,0.5756814060834173,Embedding,647366
22,SCALEX,0.8454176295423637,0.8748764778774638,0.9060231684051044,0.2095600335109807,0.559767251490002,0.7349137809010232,0.99464702483686,0.5905685830509547,Embedding,647366
23,sciPENN,0.8164787448102171,0.7822729475973074,0.8553812945979766,0.1345431474465422,0.4007537223075625,0.6606919375411684,0.995007322691194,0.5626122729716169,Embedding,647366
24,totalVI,0.8959537654376131,0.8060959618538903,0.9141232274190244,0.0886666872802905,0.469774700646756,0.6828273748994548,0.9930101335680072,0.567028162147332,Embedding,647366
