,method,Batch_ASW_batch,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW,Output,nCell
0,bindSC,0.9765164462530423,0.6042418012052302,0.8907151569412294,-0.0009001084965517,5.494778444352735e-05,0.6194419342625097,0.4918788928161597,Embedding,7099.0
1,CiteFuse-louvain,,,0.4745166233288531,,,,,Graph,7099.0
2,MaxFuse,0.967500542061142,0.6602246908734581,0.8917345707941902,-0.0013001391515087,-0.000224153991213,0.6257090053994429,0.4920982147717344,Embedding,7099.0
3,MOFA2,0.951556479728246,0.5709013477892856,0.8923721653084394,-0.001435418654739,0.0005363704239252,0.6151370934390372,0.4828604404991936,Embedding,7099.0
4,multigrate,0.9551944548668336,0.4953113124038893,0.9006409690289416,0.0003861348259396,0.0006108288640683,0.6102026779564977,0.4777326972800351,Embedding,7099.0
5,SCALEX,0.961964277402664,0.5698086487783953,0.891359289409768,-0.0010672072076813,-0.0001732014874266,0.6142863602954234,0.4851624693145,Embedding,7099.0
6,sciPENN,0.9499148253524424,0.5229107727951536,0.8967435730637728,0.0012734491547351,6.774322769352826e-05,0.6104023892951719,0.4749519323176217,Embedding,7099.0
7,scMDC,0.9568955697738404,0.5063825666858706,0.8911627651552768,-0.0002008423096825,-0.0002011435145209,0.6097440898917058,0.4490200054964848,Embedding,7099.0
8,SeuratV4-louvain,,,0.7351197540041853,,,,,Graph,7099.0
9,totalVI,0.968590166205274,0.5904630371086396,0.887919262714887,-0.0007532676603916,-0.0002488080128006,0.6237549450591499,0.4855986898321481,Embedding,7099.0
10,bindSC,0.9765164462530423,0.6042418012052302,0.8907151569412294,-0.0009001084965517,5.494778444352735e-05,0.6194419342625097,0.4918788928161597,Embedding,7099.0
11,CiteFuse-louvain,,,0.4745166233288531,,,,,Graph,7099.0
12,MaxFuse,0.9663080568394388,0.6682210912234545,0.8796279520923965,-0.0001463370901993,-0.0004751219523247,0.6172451757662443,0.4908967213261695,Embedding,7099.0
13,MOFA2,0.951556479728246,0.5709013477892856,0.8923721653084394,-0.001435418654739,0.0005363704239252,0.6151370934390372,0.4828604404991936,Embedding,7099.0
14,multigrate,0.9551944548668336,0.4953113124038893,0.9006409690289416,0.0003861348259396,0.0006108288640683,0.6102026779564977,0.4777326972800351,Embedding,7099.0
15,SCALEX,0.961964277402664,0.5698086487783953,0.891359289409768,-0.0010672072076813,-0.0001732014874266,0.6142863602954234,0.4851624693145,Embedding,7099.0
16,sciPENN,0.9463437747672878,0.5230700646469901,0.8897521759708273,-0.0001244074999639,0.0011293703903935,0.6085192200183381,0.4759338858670421,Embedding,7099.0
17,scMDC,0.9566130713487132,0.501224576950788,0.8911721503978178,-0.0005463075754441,-0.000234394217639,0.6242733225654521,0.4492566224542402,Embedding,7099.0
18,SeuratV4-louvain,,,0.7351197540041853,,,,,Graph,7099.0
19,totalVI,0.97180288470861,0.6229505374982711,0.8871025324371713,-0.0025626134215242,-6.799810506815606e-05,0.6114725070678494,0.4858637389372147,Embedding,7099.0
20,bindSC,0.9765164462530423,0.6042418012052302,0.8907151569412294,-0.0009001084965517,5.494778444352735e-05,0.6194419342625097,0.4918788928161597,Embedding,7099.0
21,CiteFuse-louvain,,,0.4745166233288531,,,,,Graph,7099.0
22,MaxFuse,0.9716066397033132,0.6648361891320494,0.8754324922283071,-0.0017614061650844,-0.0007764641413744,0.625415997358667,0.4884876618605284,Embedding,7099.0
23,MOFA2,0.951556479728246,0.5709013477892856,0.8923721653084394,-0.001435418654739,0.0005363704239252,0.6151370934390372,0.4828604404991936,Embedding,7099.0
24,multigrate,0.9551944548668336,0.4953113124038893,0.9006409690289416,0.0003861348259396,0.0006108288640683,0.6102026779564977,0.4777326972800351,Embedding,7099.0
25,SCALEX,0.961964277402664,0.5698086487783953,0.891359289409768,-0.0010672072076813,-0.0001732014874266,0.6142863602954234,0.4851624693145,Embedding,7099.0
26,sciPENN,0.9506515633265646,0.5484345139451656,0.8912326400035635,0.0010573736571652,0.0003044253369134,0.6146507735441769,0.4755404793568665,Embedding,7099.0
27,scMDC,0.9570364868911786,0.5100818621007169,0.8914289067197849,-0.001864140100944,0.0004535418046958,0.6191259691169172,0.4485591899248815,Embedding,7099.0
28,SeuratV4-louvain,,,0.7351197540041853,,,,,Graph,7099.0
29,totalVI,0.968690956601613,0.5931794925739164,0.8944328994904943,-0.0010190523262619,0.0008542673733955,0.6138166180240566,0.485971359491703,Embedding,7099.0
30,bindSC,0.9765164462530423,0.6042418012052302,0.8907151569412294,-0.0009001084965517,5.494778444352735e-05,0.6194419342625097,0.4918788928161597,Embedding,7099.0
31,CiteFuse-louvain,,,0.4745166233288531,,,,,Graph,7099.0
32,MaxFuse,0.9682966435420458,0.6909079608605677,0.8881576604876708,-7.22458062334845e-05,0.0001472477933013,0.6212103913688742,0.4889527520918775,Embedding,7099.0
33,MOFA2,0.951556479728246,0.5709013477892856,0.8923721653084394,-0.001435418654739,0.0005363704239252,0.6151370934390372,0.4828604404991936,Embedding,7099.0
34,multigrate,0.9551944548668336,0.4953113124038893,0.9006409690289416,0.0003861348259396,0.0006108288640683,0.6102026779564977,0.4777326972800351,Embedding,7099.0
35,SCALEX,0.961964277402664,0.5698086487783953,0.891359289409768,-0.0010672072076813,-0.0001732014874266,0.6142863602954234,0.4851624693145,Embedding,7099.0
36,sciPENN,0.9446497470984278,0.5309720224418238,0.896684219437553,0.000970707910355,0.0006240238291574,0.6192077445232642,0.4733016607129858,Embedding,7099.0
37,scMDC,0.9588002584172484,0.51897470081446,0.8932409669834929,-0.0005491779368745,0.000431633175248,0.6168812219952952,0.4516903049356881,Embedding,7099.0
38,SeuratV4-louvain,,,0.7351197540041853,,,,,Graph,7099.0
39,totalVI,0.9734855990092808,0.6071505050304689,0.8877803912228744,-0.0007724824216318,-0.0002448770722262,0.6162493945964305,0.4851401673762925,Embedding,7099.0
40,bindSC,0.9765164462530423,0.6042418012052302,0.8907151569412294,-0.0009001084965517,5.494778444352735e-05,0.6194419342625097,0.4918788928161597,Embedding,7099.0
41,CiteFuse-louvain,,,0.4745166233288531,,,,,Graph,7099.0
42,MaxFuse,0.9692449068529392,0.6792918696505987,0.8865740261796432,-0.0009302361903474,-0.0002209549803393,0.6133450388407988,0.4901436596354913,Embedding,7099.0
43,MOFA2,0.951556479728246,0.5709013477892856,0.8923721653084394,-0.001435418654739,0.0005363704239252,0.6151370934390372,0.4828604404991936,Embedding,7099.0
44,multigrate,0.9551944548668336,0.4953113124038893,0.9006409690289416,0.0003861348259396,0.0006108288640683,0.6102026779564977,0.4777326972800351,Embedding,7099.0
45,SCALEX,0.961964277402664,0.5698086487783953,0.891359289409768,-0.0010672072076813,-0.0001732014874266,0.6142863602954234,0.4851624693145,Embedding,7099.0
46,sciPENN,0.9487820513819152,0.5003679957024486,0.8916353878982616,-0.0002246903710902,7.724770564498643e-05,0.6097004169715757,0.4749851301977676,Embedding,7099.0
47,scMDC,0.9544182384690592,0.4461754433741764,0.8956342172049059,-0.0010230648488162,0.0004468216763421,0.6133723011192056,0.450153636391319,Embedding,7099.0
48,SeuratV4-louvain,,,0.7351197540041853,,,,,Graph,7099.0
49,totalVI,0.9728957509586492,0.5980058613147458,0.890090140764765,0.0008645199256361,-2.0723086560126302e-06,0.6255717184503409,0.4862756790659789,Embedding,7099.0
