,method,Batch_ASW_batch,graph_connectivity,graph_iLISI,ARI,AMI,graph_cLISI,isolated_labels_ASW,Output,nCell
0,bindSC,0.9385007156973584,0.9696731314882744,0.244448737796309,0.3765893135343819,0.6512746448053685,0.9972302810137932,0.5733270831406116,Embedding,161764
1,MaxFuse,0.9301444978716772,0.9757544853064322,0.2542381722234199,0.378789133032017,0.6977705346582531,0.999905443604329,0.5464318444719538,Embedding,161764
2,MOFA2,0.878633245452272,0.9854579616012156,0.2421572228881233,0.3514351113483601,0.6734827324051903,1.0,0.602518891178382,Embedding,161764
3,SCALEX,0.9018709884567884,0.974340415539138,0.2259043327556138,0.3440110148511202,0.6445175701135328,0.9988075823360236,0.6070536321494728,Embedding,161764
4,sciPENN,0.8376880526008467,0.9514647495826408,0.0791520407105548,0.218793956726853,0.6043344835683716,0.9997636418038032,0.6070673499877254,Embedding,161764
5,scMDC,0.895948145469006,0.9751253465886944,0.3636192412261046,0.3862548961461102,0.6748891739440017,0.9994925052636582,0.6111257519417753,Embedding,161764
6,totalVI,0.870562634369992,0.9721426138682756,0.0850765052317943,0.2867814319012247,0.6490204683283183,0.999697560339027,0.582318562703828,Embedding,161764
7,MaxFuse,0.9342977648867312,0.9735566768408528,0.2465726030984009,0.3814955927603814,0.7006137722041162,0.9999475546196218,0.5458510515806362,Embedding,161764
8,MOFA2,0.878633245452272,0.9854579616012156,0.2421572228881233,0.3514351113483601,0.6734827324051903,1.0,0.602518891178382,Embedding,161764
9,SCALEX,0.9018709884567884,0.974340415539138,0.2259043327556138,0.3440110148511202,0.6445175701135328,0.9988075823360236,0.6070536321494728,Embedding,161764
10,sciPENN,0.8320284574302098,0.9569196301798776,0.0801245550480799,0.2329387912964231,0.6130052454628162,0.9997687723173008,0.6054515588718156,Embedding,161764
11,scMDC,0.8999276526991284,0.9736770481646158,0.3401881522107829,0.4099423639094053,0.6871785671101591,0.9996250931233068,0.6307937080952494,Embedding,161764
12,totalVI,0.8710925572577226,0.9749359751340336,0.0930080576474157,0.2944371000095807,0.6508513805380279,0.9996078176238732,0.5733376808542138,Embedding,161764
13,MaxFuse,0.9295636388483676,0.976190259387665,0.2534071907197723,0.4001117560570911,0.7083087875417858,0.99993701631653,0.5452265086642001,Embedding,161764
14,MOFA2,0.878633245452272,0.9854579616012156,0.2421572228881233,0.3514351113483601,0.6734827324051903,1.0,0.602518891178382,Embedding,161764
15,SCALEX,0.9018709884567884,0.974340415539138,0.2259043327556138,0.3440110148511202,0.6445175701135328,0.9988075823360236,0.6070536321494728,Embedding,161764
16,sciPENN,0.8397646103274622,0.9625987745647556,0.0825608075026003,0.2280118579025603,0.610799712621946,0.99980379546835,0.6055197457317263,Embedding,161764
17,scMDC,0.903513204251152,0.981733926349384,0.3529294567898988,0.4132953950556288,0.6847368967972353,0.9997085978721948,0.6188782636503068,Embedding,161764
18,totalVI,0.863720740886269,0.9717683772333288,0.0935651481654163,0.2996405265467134,0.6535496252273287,0.9995546382858356,0.57373382380077,Embedding,161764
19,MaxFuse,0.9306187888610538,0.9690200652907032,0.2458533148581101,0.3742495894306177,0.6986548610873712,0.9999030520001928,0.5459525866802627,Embedding,161764
20,MOFA2,0.878633245452272,0.9854579616012156,0.2421572228881233,0.3514351113483601,0.6734827324051903,1.0,0.602518891178382,Embedding,161764
21,SCALEX,0.9018709884567884,0.974340415539138,0.2259043327556138,0.3440110148511202,0.6445175701135328,0.9988075823360236,0.6070536321494728,Embedding,161764
22,sciPENN,0.8307850988622997,0.9514215619041704,0.0846048533119738,0.2219638560098264,0.6064314195595785,0.9997584418205756,0.6066192709840834,Embedding,161764
23,scMDC,0.9100676514601304,0.9820672428287782,0.349446472373514,0.4152086478313026,0.6871878545597205,0.999411664628071,0.5973485557672878,Embedding,161764
24,totalVI,0.8677941767455076,0.97363802733399,0.0751228304584532,0.2741327010169544,0.6356429817526393,0.9996017222521656,0.5755273840234926,Embedding,161764
25,MaxFuse,0.930058822470906,0.969394305540173,0.2525926098012751,0.37952352171879,0.6999011658169056,0.999894278824911,0.5455668640594619,Embedding,161764
26,MOFA2,0.878633245452272,0.9854579616012156,0.2421572228881233,0.3514351113483601,0.6734827324051903,1.0,0.602518891178382,Embedding,161764
27,SCALEX,0.9018709884567884,0.974340415539138,0.2259043327556138,0.3440110148511202,0.6445175701135328,0.9988075823360236,0.6070536321494728,Embedding,161764
28,sciPENN,0.8406902332717344,0.9599090523558026,0.081391391593917,0.2141072862771372,0.6025930789239947,0.9997745523368934,0.6065524799438814,Embedding,161764
29,scMDC,0.8928680434263802,0.9782886249622124,0.3662024536927208,0.4208726250982819,0.6968073650498484,0.9998730807298328,0.661050580344939,Embedding,161764
30,totalVI,0.8598323529704555,0.9714687162479756,0.075544224173399,0.2644757014812436,0.6169888581980044,0.999479047001885,0.5700892028010761,Embedding,161764
31,bindSC,0.9385007156973584,0.9696731314882744,0.244448737796309,0.3765893135343819,0.6512746448053685,0.9972302810137932,0.5733270831406116,Embedding,161764
32,bindSC,0.9385007156973584,0.9696731314882744,0.244448737796309,0.3765893135343819,0.6512746448053685,0.9972302810137932,0.5733270831406116,Embedding,161764
33,bindSC,0.9385007156973584,0.9696731314882744,0.244448737796309,0.3765893135343819,0.6512746448053685,0.9972302810137932,0.5733270831406116,Embedding,161764
34,bindSC,0.9385007156973584,0.9696731314882744,0.244448737796309,0.3765893135343819,0.6512746448053685,0.9972302810137932,0.5733270831406116,Embedding,161764
