,method,Output,nCell,graph_connectivity,ARI,AMI,graph_cLISI
0,bindSC-louvain,Embedding,3484.0,0.9307929338837088,0.2341284489982298,0.3552154596673486,0.8578195139097532
1,CiteFuse,Graph,3484.0,1.0,0.0,2.275732149190024e-13,0.92352985740394
2,MaxFuse-louvain,Embedding,3484.0,0.871660017586184,0.1530253047967472,0.2650351574508187,0.8322113064284024
3,MOFA2-louvain,Embedding,3484.0,0.9328117906239276,0.2700005858176443,0.3777897716189198,0.8814599433969545
4,multigrate-louvain,Embedding,3484.0,0.7350577919197665,0.1624609352233516,0.3545384412179846,0.8938182507183513
5,SCALEX-louvain,Embedding,3484.0,0.6877402282527545,0.1476651761907915,0.2861923759143924,0.8778261433872336
6,sciPENN-louvain,Embedding,3484.0,0.7498609882689546,0.1541804437172201,0.3105863568469729,0.8934342536067584
7,scMDC-louvain,Embedding,3484.0,0.7118687109004501,0.1273035174962555,0.2380572186416436,0.8513624291213281
8,SeuratV4,Graph,3484.0,0.9351622862453866,0.1899520340471002,0.327149617440771,0.8933392197630532
9,totalVI-louvain,Embedding,3484.0,0.8143223137414616,0.2395365863058046,0.3796372316993664,0.897144319032209
10,bindSC-louvain,Embedding,3484.0,0.9307929338837088,0.2341284489982298,0.3552154596673486,0.8578195139097532
11,CiteFuse,Graph,3484.0,1.0,0.0,2.275732149190024e-13,0.92352985740394
12,MOFA2-louvain,Embedding,3484.0,0.9328117906239276,0.2700005858176443,0.3777897716189198,0.8814599433969545
13,multigrate-louvain,Embedding,3484.0,0.7350577919197665,0.1624609352233516,0.3545384412179846,0.8938182507183513
14,SCALEX-louvain,Embedding,3484.0,0.6877402282527545,0.1476651761907915,0.2861923759143924,0.8778261433872336
15,sciPENN-louvain,Embedding,3484.0,0.7500338451961404,0.1520371470194911,0.312512375137226,0.8910182405342613
16,scMDC-louvain,Embedding,3484.0,0.7407121684608208,0.149167877709405,0.2877791914848746,0.8625502286535074
17,totalVI-louvain,Embedding,3484.0,0.8536906452410788,0.2489073348739983,0.3692535275350453,0.8986702675320571
18,bindSC-louvain,Embedding,3484.0,0.9307929338837088,0.2341284489982298,0.3552154596673486,0.8578195139097532
19,CiteFuse,Graph,3484.0,1.0,0.0,2.275732149190024e-13,0.92352985740394
20,MOFA2-louvain,Embedding,3484.0,0.9328117906239276,0.2700005858176443,0.3777897716189198,0.8814599433969545
21,multigrate-louvain,Embedding,3484.0,0.7350577919197665,0.1624609352233516,0.3545384412179846,0.8938182507183513
22,SCALEX-louvain,Embedding,3484.0,0.6877402282527545,0.1476651761907915,0.2861923759143924,0.8778261433872336
23,sciPENN-louvain,Embedding,3484.0,0.7785918797366177,0.1665836016548201,0.3224640570792453,0.8878479905140818
24,scMDC-louvain,Embedding,3484.0,0.7198260292739437,0.1555080357967432,0.2698540466517511,0.848106349754475
25,totalVI-louvain,Embedding,3484.0,0.8342965996375359,0.2166892240614127,0.3460865916364108,0.8934119398790865
26,bindSC-louvain,Embedding,3484.0,0.9307929338837088,0.2341284489982298,0.3552154596673486,0.8578195139097532
27,CiteFuse,Graph,3484.0,1.0,0.0,2.275732149190024e-13,0.92352985740394
28,MOFA2-louvain,Embedding,3484.0,0.9328117906239276,0.2700005858176443,0.3777897716189198,0.8814599433969545
29,multigrate-louvain,Embedding,3484.0,0.7350577919197665,0.1624609352233516,0.3545384412179846,0.8938182507183513
30,SCALEX-louvain,Embedding,3484.0,0.6877402282527545,0.1476651761907915,0.2861923759143924,0.8778261433872336
31,sciPENN-louvain,Embedding,3484.0,0.8300691140787395,0.1493683214595002,0.3019409696975733,0.8876185154598204
32,scMDC-louvain,Embedding,3484.0,0.7464954427509538,0.1446043525924584,0.2742620851947179,0.8615135113406426
33,totalVI-louvain,Embedding,3484.0,0.5121163410682738,0.1130502672743863,0.2581915900246162,0.8843245616185175
34,bindSC-louvain,Embedding,3484.0,0.9307929338837088,0.2341284489982298,0.3552154596673486,0.8578195139097532
35,CiteFuse,Graph,3484.0,1.0,0.0,2.275732149190024e-13,0.92352985740394
36,MOFA2-louvain,Embedding,3484.0,0.9328117906239276,0.2700005858176443,0.3777897716189198,0.8814599433969545
37,multigrate-louvain,Embedding,3484.0,0.7350577919197665,0.1624609352233516,0.3545384412179846,0.8938182507183513
38,sciPENN-louvain,Embedding,3484.0,0.7478594609549106,0.1457120994803374,0.3034282286046127,0.8903563308797726
39,scMDC-louvain,Embedding,3484.0,0.7101125371170309,0.126217766519873,0.2561814585736922,0.8483653259704353
40,totalVI-louvain,Embedding,3484.0,0.8295120493595471,0.2382907821536486,0.3777634761942582,0.8923543779401586
41,SCALEX-louvain,Embedding,3484.0,0.6877402282527545,0.1476651761907915,0.2861923759143924,0.8778261433872336
42,MaxFuse-louvain,Embedding,3484.0,0.8821775362074872,0.13079493479577,0.2321088050805736,0.8298438150028963
43,MaxFuse-louvain,Embedding,3484.0,0.9038801359706136,0.1193201289343634,0.2429341134713763,0.8313039404948859
44,MaxFuse-louvain,Embedding,3484.0,0.8783227042314558,0.126178455842914,0.2446458358907239,0.8269374866522335
45,MaxFuse-louvain,Embedding,3484.0,0.8978476508956508,0.1264641039529087,0.2347297340947065,0.8371037262158745
46,SeuratV4,Graph,3484.0,0.9351622862453866,0.1899520340471002,0.327149617440771,0.8933392197630532
47,SeuratV4,Graph,3484.0,0.9351622862453866,0.1899520340471002,0.327149617440771,0.8933392197630532
48,SeuratV4,Graph,3484.0,0.9351622862453866,0.1899520340471002,0.327149617440771,0.8933392197630532
49,SeuratV4,Graph,3484.0,0.9351622862453866,0.1899520340471002,0.327149617440771,0.8933392197630532
