,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,bindSC-louvain,Embedding,6843.0,0.9602352054182464,0.8022788261386429
1,CiteFuse-louvain,Graph,6843.0,,0.4964686690719178
2,MaxFuse-louvain,Embedding,6843.0,0.9300260778753066,0.7899347279744444
3,MOFA2-louvain,Embedding,6843.0,0.9030200424209844,0.7630683044113227
4,multigrate-louvain,Embedding,6843.0,0.9270378221777652,0.8899009325598555
5,sciPENN-louvain,Embedding,6843.0,0.914880383643345,0.7661602589234138
6,scMDC-louvain,Embedding,6843.0,0.9371622112654756,0.9007121611507911
7,SeuratV4-louvain,Graph,6843.0,,0.6896551724137923
8,totalVI-louvain,Embedding,6843.0,0.900756425038338,0.5349772903405108
9,bindSC-louvain,Embedding,6843.0,0.9602352054182464,0.8022788261386429
10,CiteFuse-louvain,Graph,6843.0,,0.4964686690719178
11,MaxFuse-louvain,Embedding,6843.0,0.9204142140573996,0.7745448063457225
12,MOFA2-louvain,Embedding,6843.0,0.9030200424209844,0.7630683044113227
13,multigrate-louvain,Embedding,6843.0,0.9270378221777652,0.8899009325598555
14,sciPENN-louvain,Embedding,6843.0,0.8835264592616516,0.7348566020797673
15,scMDC-louvain,Embedding,6843.0,0.9272678352472228,0.8886959346444254
16,SeuratV4-louvain,Graph,6843.0,,0.6896551724137923
17,totalVI-louvain,Embedding,6843.0,0.9078841504629152,0.5885241684231701
18,bindSC-louvain,Embedding,6843.0,0.9602352054182464,0.8022788261386429
19,CiteFuse-louvain,Graph,6843.0,,0.4964686690719178
20,MaxFuse-louvain,Embedding,6843.0,0.9295363673115408,0.7721775039192595
21,MOFA2-louvain,Embedding,6843.0,0.9030200424209844,0.7630683044113227
22,multigrate-louvain,Embedding,6843.0,0.9270378221777652,0.8899009325598555
23,sciPENN-louvain,Embedding,6843.0,0.9189861609848516,0.7606890155669128
24,scMDC-louvain,Embedding,6843.0,0.9289093294440152,0.8937776199378682
25,SeuratV4-louvain,Graph,6843.0,,0.6896551724137923
26,totalVI-louvain,Embedding,6843.0,0.9138665577973004,0.5898712858681563
27,bindSC-louvain,Embedding,6843.0,0.9602352054182464,0.8022788261386429
28,CiteFuse-louvain,Graph,6843.0,,0.4964686690719178
29,MaxFuse-louvain,Embedding,6843.0,0.9130194500206088,0.8032345992491521
30,MOFA2-louvain,Embedding,6843.0,0.9030200424209844,0.7630683044113227
31,multigrate-louvain,Embedding,6843.0,0.9270378221777652,0.8899009325598555
32,sciPENN-louvain,Embedding,6843.0,0.9124822280233232,0.759150425564755
33,scMDC-louvain,Embedding,6843.0,0.9321128420355,0.8811609423377291
34,SeuratV4-louvain,Graph,6843.0,,0.6896551724137923
35,totalVI-louvain,Embedding,6843.0,0.892504249143592,0.5718567927202163
36,bindSC-louvain,Embedding,6843.0,0.9602352054182464,0.8022788261386429
37,CiteFuse-louvain,Graph,6843.0,,0.4964686690719178
38,MaxFuse-louvain,Embedding,6843.0,0.9133902058479092,0.7594725654182526
39,MOFA2-louvain,Embedding,6843.0,0.9030200424209844,0.7630683044113227
40,multigrate-louvain,Embedding,6843.0,0.9270378221777652,0.8899009325598555
41,SCALEX-louvain,Embedding,6843.0,0.8866287052766343,0.5238307033283061
42,sciPENN-louvain,Embedding,6843.0,0.8968680279774734,0.7497853475918412
43,scMDC-louvain,Embedding,6843.0,0.930578724347683,0.8875983459459063
44,SeuratV4-louvain,Graph,6843.0,,0.6896551724137923
45,totalVI-louvain,Embedding,6843.0,0.8544515044783312,0.6445883369648726
46,SCALEX-louvain,Embedding,6843.0,0.8866287052766343,0.5238307033283061
47,SCALEX-louvain,Embedding,6843.0,0.8866287052766343,0.5238307033283061
48,SCALEX-louvain,Embedding,6843.0,0.8866287052766343,0.5238307033283061
49,SCALEX-louvain,Embedding,6843.0,0.8866287052766343,0.5238307033283061
