,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,cobolt-louvain,Embedding,15021.0,0.8892210069885607,0.3013294132939825
1,DCCA-louvain,Embedding,15021.0,0.9326423947727052,0.4167992673788854
2,MOFA2-louvain,Embedding,15021.0,0.9354559379704948,0.4094256290395071
3,multigrate-louvain,Embedding,15021.0,0.943250933633994,0.4388497696603977
4,multivi-louvain,Embedding,15021.0,0.8694048205011583,0.3206166781274782
5,scAI-louvain,Embedding,15021.0,0.9561390875184738,0.3940344807201765
6,scDEC-louvain,Embedding,15021.0,0.9472000562412356,0.3470987570244834
7,scMDC-louvain,Embedding,15021.0,0.9395655033975636,0.3905922854999593
8,scMVP-louvain,Embedding,15021.0,0.924268453177744,0.3851265495620766
9,SeuratV4,Graph,15021.0,,0.0688836189181627
10,uniPort-louvain,Embedding,15021.0,0.944059495481981,0.3757606725911002
11,cobolt-louvain,Embedding,15021.0,0.901403164985349,0.3286651262793036
12,DCCA-louvain,Embedding,15021.0,0.927118362476593,0.4138291268090857
13,MOFA2-louvain,Embedding,15021.0,0.9354559379704948,0.4094256290395071
14,multigrate-louvain,Embedding,15021.0,0.943250933633994,0.4388497696603977
15,multivi-louvain,Embedding,15021.0,0.8694048205011583,0.3206166781274782
16,scAI-louvain,Embedding,15021.0,0.9561390875184738,0.3940344807201765
17,scDEC-louvain,Embedding,15021.0,0.9458791626330654,0.3620495149786535
18,scMDC-louvain,Embedding,15021.0,0.9361841110162908,0.3599621891887727
19,scMVP-louvain,Embedding,15021.0,0.9373617615409277,0.4108545785712021
20,SeuratV4,Graph,15021.0,,0.0688836189181627
21,uniPort-louvain,Embedding,15021.0,0.944059495481981,0.3757606725911002
22,cobolt-louvain,Embedding,15021.0,0.9028476614675996,0.3363383107348134
23,DCCA-louvain,Embedding,15021.0,0.9315364013223092,0.4202288464490491
24,MOFA2-louvain,Embedding,15021.0,0.9354559379704948,0.4094256290395071
25,multigrate-louvain,Embedding,15021.0,0.943250933633994,0.4388497696603977
26,multivi-louvain,Embedding,15021.0,0.8694048205011583,0.3206166781274782
27,scAI-louvain,Embedding,15021.0,0.9561390875184738,0.3940344807201765
28,scDEC-louvain,Embedding,15021.0,0.9557377145862797,0.3511572541259831
29,scMDC-louvain,Embedding,15021.0,0.935658195822474,0.3849970659104023
30,scMVP-louvain,Embedding,15021.0,0.944803264517716,0.3961915064160599
31,SeuratV4,Graph,15021.0,,0.0688836189181627
32,uniPort-louvain,Embedding,15021.0,0.944059495481981,0.3757606725911002
33,cobolt-louvain,Embedding,15021.0,0.9018939290337166,0.3334742276088256
34,DCCA-louvain,Embedding,15021.0,0.9339971229375172,0.4085318402303854
35,MOFA2-louvain,Embedding,15021.0,0.9354559379704948,0.4094256290395071
36,multigrate-louvain,Embedding,15021.0,0.943250933633994,0.4388497696603977
37,multivi-louvain,Embedding,15021.0,0.8694048205011583,0.3206166781274782
38,scAI-louvain,Embedding,15021.0,0.9561390875184738,0.3940344807201765
39,scDEC-louvain,Embedding,15021.0,0.9578722727418464,0.3243344350804622
40,scMDC-louvain,Embedding,15021.0,0.9379466513205204,0.3959497676159615
41,scMVP-louvain,Embedding,15021.0,0.937803494620426,0.3833010302575577
42,SeuratV4,Graph,15021.0,,0.0688836189181627
43,uniPort-louvain,Embedding,15021.0,0.944059495481981,0.3757606725911002
44,cobolt-louvain,Embedding,15021.0,0.8907682584482146,0.3049589539730235
45,DCCA-louvain,Embedding,15021.0,0.9308754213976462,0.4242693543890428
46,MOFA2-louvain,Embedding,15021.0,0.9354559379704948,0.4094256290395071
47,multigrate-louvain,Embedding,15021.0,0.943250933633994,0.4388497696603977
48,multivi-louvain,Embedding,15021.0,0.8694048205011583,0.3206166781274782
49,scAI-louvain,Embedding,15021.0,0.9561390875184738,0.3940344807201765
50,scDEC-louvain,Embedding,15021.0,0.9506789607493809,0.3895704451824329
51,scMDC-louvain,Embedding,15021.0,0.923484238767378,0.3723481413775953
52,scMVP-louvain,Embedding,15021.0,0.943989401232192,0.3662067994157509
53,SeuratV4,Graph,15021.0,,0.0688836189181627
54,uniPort-louvain,Embedding,15021.0,0.944059495481981,0.3757606725911002
