,method,rna_n_features,atac_n_features,rna_raw_nzero_ratio_celltype,rna_raw_nzero_ratio_cell,rna_knn_nzero_ratio_celltype,rna_knn_nzero_ratio_cell,rna_raw_celltype_cor,rna_raw_cell_cor,rna_knn_celltype_cor,rna_knn_cell_cor,atac_raw_nzero_ratio_celltype,atac_raw_nzero_ratio_cell,atac_knn_nzero_ratio_celltype,atac_knn_nzero_ratio_cell,atac_raw_celltype_auprc,atac_raw_celltype_auroc,atac_raw_cell_auprc,atac_raw_cell_auroc,atac_knn_celltype_auprc,atac_knn_celltype_auroc,atac_knn_cell_auprc,atac_knn_cell_auroc
0,DCCA-louvain,3000,33626.0,0.8328636363636364,0.0831394184479106,0.952469696969697,0.4237617947236665,0.7777119123481295,0.5613816784071332,0.7896458011104276,0.77593879816446,0.7040331345333427,0.0300797516007031,0.9399842113516056,0.2558663315638091,0.9291062401244534,0.8605001487979531,0.2051819149728601,0.871541911404069,0.99062581282047,0.9067907720987974,0.741801509807476,0.8738855159177341
1,multivi-louvain,13431,116483.0,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.8964714703678499,0.7268690170680759,0.9126174956059422,0.9089730484874624,0.7140265493286964,0.0307315096641396,0.9362275259831124,0.2600278763686569,0.9296305076271096,0.8583964101906351,0.2006250529604767,0.8721145498254256,0.9891046583345604,0.8995773416822618,0.7499637838140115,0.8756680222088858
2,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.96382415356858,0.771029141021874,0.9675074028443756,0.9129750662455598,,,,,,,,,,,,
3,scMVP-louvain,3000,30000.0,0.8391515151515151,0.055424610051993,0.9651212121212122,0.4001984402079722,0.983011073838686,0.8919338319046537,0.9769487708738928,0.953769143032921,0.7234666666666667,0.0321861496244945,0.9475984848484847,0.2718039379934527,0.943847084843302,0.893144973952809,0.1316330031948697,0.8509927140418303,0.9936649127484176,0.9295026895156976,0.674732043538936,0.8593588087579034
4,DCCA-louvain,3000,33626.0,0.8328636363636364,0.0831394184479106,0.952469696969697,0.4237617947236665,0.7780778578195725,0.5554055184362026,0.7896383544344867,0.7683107648204194,0.7040331345333427,0.0300797516007031,0.9399842113516056,0.2558663315638091,0.92833788494567,0.8585846622598509,0.204726421611972,0.8707928976322428,0.99047841742251,0.9059149362896788,0.7401381473088512,0.872841939661523
5,multivi-louvain,13431,116483.0,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.8964714703678499,0.7268690170680759,0.9126174956059422,0.9089730484874624,0.7140265493286964,0.0307315096641396,0.9362275259831124,0.2600278763686569,0.9296305076271096,0.8583964101906351,0.2006250529604767,0.8721145498254256,0.9891046583345604,0.8995773416822618,0.7499637838140115,0.8756680222088858
6,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.957471443965414,0.7662547392468637,0.9609059009689858,0.9050788502998124,,,,,,,,,,,,
7,scMVP-louvain,3000,30000.0,0.8391515151515151,0.055424610051993,0.9651212121212122,0.4001984402079722,0.980836477439322,0.8967801304822907,0.9834860106358184,0.96753573468385,0.7234666666666667,0.0321861496244945,0.9475984848484847,0.2718039379934527,0.9448783267421256,0.8927900356611608,0.1467959809687078,0.8612285769390807,0.993762087809301,0.929861015437156,0.7051466401155383,0.8687770578585171
8,DCCA-louvain,3000,33626.0,0.8328636363636364,0.0831394184479106,0.952469696969697,0.4237617947236665,0.7771298388523745,0.5645232336452309,0.789219758498696,0.7807772541490556,0.7040331345333427,0.0300797516007031,0.9399842113516056,0.2558663315638091,0.9287191110675234,0.859623529633826,0.205166642807788,0.8718568938629172,0.9904422454850312,0.9053564598096367,0.7426016355810222,0.8742581564204523
9,multivi-louvain,13431,116483.0,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.8964714703678499,0.7268690170680759,0.9126174956059422,0.9089730484874624,0.7140265493286964,0.0307315096641396,0.9362275259831124,0.2600278763686569,0.9296305076271096,0.8583964101906351,0.2006250529604767,0.8721145498254256,0.9891046583345604,0.8995773416822618,0.7499637838140115,0.8756680222088858
10,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.9561376667695152,0.7579635771138366,0.9598227698713788,0.8940624120214757,,,,,,,,,,,,
11,scMVP-louvain,3000,30000.0,0.8391515151515151,0.055424610051993,0.9651212121212122,0.4001984402079722,0.9751331425240118,0.8923401837805219,0.9685522007528856,0.9626355026588326,0.7234666666666667,0.0321861496244945,0.9475984848484847,0.2718039379934527,0.9438016537638716,0.8958314197520173,0.1414544529066767,0.856383246920519,0.9938688809570092,0.934573278546182,0.6950737923482064,0.8656907635299407
12,DCCA-louvain,3000,33626.0,0.8328636363636364,0.0831394184479106,0.952469696969697,0.4237617947236665,0.7778204836717648,0.5644541817098712,0.790424728486525,0.7808488652149983,0.7040331345333427,0.0300797516007031,0.9399842113516056,0.2558663315638091,0.9291252758188108,0.8605692642507708,0.2049637936222664,0.8720354897888561,0.9905772223194564,0.907171615695777,0.7423353012846089,0.8746806726845407
13,multivi-louvain,13431,116483.0,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.8964714703678499,0.7268690170680759,0.9126174956059422,0.9089730484874624,0.7140265493286964,0.0307315096641396,0.9362275259831124,0.2600278763686569,0.9296305076271096,0.8583964101906351,0.2006250529604767,0.8721145498254256,0.9891046583345604,0.8995773416822618,0.7499637838140115,0.8756680222088858
