,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,cobolt-louvain,Embedding,6924.0,0.8204841773858489,0.8558715244448365,0.8769942511195612,0.9293684974879288,0.2966357527127399,0.3473411605377012,0.4069610026287524,0.5764978960357062,0.5876230034891888,0.9536415306403834,0.9532433717105436,0.4629702009260654,0.6058657765388489
1,DCCA-louvain,Embedding,6924.0,0.8289917749204067,0.8393177476648873,0.93111104840999,0.962789554277465,0.2339875479343282,0.4358273296070695,0.4407603996557773,0.648438372872614,0.6246738706720575,0.9683466147027818,0.9764345024586966,0.6189615502953529,0.6165902763605118
2,MOFA2-louvain,Embedding,6924.0,0.8401746180196238,0.840249452407896,0.9038380084117472,0.9412583029865816,0.2588556325787103,0.3237679907368578,0.3863754050579429,0.5762218370563142,0.5936791138838992,0.9555238336430346,0.967902051005734,0.7130801230669022,0.5376284122467041
3,multigrate_batch-louvain,Embedding,6924.0,0.8387872990538713,0.9306779241363758,0.9210250570258524,0.9348027158131924,0.4443029298306327,0.5063265836542986,0.4541368259236495,0.6991753931447363,0.6673001659763556,0.9815211597994298,0.9841322434311044,0.4110868126153946,0.4446485601365566
4,multigrate-louvain,Embedding,6924.0,0.8242098282502668,0.9275149773287866,0.9239642083671592,0.9612144685599135,0.4402178897551616,0.4346066471156207,0.4274921493039039,0.663291877893211,0.6453625320242334,0.976337214408153,0.9808919509849924,0.3998587727546692,0.4577630050480366
5,multivi_batch-louvain,Embedding,6924.0,0.8207438147102883,0.8758112992059689,0.9298439456925388,0.9405145607043544,0.3090858299878643,0.3558108992089849,0.3744459538603342,0.6121454550759604,0.6052759837067502,0.9593400398392056,0.955579521531711,0.5274028219282627,0.600578673183918
6,multivi-louvain,Embedding,6924.0,0.7940634173611237,0.852124130030187,0.9223581661100048,0.9423438565961224,0.2633080748215426,0.3406728759538858,0.3548302959151757,0.581227552634747,0.575307776132663,0.9564638964556542,0.947654228876277,0.6049966365098953,0.6268045157194138
7,scAI-louvain,Embedding,6924.0,0.8654111289098498,0.8504731764568331,0.9510302719938268,0.9736493895161968,0.1945282967062543,0.4694730322365988,0.4162504152269177,0.6814256559119204,0.6424385394437769,0.9773838241181432,0.9800144845749648,0.6631995588541031,0.5547776333987713
8,scDEC-louvain,Embedding,6924.0,0.935342447712352,0.954272747072035,0.8813656482966706,0.9002147223233131,0.3815345286755158,0.3127166652011899,0.4338183675792474,0.5265911108654886,0.5849758584247692,0.9234109338377798,0.9035211499716362,0.4073967486619949,0.5102292522788048
9,scMDC-louvain,Embedding,6924.0,0.8799628873411149,0.9128682891799296,0.9249921973116548,0.9777818536568632,0.2852565305234154,0.594620107514047,0.5339341923266654,0.7306444476134263,0.67851403204464,0.9843965709407576,0.9866275638480606,0.3053594082593918,0.4952670116908848
10,scMVAE-louvain,Embedding,6924.0,0.8747531260529476,0.8752006165509505,0.9760054062259388,0.9894350966136732,0.2363008230429075,0.3953769114324471,0.4760565418925618,0.6039817930941166,0.625891061888208,0.9500534456144062,0.940963946862708,0.6743463724851608,0.6020188182592392
11,scMVP-louvain,Embedding,6924.0,0.8748875281597067,0.8694310434864236,0.9590631322047556,0.980223426726154,0.1924683143700654,0.5165567124469805,0.4750660371741385,0.7127076301911446,0.6825803524659471,0.9802997363218104,0.9843822813246326,0.5854012742638588,0.5242024008184671
12,SeuratV4,Graph,6924.0,,,0.9827210433794308,0.9795136568566748,0.2582685055266187,0.5895644737476199,0.4847127748610804,0.7409670636334951,0.6775457400656647,0.9865799909322638,0.988653661733352,,
13,uniPort-louvain,Embedding,6924.0,0.8607641261442157,0.8988020772899828,0.8838699258892707,0.8784367387254485,0.3806725969531375,0.4656505760890705,0.5243895435637883,0.6539646684063116,0.6640474262058711,0.9594828768824496,0.9584527173926356,0.5307407155632973,0.4537478424608707
