,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1
0,cobolt-louvain,Embedding,6781.0,,,0.9723505652952088,0.985925746337318,,0.5925311972244826,0.5237672111681667,0.7667376925221522,0.7212928632999833,0.987375076746889,0.9993454760122168,0.6035178629681468,0.6473085266641445
1,DCCA-louvain,Embedding,6781.0,,,0.974148325171329,0.9929282351619246,,0.5621657524791933,0.4442648045033279,0.7777343072733706,0.7030250747090571,0.9925597433634152,0.9990976484296632,0.6057597211162958,0.6162884529266093
2,MOFA2-louvain,Embedding,6781.0,,,0.9763370963813538,0.9874300483714068,,0.5133345856693818,0.4146147621384351,0.751998623574404,0.6966835598973171,0.9850759016002562,0.9980124202613908,0.5887257564546806,0.6139201530151897
3,multigrate-louvain,Embedding,6781.0,,,0.979576881692336,0.974091505160934,,0.5612606528516312,0.4412946601312251,0.790612234842973,0.7060047562899059,0.990297436367502,0.9996214965857096,0.6216248921399321,0.6475140170918571
4,multivi-louvain,Embedding,6781.0,,,0.9720726573312704,0.9799615531766512,,0.4912752652948455,0.3963014634954214,0.75966120096911,0.6856836935266043,0.9889057842199778,0.9998016359438716,0.6189839801019323,0.6523309134774737
5,scAI-louvain,Embedding,6781.0,,,0.99360545150624,0.9758287073739428,,0.6676962101296147,0.530230424963715,0.838691198613205,0.751528646057211,0.99644496833894,0.999834482353602,0.6488363237475001,0.6014011341871487
6,scDEC-louvain,Embedding,6781.0,,,0.9646432127697724,0.967667372365534,,0.3244171869844405,0.3983426824598139,0.5272036547883314,0.5203172781674092,0.9011937506968296,0.8873748985315727,0.4852583792415403,0.5343480858848326
7,scMDC-louvain,Embedding,6781.0,,,0.9926157647784084,0.9940764049557028,,0.6698296283572046,0.5328561797050277,0.8411079559641295,0.752598949505169,0.9963851052483892,0.9997187111269872,0.6171960325667724,0.6376356076863077
8,scMVAE-louvain,Embedding,6781.0,,,0.9611353167568116,0.9863979839030664,,0.5234344938323546,0.426234775110045,0.7408581692904316,0.6748411274146398,0.9886030230068622,0.9963451662685874,0.5759635475452731,0.5769675810717874
9,scMVP-louvain,Embedding,6781.0,,,0.9911184807723052,0.9888967199721452,,0.6692755085460316,0.5154074848487787,0.8435491136276981,0.7452503716764787,0.9946174891308552,0.9995596632976218,,
10,SeuratV4,Graph,6781.0,,,0.992803491636594,0.9867935254223578,,0.6917141760235148,0.523472927790218,0.8486169707624578,0.7432676648031429,0.9957589352773412,0.9999999999999994,,
11,uniPort-louvain,Embedding,6781.0,,,0.9695764076997958,0.9884772193186154,,0.6010383111213036,0.5878832953189294,0.781189249625599,0.7591190105046466,0.9820855429294352,0.9973971882784912,0.5821291860193014,0.6313091508216329
12,cobolt-louvain,Embedding,6781.0,,,0.9602462577802496,0.9838814574494572,,0.5277214551303109,0.4496018395219774,0.7341851263630538,0.6818731708263641,0.9803517480247852,0.9975596433510148,0.5855465919400255,0.6500503137293789
13,DCCA-louvain,Embedding,6781.0,,,0.969584370845046,0.9916401782476612,,0.5374445177850604,0.4634346189895204,0.7716876735800987,0.709169143042184,0.9929470311154114,0.9988405559655996,0.6105196311892498,0.6129200112902455
14,MOFA2-louvain,Embedding,6781.0,,,0.9763370963813538,0.9874300483714068,,0.5133345856693818,0.4146147621384351,0.751998623574404,0.6966835598973171,0.9850759016002562,0.9980124202613908,0.5887257564546806,0.6139201530151897
15,multigrate-louvain,Embedding,6781.0,,,0.979576881692336,0.974091505160934,,0.5612606528516312,0.4412946601312251,0.790612234842973,0.7060047562899059,0.990297436367502,0.9996214965857096,0.6216248921399321,0.6475140170918571
16,multivi-louvain,Embedding,6781.0,,,0.9720726573312704,0.9799615531766512,,0.4912752652948455,0.3963014634954214,0.75966120096911,0.6856836935266043,0.9889057842199778,0.9998016359438716,0.6189839801019323,0.6523309134774737
17,scAI-louvain,Embedding,6781.0,,,0.99360545150624,0.9758287073739428,,0.6676962101296147,0.530230424963715,0.838691198613205,0.751528646057211,0.99644496833894,0.999834482353602,0.6488363237475001,0.6014011341871487
18,scDEC-louvain,Embedding,6781.0,,,0.9798514162237508,0.9925957297095755,,0.3256288035692383,0.3800042889701587,0.481574151573192,0.4893838948915127,0.8898789468248335,0.8634130792993666,0.500558199128136,0.5151286219867567
19,scMDC-louvain,Embedding,6781.0,,,0.9933497748446216,0.9945485873695242,,0.7818434731103152,0.6464145329706243,0.8498631446660665,0.7785894555582586,0.9947379508281718,0.9996625192134592,0.61003482665789,0.6214940477059119
20,scMVAE-louvain,Embedding,6781.0,,,0.995662596355322,0.9959551877445156,,0.5980566059555463,0.5303152533560073,0.776775141213521,0.7241270843962847,0.9757374456888556,0.984810217882078,0.5456965588299292,0.5320255301064916
21,scMVP-louvain,Embedding,6781.0,,,0.989423216837026,0.9909420750842792,,0.6808545306702017,0.5532257042681086,0.8383597253929744,0.7565987782239679,0.994746476190248,0.9994416816110812,,
22,SeuratV4,Graph,6781.0,,,0.992803491636594,0.9867935254223578,,0.6917141760235148,0.523472927790218,0.8486169707624578,0.7432676648031429,0.9957589352773412,0.9999999999999994,,
23,uniProt-louvain,Embedding,6781.0,,,0.9695764076997958,0.9884772193186154,,0.6010383111213036,0.5878832953189294,0.781189249625599,0.7591190105046466,0.9820855429294352,0.9973971882784912,0.5821291860193014,0.6313091508216329
24,cobolt-louvain,Embedding,6781.0,,,0.9521103924607476,0.9743790052852758,,0.4808026731129177,0.4289867449892349,0.7097188534626788,0.6699612383650078,0.9792651454895128,0.9981617936387036,0.5735879695996464,0.6477225073095825
