,method,Output,nCell,Batch_ASW_batch,graph_iLISI
0,cobolt-louvain,Embedding,10587.0,0.9117952597442442,0.6484335428751486
1,DCCA-louvain,Embedding,10587.0,0.9092856369348008,0.6453278491525073
2,MOFA2-louvain,Embedding,10587.0,0.9154750159558944,0.6456365226771069
3,multigrate-louvain,Embedding,10587.0,0.9105563496360688,0.6463421729908156
4,multivi-louvain,Embedding,10587.0,0.8879415491327551,0.6527372548783124
5,scAI-louvain,Embedding,10587.0,0.930803773918964,0.6413820265249318
6,scDEC-louvain,Embedding,10587.0,0.9471660594822668,0.6323638080019128
7,scMDC-louvain,Embedding,10587.0,0.9240475122084472,0.6340623561030202
8,scMVAE-louvain,Embedding,10587.0,0.9348533611779056,0.6315652993498524
9,scMVP-louvain,Embedding,10587.0,0.9376890721434764,0.6365601222440168
10,SeuratV4-louvain,Graph,10587.0,,0.6870758161070036
11,uniPort-louvain,Embedding,10587.0,0.903492351874134,0.6432406318887179
12,cobolt-louvain,Embedding,10587.0,0.9020744569562212,0.6437266430957905
13,DCCA-louvain,Embedding,10587.0,0.9139639053553664,0.6413145084467092
14,MOFA2-louvain,Embedding,10587.0,0.9154750159558944,0.6456365226771069
15,multigrate-louvain,Embedding,10587.0,0.9105563496360688,0.6463421729908156
16,multivi-louvain,Embedding,10587.0,0.8879415491327551,0.6527372548783124
17,scAI-louvain,Embedding,10587.0,0.930803773918964,0.6413820265249318
18,scDEC-louvain,Embedding,10587.0,0.9505245513238046,0.6328578967353155
19,scMDC-louvain,Embedding,10587.0,0.9279793732318165,0.6371475171784655
20,scMVAE-louvain,Embedding,10587.0,0.9449770593513296,0.6368928912989059
21,scMVP-louvain,Embedding,10587.0,0.9361768992095444,0.6390852629371682
22,SeuratV4-louvain,Graph,10587.0,,0.6870758161070036
23,uniPort-louvain,Embedding,10587.0,0.903492351874134,0.6432406318887179
24,cobolt-louvain,Embedding,10587.0,0.9219590955219684,0.6491273793034821
25,DCCA-louvain,Embedding,10587.0,0.9109123629484496,0.6487722406079276
26,MOFA2-louvain,Embedding,10587.0,0.9154750159558944,0.6456365226771069
27,multigrate-louvain,Embedding,10587.0,0.9105563496360688,0.6463421729908156
28,multivi-louvain,Embedding,10587.0,0.8879415491327551,0.6527372548783124
29,scAI-louvain,Embedding,10587.0,0.930803773918964,0.6413820265249318
30,scDEC-louvain,Embedding,10587.0,0.9571289081680296,0.6356963799288161
31,scMDC-louvain,Embedding,10587.0,0.9240475122084472,0.6340623561030202
32,scMVAE-louvain,Embedding,10587.0,0.938884789238857,0.6389873565862828
33,scMVP-louvain,Embedding,10587.0,0.9347694144829056,0.6366526300691097
34,SeuratV4-louvain,Graph,10587.0,,0.6870758161070036
35,uniPort-louvain,Embedding,10587.0,0.903492351874134,0.6432406318887179
36,cobolt-louvain,Embedding,10587.0,0.9031713378126832,0.6474424395497554
37,DCCA-louvain,Embedding,10587.0,0.9107873957569984,0.6432058995347515
38,MOFA2-louvain,Embedding,10587.0,0.9154750159558944,0.6456365226771069
39,multigrate-louvain,Embedding,10587.0,0.9105563496360688,0.6463421729908156
40,multivi-louvain,Embedding,10587.0,0.8879415491327551,0.6527372548783124
41,scAI-louvain,Embedding,10587.0,0.930803773918964,0.6413820265249318
42,scDEC-louvain,Embedding,10587.0,0.9466782452662192,0.636711832980208
43,scMDC-louvain,Embedding,10587.0,0.9131588807015184,0.6422787116768724
44,scMVP-louvain,Embedding,10587.0,0.9448210222286316,0.6326017440032529
45,SeuratV4-louvain,Graph,10587.0,,0.6870758161070036
46,uniPort-louvain,Embedding,10587.0,0.903492351874134,0.6432406318887179
47,cobolt-louvain,Embedding,10587.0,0.9048839029171052,0.6522585973044709
48,DCCA-louvain,Embedding,10587.0,0.910768290737697,0.6437192747321486
49,MOFA2-louvain,Embedding,10587.0,0.9154750159558944,0.6456365226771069
50,multigrate-louvain,Embedding,10587.0,0.9105563496360688,0.6463421729908156
51,multivi-louvain,Embedding,10587.0,0.8879415491327551,0.6527372548783124
52,scAI-louvain,Embedding,10587.0,0.930803773918964,0.6413820265249318
53,scDEC-louvain,Embedding,10587.0,0.9599491364937732,0.6338458478165715
54,scMDC-louvain,Embedding,10587.0,0.9134232986668264,0.6358070195314002
55,scMVP-louvain,Embedding,10587.0,0.9370081194004134,0.6399200566186117
56,SeuratV4-louvain,Graph,10587.0,,0.6870758161070036
57,uniPort-louvain,Embedding,10587.0,0.903492351874134,0.6432406318887179
58,scMVAE-louvain,Embedding,10587.0,0.9332859611424204,0.6375495239945366
59,scMVAE-louvain,Embedding,10587.0,0.935499424882346,0.6345488272880058
