,method,rna_n_features,atac_n_features,rna_raw_nzero_ratio_celltype,rna_raw_nzero_ratio_cell,rna_knn_nzero_ratio_celltype,rna_knn_nzero_ratio_cell,rna_raw_celltype_cor,rna_raw_cell_cor,rna_knn_celltype_cor,rna_knn_cell_cor,atac_raw_nzero_ratio_celltype,atac_raw_nzero_ratio_cell,atac_knn_nzero_ratio_celltype,atac_knn_nzero_ratio_cell,atac_raw_celltype_auprc,atac_raw_celltype_auroc,atac_raw_cell_auprc,atac_raw_cell_auroc,atac_knn_celltype_auprc,atac_knn_celltype_auroc,atac_knn_cell_auprc,atac_knn_cell_auroc
0,multivi-louvain,15517,323264,0.964028699705699,0.0478248114970677,0.991654314622672,0.353394522137011,0.9885794133006218,0.8858419488847264,0.9888850292660992,0.9365301251570708,0.9359233732594208,0.0134794090897841,0.9935743953342572,0.1697616827113442,0.9915737695742098,0.9105641067453696,0.0852812019287825,0.8409017307338152,0.999505656584268,0.9494319596813666,0.5751583192807305,0.8440619137180579
1,scMVP-louvain,3000,30000,0.5908550724637681,0.0251918770729089,0.8394057971014491,0.1739683767565806,0.998848536157148,0.9865520924054456,0.9979052399008772,0.9904441753667896,0.7633376811594204,0.0099965817373133,0.994427536231884,0.1217471645482256,0.9488051658290466,0.8866779906034827,0.0821880575112137,0.8941641396731753,0.999419211796736,0.9589031617667768,0.5549872696265506,0.8715367932068117
2,multivi-louvain,15517,323264,0.964028699705699,0.0478248114970677,0.991654314622672,0.353394522137011,0.9885794133006218,0.8858419488847264,0.9888850292660992,0.9365301251570708,0.9359233732594208,0.0134794090897841,0.9935743953342572,0.1697616827113442,0.9915737695742098,0.9105641067453696,0.0852812019287825,0.8409017307338152,0.999505656584268,0.9494319596813666,0.5751583192807305,0.8440619137180579
3,scMVP-louvain,3000,30000,0.5908550724637681,0.0251918770729089,0.8394057971014491,0.1739683767565806,0.9987095855958492,0.9864927141833126,0.997698657189086,0.989608667111384,0.7633376811594204,0.0099965817373133,0.994427536231884,0.1217471645482256,0.947602728542732,0.8852725267308981,0.0826568386360267,0.8941661579421321,0.9993436697743124,0.9542374913855156,0.5590507264222897,0.8722792306558118
4,multivi-louvain,15517,323264,0.964028699705699,0.0478248114970677,0.991654314622672,0.353394522137011,0.9885794133006218,0.8858419488847264,0.9888850292660992,0.9365301251570708,0.9359233732594208,0.0134794090897841,0.9935743953342572,0.1697616827113442,0.9915737695742098,0.9105641067453696,0.0852812019287825,0.8409017307338152,0.999505656584268,0.9494319596813666,0.5751583192807305,0.8440619137180579
5,scMVP-louvain,3000,30000,0.5908550724637681,0.0251918770729089,0.8394057971014491,0.1739683767565806,0.9972720025129832,0.98397447366123,0.9960566360322396,0.9874082383731446,0.7633376811594204,0.0099965817373133,0.994427536231884,0.1217471645482256,0.9495297611449444,0.8877609816170424,0.0823822129857062,0.8943989080225592,0.9993992947072456,0.9568986264962906,0.5587477467940606,0.8723000624674271
6,multivi-louvain,15517,323264,0.964028699705699,0.0478248114970677,0.991654314622672,0.353394522137011,0.9885794133006218,0.8858419488847264,0.9888850292660992,0.9365301251570708,0.9359233732594208,0.0134794090897841,0.9935743953342572,0.1697616827113442,0.9915737695742098,0.9105641067453696,0.0852812019287825,0.8409017307338152,0.999505656584268,0.9494319596813666,0.5751583192807305,0.8440619137180579
7,scMVP-louvain,3000,30000,0.5908550724637681,0.0251918770729089,0.8394057971014491,0.1739683767565806,0.9974052442713004,0.9842917717200969,0.9962691835014288,0.988661420023672,0.7633376811594204,0.0099965817373133,0.994427536231884,0.1217471645482256,0.9439926321356272,0.8760730328322607,0.084769340694994,0.893630411798853,0.999413015354364,0.9583403801353308,0.5630421463799399,0.8712590150929543
8,multivi-louvain,15517,323264,0.964028699705699,0.0478248114970677,0.991654314622672,0.353394522137011,0.9885794133006218,0.8858419488847264,0.9888850292660992,0.9365301251570708,0.9359233732594208,0.0134794090897841,0.9935743953342572,0.1697616827113442,0.9915737695742098,0.9105641067453696,0.0852812019287825,0.8409017307338152,0.999505656584268,0.9494319596813666,0.5751583192807305,0.8440619137180579
9,scMVP-louvain,3000,30000,0.5908550724637681,0.0251918770729089,0.8394057971014491,0.1739683767565806,0.9982325059115912,0.986236551589858,0.9974799033131138,0.9890054928770868,0.7633376811594204,0.0099965817373133,0.994427536231884,0.1217471645482256,0.9499929870110096,0.8860772075025016,0.0833493935704452,0.8944876575479477,0.9993861598128496,0.953822290074891,0.5627700792174376,0.8727040739026775
