,method,Output,nCell,graph_connectivity,ARI,AMI,graph_cLISI
0,cobolt-louvain,Embedding,34774.0,0.8498152765901876,0.1909553536546395,0.4493410044975396,0.9640819515332496
1,MOFA2-louvain,Embedding,34774.0,0.929300021046686,0.2860129260535544,0.5249346369124919,0.9672939514611922
2,multigrate-louvain,Embedding,34774.0,0.9440754733537084,0.3871696906260035,0.5791765766844587,0.9746088752947863
3,multivi-louvain,Embedding,34774.0,0.873398987934307,0.285829006254173,0.5228334743656706,0.970315489951006
4,scMDC-louvain,Embedding,34774.0,0.967772550740867,0.4626393140880083,0.6744788891450977,0.9874932576576502
5,scMVP-louvain,Embedding,34774.0,0.9602885418978478,0.3236243861722401,0.5609764790919161,0.9623538044962447
6,SeuratV4,Graph,34774.0,0.9726712463944324,0.4640298785261729,0.6915013671748543,0.9925136162042718
7,uniPort-louvain,Embedding,34774.0,0.2274173143351554,-5.679274063586605e-05,0.0012707892131582,0.7054020223561852
8,cobolt-louvain,Embedding,34774.0,0.8612274928379413,0.1994648664657197,0.4407264000612736,0.9640819530622764
9,MOFA2-louvain,Embedding,34774.0,0.929300021046686,0.2860129260535544,0.5249346369124919,0.9672939514611922
10,multigrate-louvain,Embedding,34774.0,0.9440754733537084,0.3871696906260035,0.5791765766844587,0.9746088752947863
11,multivi-louvain,Embedding,34774.0,0.873398987934307,0.285829006254173,0.5228334743656706,0.970315489951006
12,scMDC-louvain,Embedding,34774.0,0.9705018583057292,0.5123158368512177,0.6927209336119916,0.9883363772011634
13,scMVP-louvain,Embedding,34774.0,0.9587821348432952,0.3485818413269387,0.560238467780557,0.9620328427183192
14,SeuratV4,Graph,34774.0,0.9726712463944324,0.4640298785261729,0.6915013671748543,0.9925136162042718
15,uniPort-louvain,Embedding,34774.0,0.2274173143351554,-5.679274063586605e-05,0.0012707892131582,0.7054020223561852
16,cobolt-louvain,Embedding,34774.0,0.8507505417220808,0.2107620231523803,0.4415130321536695,0.962262463906767
17,MOFA2-louvain,Embedding,34774.0,0.929300021046686,0.2860129260535544,0.5249346369124919,0.9672939514611922
18,multigrate-louvain,Embedding,34774.0,0.9440754733537084,0.3871696906260035,0.5791765766844587,0.9746088752947863
19,multivi-louvain,Embedding,34774.0,0.873398987934307,0.285829006254173,0.5228334743656706,0.970315489951006
20,scMDC-louvain,Embedding,34774.0,0.9694804448264968,0.4463777947984222,0.6721673073813041,0.9877766807402198
21,scMVP-louvain,Embedding,34774.0,0.9620320892733208,0.3550539099440009,0.5538229332909786,0.963382883493352
22,SeuratV4,Graph,34774.0,0.9726712463944324,0.4640298785261729,0.6915013671748543,0.9925136162042718
23,uniPort-louvain,Embedding,34774.0,0.2274173143351554,-5.679274063586605e-05,0.0012707892131582,0.7054020223561852
24,cobolt-louvain,Embedding,34774.0,0.8730686991808052,0.1873714065719939,0.4531985726704109,0.9642931004559224
25,MOFA2-louvain,Embedding,34774.0,0.929300021046686,0.2860129260535544,0.5249346369124919,0.9672939514611922
26,multigrate-louvain,Embedding,34774.0,0.9440754733537084,0.3871696906260035,0.5791765766844587,0.9746088752947863
27,multivi-louvain,Embedding,34774.0,0.873398987934307,0.285829006254173,0.5228334743656706,0.970315489951006
28,scMDC-louvain,Embedding,34774.0,0.9728940227115396,0.4727124285466633,0.6819119325325756,0.9891742559766904
29,scMVP-louvain,Embedding,34774.0,0.9554155910187956,0.3973023914096676,0.5951191140350767,0.9706130562841624
30,SeuratV4,Graph,34774.0,0.9726712463944324,0.4640298785261729,0.6915013671748543,0.9925136162042718
31,uniPort-louvain,Embedding,34774.0,0.2274173143351554,-5.679274063586605e-05,0.0012707892131582,0.7054020223561852
32,cobolt-louvain,Embedding,34774.0,0.8685943984977719,0.2099451451340113,0.4532181079825736,0.9608452897294943
33,MOFA2-louvain,Embedding,34774.0,0.929300021046686,0.2860129260535544,0.5249346369124919,0.9672939514611922
34,multigrate-louvain,Embedding,34774.0,0.9440754733537084,0.3871696906260035,0.5791765766844587,0.9746088752947863
35,multivi-louvain,Embedding,34774.0,0.873398987934307,0.285829006254173,0.5228334743656706,0.970315489951006
36,scMDC-louvain,Embedding,34774.0,0.9720732286195708,0.4872340763404123,0.6778335853798165,0.9880834528940008
37,scMVP-louvain,Embedding,34774.0,0.956607413926682,0.417311199664459,0.5914895213119292,0.9697278102670904
38,SeuratV4,Graph,34774.0,0.9726712463944324,0.4640298785261729,0.6915013671748543,0.9925136162042718
39,uniPort-louvain,Embedding,34774.0,0.2274173143351554,-5.679274063586605e-05,0.0012707892131582,0.7054020223561852
