,method,rna_n_features,atac_n_features,rna_raw_nzero_ratio_celltype,rna_raw_nzero_ratio_cell,rna_knn_nzero_ratio_celltype,rna_knn_nzero_ratio_cell,rna_raw_celltype_cor,rna_raw_cell_cor,rna_knn_celltype_cor,rna_knn_cell_cor,atac_raw_nzero_ratio_celltype,atac_raw_nzero_ratio_cell,atac_knn_nzero_ratio_celltype,atac_knn_nzero_ratio_cell,atac_raw_celltype_auprc,atac_raw_celltype_auroc,atac_raw_cell_auprc,atac_raw_cell_auroc,atac_knn_celltype_auprc,atac_knn_celltype_auroc,atac_knn_cell_auprc,atac_knn_cell_auroc,RNA,ATAC
0,DCCA-louvain,3000,33857.0,0.9075454545454544,0.0856297901020605,0.9823636363636364,0.5298272674754477,0.8892104003531892,0.5809509890872123,0.8997425774668627,0.816729725394003,0.7255811205954456,0.0352180886454049,0.9517529609829576,0.282938715619899,0.9275298135872624,0.8291313403094471,0.2129704524911778,0.8636469489245495,0.9902356060262014,0.8654282606311661,0.7596477911040708,0.864067583935867,R10,A10
1,multivi-louvain,12290,99809.0,0.9060359494045418,0.088654373251092,0.974509948960722,0.5357590419098627,0.8445981049394401,0.6758954482271956,0.8598985695509288,0.8444157895422624,0.7459083212572377,0.035117047564314,0.9499976773819816,0.2906506858486769,0.9033474794434104,0.7445509921011619,0.193457316298863,0.8297615755591452,0.9825025457168304,0.7616578300951609,0.7027152876236435,0.809578572096258,R10,A10
2,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.9432360858815836,0.5747101732980353,0.9476961308193884,0.6401154690762124,,,,,,,,,,,,,R10,A10
3,scMVP-louvain,3000,30000.0,0.8786969696969696,0.0677970344694781,0.983409090909091,0.4822198632774889,0.9823694537982904,0.8418403828207314,0.9729874975170134,0.8927561288827256,0.7238454545454547,0.0299434816098593,0.9531757575757578,0.2632810851145772,0.9190138686537214,0.8308697508624104,0.1700611862513243,0.8464200407998653,0.9894745264115152,0.8680906551109593,0.6482164731706644,0.8201617634753986,R10,A10
4,DCCA-louvain,3000,33297.0,0.8492424242424242,0.0758177835547853,0.9622727272727274,0.4250214230695166,0.8505210366403243,0.5977381863338991,0.8620421761215589,0.8238444354106148,0.7136528816409887,0.0321845438911428,0.9433746419961396,0.2672159317434166,0.9274874572679216,0.8445294386802544,0.2071946430211081,0.8673850426973644,0.9900070026885982,0.888835022909533,0.7491219791659355,0.8687515344820523,R25,A25
5,multivi-louvain,13277,115386.0,0.8856943312769175,0.0825716120278888,0.9684005833738454,0.5041990995143388,0.859561315960756,0.6890788598181584,0.87660393327,0.8620303732440541,0.7168862458498982,0.0309992257370015,0.9368321822562374,0.2619836857740492,0.9077642451206122,0.7907262485362622,0.1950332139827805,0.8561416130672433,0.9821302097886836,0.8144412379155429,0.718652091502453,0.8450721832809787,R25,A25
6,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.9531673195545276,0.7147855110019022,0.9567213398835333,0.8225571147744072,,,,,,,,,,,,,R25,A25
7,scMVP-louvain,3000,30000.0,0.862090909090909,0.0580928172539957,0.9835,0.4429441074523397,0.9868072607190578,0.890475928546245,0.9827785407765876,0.9467473672823432,0.7229727272727273,0.0304122279992297,0.9584318181818184,0.2657609041016753,0.9348279337408406,0.8655826815771482,0.1669775476184916,0.862111692933999,0.9935619501592404,0.9040961359721122,0.6940832782341767,0.8512205656074264,R25,A25
8,DCCA-louvain,3000,33217.0,0.8356969696969699,0.0801878971692663,0.9592878787878786,0.4201772097053726,0.817071605379492,0.5842370406538864,0.8257460664876608,0.8116880122281328,0.707291173468131,0.0309721352128982,0.9418000640416874,0.2609163563157778,0.929432414998054,0.8581657853988367,0.2045852102683051,0.8724432798687022,0.990754404360004,0.9018731970487928,0.7484135500923331,0.875322210367657,R50,A50
9,multivi-louvain,13426,116432.0,0.8813665479463186,0.0816950659123597,0.9666589927278144,0.4994099500671374,0.9043140949246268,0.7271029157816385,0.9210565922995726,0.909047284986815,0.7142194585680912,0.0307443791173681,0.9354890720451736,0.260028744770268,0.9219550311773272,0.8332493375538345,0.1990583448358638,0.8676293755092201,0.9864828232285924,0.869701837980834,0.7412575566591053,0.8663732661210441,R50,A50
10,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.966770935176524,0.7697546961517319,0.9711420350578936,0.9116824572918656,,,,,,,,,,,,,R50,A50
11,scMVP-louvain,3000,30000.0,0.8494090909090907,0.0553478239938378,0.9717575757575758,0.4164248507606393,0.9846738385506256,0.8906731264896283,0.985391175307729,0.9516258685128888,0.7237030303030303,0.031381744656268,0.9528,0.2679785673021375,0.9424485216816612,0.884606502512992,0.1672656528878135,0.8687660481392566,0.9938214267242972,0.9245341252046624,0.7283848071585105,0.8692676997157444,R50,A50
12,DCCA-louvain,3000,33250.0,0.8363333333333334,0.0825912285769304,0.955818181818182,0.4248991912189486,0.7904100991801187,0.5680895113415745,0.7972996438716532,0.7852336480984662,0.7048571428571428,0.0306228005021218,0.9414121667805876,0.2585188404286279,0.9288041061950368,0.8574692839577736,0.2049306161915016,0.8727329478219528,0.990903680191823,0.9062881288938808,0.7464456125434124,0.8755466110476737,R75,A75
13,multivi-louvain,13431,116475.0,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.8950828555515183,0.7171924168185523,0.9114506768032676,0.8990626566345552,0.7140599816581787,0.0307335547170897,0.9355300591231048,0.2600314604495699,0.9268940995418244,0.8492808308236701,0.2001881684937578,0.8707730742671035,0.988078146478494,0.8891459088219399,0.747470270604153,0.8728828794201186,R75,A75
14,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.966755600056482,0.7767078498270541,0.9696145701615978,0.9123337797086524,,,,,,,,,,,,,R75,A75
15,scMVP-louvain,3000,30000.0,0.8428030303030304,0.0549507510109763,0.9732272727272728,0.4049069901790872,0.9854778562343228,0.896275281475069,0.978582333545196,0.9576857627745482,0.722990909090909,0.0319909012131716,0.9560257575757576,0.2706425621028308,0.93984665685083,0.8891854585782094,0.1325675756839219,0.8504826507545279,0.994156513388448,0.9253848409426126,0.6756792877057501,0.8570801051766703,R75,A75
16,DCCA-louvain,3000,33626.0,0.8328636363636364,0.0831394184479106,0.952469696969697,0.4237617947236665,0.7777119123481295,0.5613816784071332,0.7896458011104276,0.77593879816446,0.7040331345333427,0.0300797516007031,0.9399842113516056,0.2558663315638091,0.9291062401244534,0.8605001487979531,0.2051819149728601,0.871541911404069,0.99062581282047,0.9067907720987974,0.741801509807476,0.8738855159177341,R100,A100
17,multivi-louvain,13431,116483.0,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.8964714703678499,0.7268690170680759,0.9126174956059422,0.9089730484874624,0.7140265493286964,0.0307315096641396,0.9362275259831124,0.2600278763686569,0.9296305076271096,0.8583964101906351,0.2006250529604767,0.8721145498254256,0.9891046583345604,0.8995773416822618,0.7499637838140115,0.8756680222088858,R100,A100
18,scMVAE-louvain,13431,,0.8811805795276871,0.0816654487680169,0.9665191111472105,0.4992647875112032,0.96382415356858,0.771029141021874,0.9675074028443756,0.9129750662455598,,,,,,,,,,,,,R100,A100
19,scMVP-louvain,3000,30000.0,0.8391515151515151,0.055424610051993,0.9651212121212122,0.4001984402079722,0.983011073838686,0.8919338319046537,0.9769487708738928,0.953769143032921,0.7234666666666667,0.0321861496244945,0.9475984848484847,0.2718039379934527,0.943847084843302,0.893144973952809,0.1316330031948697,0.8509927140418303,0.9936649127484176,0.9295026895156976,0.674732043538936,0.8593588087579034,R100,A100
