,method,Output,nCell,Batch_ASW_batch,Batch_ASW_site,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,RNA,ATAC
0,cobolt-louvain,Embedding,6924.0,0.8222609717860072,0.8568740243826715,0.896878247048532,0.9437452534268976,0.2840247677054315,0.4171647079543091,0.4841995955355873,0.5875180448263438,0.6035655034112856,0.9522522529887428,0.946523131460828,0.4549703821539879,0.5822550132870674,R100,A10
1,DCCA-louvain,Embedding,6924.0,0.8266412115863948,0.8502820185688894,0.9365817519274798,0.9703755007226034,0.2358455107770952,0.4564150240698807,0.4218334114903637,0.6687591593822946,0.631999921657277,0.9744481838229814,0.9804106368110242,0.5363349728286266,0.5768459662795067,R100,A10
2,MOFA2-louvain,Embedding,6924.0,0.8464383859711854,0.8620131908655314,0.9328124325434188,0.9515130064423656,0.2834440362122497,0.3994174579989911,0.3950422045228248,0.6242884683012755,0.5998709631218896,0.9635554189192004,0.963034131497728,0.5694558024406433,0.6179286539554596,R100,A10
3,multigrate_batch-louvain,Embedding,6924.0,0.8568038927689017,0.9286409836968786,0.9225247036820916,0.924728404445964,0.4418874243515377,0.620678357764504,0.5690929813226874,0.7477595826895842,0.7065936250890664,0.9792278449285328,0.9819217224914188,0.455442875623703,0.407348096370697,R100,A10
4,multigrate-louvain,Embedding,6924.0,0.8339936557817715,0.9126511807452782,0.9297446295872406,0.9529313589057072,0.344553458399764,0.5808829118813688,0.4996107270710724,0.7159899237436266,0.6686885029068977,0.9777539381962508,0.9799837234646974,0.4604622200131416,0.49032340105623,R100,A10
5,multivi_batch-louvain,Embedding,6924.0,0.7961397841800466,0.8634866536018988,0.8993602987267909,0.9351111854214906,0.3021785903460069,0.3239192930321319,0.3495296301606501,0.5671649596530762,0.5717968321074907,0.95139547103841,0.9339221290157088,0.5985754430294037,0.5314564667642117,R100,A10
6,multivi-louvain,Embedding,6924.0,0.7651338668863716,0.8453740161946773,0.8302063783950943,0.8924765878804912,0.2829028582110306,0.3242462827722866,0.3299411369525767,0.5451056819041962,0.5462577295878113,0.950172529123384,0.9360715243580944,0.4119313806295395,0.5391523018479347,R100,A10
7,scAI-louvain,Embedding,6924.0,0.8795043792777488,0.8331783729238955,0.9448791534842644,0.9578306017119356,0.2110223162459751,0.4876124308036346,0.4715757153309289,0.7014081072285865,0.6669717591792113,0.9805336444224984,0.983449310457794,0.6715619564056396,0.5599428303539753,R100,A10
8,scDEC-louvain,Embedding,6924.0,0.8729011852119487,0.8762980824519705,0.9135530944493132,0.9084145050385856,0.2341289574651685,0.3586652695083706,0.4216062387124841,0.6012172596954835,0.6052780997745025,0.957616054334688,0.9625471462896996,0.6384616792201996,0.4470717459917068,R100,A10
9,scMDC-louvain,Embedding,6924.0,0.8663220331471002,0.9057894518983836,0.961189493759148,0.938998514570814,0.2735385354541423,0.6012351611045358,0.5883022973385217,0.7209779777213442,0.6980909745303244,0.981169334685472,0.9826759836930248,0.3851821944117546,0.4945198614150285,R100,A10
