"","method","Output","nCell","graph_connectivity","ARI","AMI","RNA","ATAC"
"1","MOFA2","Embedding",34774,0.73862666095736,0.183322402066764,0.329221320847852,"R10","A10"
"2","multigrate","Embedding",34774,0.504573912738634,0.0680268907637585,0.140145372362456,"R10","A10"
"3","multivi","Embedding",34774,0.284828871401573,0.0037039282867781,0.00778783664287644,"R10","A10"
"4","scMVP","Embedding",34774,0.666452170699631,0.120574427943375,0.204959177809652,"R10","A10"
"5","uniPort","Embedding",34774,0.207357694220729,0.000246105390265615,0.00115639101351276,"R10","A10"
"6","cobolt","Embedding",34774,0.813008313887136,0.205039817958486,0.433418068733502,"R10","A100"
"7","MOFA2","Embedding",34774,0.903242255416084,0.33367337800771,0.51111149387012,"R10","A100"
"8","multigrate","Embedding",34774,0.756634223560318,0.194724654706266,0.355738941537048,"R10","A100"
"9","multivi","Embedding",34774,0.756361628466291,0.184955218464149,0.42680552429951,"R10","A100"
"10","scMDC","Embedding",34774,0.793907125941785,0.166490889677242,0.280141265362988,"R10","A100"
"11","scMVP","Embedding",34774,0.883139905173318,0.280610446589034,0.444271353089152,"R10","A100"
"12","uniPort","Embedding",34774,0.230713825278969,7.35401954141677e-05,0.000847569091959139,"R10","A100"
"13","cobolt","Embedding",34774,0.826200615641186,0.232741302101726,0.439826984486224,"R100","A10"
"14","MOFA2","Embedding",34774,0.933875037797493,0.347830366272061,0.565414379550765,"R100","A10"
"15","multigrate","Embedding",34774,0.933461249390175,0.371695942878904,0.570872663204029,"R100","A10"
"16","multivi","Embedding",34774,0.539376135390344,0.111087290901929,0.375312945491972,"R100","A10"
"17","scMVP","Embedding",34774,0.952567710941515,0.332965110444422,0.549661046887787,"R100","A10"
"18","uniPort","Embedding",34774,0.214795738209696,-0.000223610209419773,0.0015146129137211,"R100","A10"
"19","cobolt","Embedding",34774,0.847434592972007,0.185408580204219,0.441229853328633,"R100","A100"
"20","MOFA2","Embedding",34774,0.929300021046686,0.286012926053554,0.524934636912492,"R100","A100"
"21","multigrate","Embedding",34774,0.944075473353708,0.387169690626004,0.579176576684459,"R100","A100"
"22","multivi","Embedding",34774,0.873398987934307,0.285829006254173,0.522833474365671,"R100","A100"
"23","scMDC","Embedding",34774,0.968789311598633,0.457605101871832,0.668985890475451,"R100","A100"
"24","scMVP","Embedding",34774,0.953392586294532,0.354215010336577,0.551793336297572,"R100","A100"
"25","SeuratV4","Graph",34774,0.972671246394432,0.464029878526173,0.691501367174854,"R100","A100"
"26","uniPort","Embedding",34774,0.227417314335155,-5.67927406358661e-05,0.00127078921315821,"R100","A100"
"27","cobolt","Embedding",34774,0.834068922073474,0.242338332867174,0.448422935002656,"R100","A25"
"28","MOFA2","Embedding",34774,0.939762573315555,0.336146955689519,0.569801607301953,"R100","A25"
"29","multigrate","Embedding",34774,0.9446427889696,0.376100369275741,0.584093070521261,"R100","A25"
"30","multivi","Embedding",34774,0.733547168485662,0.178078527230903,0.459645767788657,"R100","A25"
"31","scMDC","Embedding",34774,0.970249397840066,0.438249383940579,0.661190090081637,"R100","A25"
"32","scMVP","Embedding",34774,0.959487403252113,0.345376167975432,0.546424117650762,"R100","A25"
"33","uniPort","Embedding",34774,0.227021938347568,-0.00097293884178972,0.000483993149922656,"R100","A25"
"34","cobolt","Embedding",34774,0.858662086225043,0.231931033085665,0.456883470052178,"R100","A50"
"35","MOFA2","Embedding",34774,0.937908701310206,0.3455103149424,0.561249185587771,"R100","A50"
