V1	c500	c1k	c5k	c10k	c50k	c100k	c500k
bindSC	01:34.3	01:26.4	08:17.8	15:47.6	27:01.9	59:54.3	NA
GLUE	38:48.9	37:43.0	38:07.8	32:29.5	55:46.6	01:54:08	19:12:33
LIGER_INMF	01:09.5	01:03.3	05:13.6	10:28.6	40:36.1	02:12:08	NA
LIGER_OINMF	00:18.5	00:15.7	01:35.6	02:00.2	03:24.3	00:21:16	NA
LIGER_UINMF	00:44.3	01:00.7	09:05.9	18:02.9	01:48:43	04:51:50	NA
MaxFuse	3:01.04	05:45.4	20:44.2	24:02.7	01:16:30	04:52:03	NA
MultiMAP	00:52.4	00:48.1	03:00.1	03:41.7	12:17.8	NA	NA
pamona	00:35.3	00:51.2	09:18.2	48:19.4	70:12:31	NA	NA
SCALEX	13:32.5	11:07.0	06:35.4	05:58.8	07:11.2	09:35.0	NA
SeuratV3_CCA	00:51.8	01:04.2	07:07.1	11:23.5	24:36.0	05:05:59	NA
SeuratV4_RPCA	01:01.2	01:45.6	04:36.5	10:18.2	54:03.6	04:12:40	NA
SIMBA	17:17.3	20:00.4	22:49.6	27:17.1	01:19:44	06:34:11	NA
unionCom	01:28.7	02:10.9	27:25.3	01:43:16	NA	NA	NA
uniPort	09:36.8	23:27.7	24:54.1	22:01.7	00:21:39	00:27:32	NA
