V1	label	time	mem	GPU	data_size
cobolt	c500	0:20.60	4.057GB	2017MB	500
cobolt	c1k	1:25.20	5.102GB	2017MB	1000
cobolt	c5k	9:54.27	5.613GB	2017MB	5000
cobolt	c10k	13:48.58	6.121GB	2019MB	10000
cobolt	c50k	41:34.83	11.122GB	2017MB	50000
cobolt	c100k	2:23:01	16.579GB	2021MB	1e+05
cobolt	c500k	NA	NA		5e+05
DCCA	c500	6:59.77	9.218GB	6861MB	500
DCCA	c1k	10:38.04	12.258GB	8363MB	1000
DCCA	c5k	17:08.04	33.895GB	21051MB	5000
DCCA	c10k	NA	NA		10000
DCCA	c50k	NA	NA		50000
DCCA	c100k	NA	NA		1e+05
DCCA	c500k	NA	NA		5e+05
MOFA+	c500	3:10.31	2.248GB	NA	500
MOFA+	c1k	9:35.31	4.063GB	NA	1000
MOFA+	c5k	27:05.30	10.808GB	NA	5000
MOFA+	c10k	43:21.18	18.68GB	NA	10000
MOFA+	c50k	2:06:22	100.834GB	NA	50000
MOFA+	c100k	2:57:01	180.377GB	NA	1e+05
MOFA+	c500k	NA	NA	NA	5e+05
Multigrate	c500	1:31.76	4.897GB	1509MB	500
Multigrate	c1k	1:43.84	4.813GB	1509MB	1000
Multigrate	c5k	4:35.47	8.088GB	1511MB	5000
Multigrate	c10k	8:38.30	15.539GB	1517MB	10000
Multigrate	c50k	33:18.37	75.537GB	1513MB	50000
Multigrate	c100k	1:04:37	150.24GB	1513MB	1e+05
Multigrate	c500k	NA	NA		5e+05
MultiVI	c500	0:43.82	7.505GB	5419MB	500
MultiVI	c1k	1:03.35	7.587GB	5421MB	1000
MultiVI	c5k	3:27.61	8.496GB	5421MB	5000
MultiVI	c10k	6:35.05	9.628GB	5421MB	10000
MultiVI	c50k	19:06.17	21.547GB	5421MB	50000
MultiVI	c100k	37:10.20	41.732GB	5439MB	1e+05
MultiVI	c500k	3:38:16	232.704GB	5421MB	5e+05
scAI	c500	2:44.29	4.475GB	NA	500
scAI	c1k	5:19.24	7.872GB	NA	1000
scAI	c5k	44:23.71	38.353GB	NA	5000
scAI	c10k	2:48:01	80.232GB	NA	10000
scAI	c50k	NA	NA	NA	50000
scAI	c100k	NA	NA	NA	1e+05
scAI	c500k	NA	NA	NA	5e+05
scDEC	c500	35:12.55	3.384GB	443MB	500
scDEC	c1k	34:47.32	3.878GB	443MB	1000
scDEC	c5k	39:42.37	14.819GB	443MB	5000
scDEC	c10k	47:15.22	28.998GB	443MB	10000
scDEC	c50k	2:19:57	142.327GB	443MB	50000
scDEC	c100k	1:09:39	208.731GB	443MB	1e+05
scDEC	c500k	NA	NA		5e+05
scMDC	c500	0:54.38	4.923GB	1959MB	500
scMDC	c1k	3:49.04	4.952GB	1979MB	1000
scMDC	c5k	8:37.04	16.713GB	2099MB	5000
scMDC	c10k	12:43.45	32.214GB	2365MB	10000
scMDC	c50k	45:25.46	156.078GB	4047MB	50000
scMDC	c100k	1:32:34	310.432GB	6171MB	1e+05
scMDC	c500k	NA	NA		5e+05
scMVAE	c500	5:55.23	5.664GB	13435MB	500
scMVAE	c1k	8:22.45	6.266GB	17049MB	1000
scMVAE	c5k	32:59.27	10.423GB	13823MB	5000
scMVAE	c10k	58:05.49	16.804GB	18791MB	10000
scMVAE	c50k	NA	NA		50000
scMVAE	c100k	NA	NA		1e+05
scMVAE	c500k	NA	NA		5e+05
scMVP	c500	0:46.82	5.457GB	2825MB	500
scMVP	c1k	1:03.02	5.802GB	2781MB	1000
scMVP	c5k	2:50.55	8.87GB	2783MB	5000
scMVP	c10k	4:35.72	12.859GB	2783MB	10000
scMVP	c50k	15:43.63	44.484GB	2783MB	50000
scMVP	c100k	30:57.04	85.926GB	2785MB	1e+05
scMVP	c500k	15:41:02	423.815GB	2791MB	5e+05
Seurat v4 WNN	c500	0:47.36	1.494GB	NA	500
Seurat v4 WNN	c1k	1:19.10	1.642GB	NA	1000
Seurat v4 WNN	c5k	5:16.38	3.776GB	NA	5000
Seurat v4 WNN	c10k	8:21.03	7.237GB	NA	10000
Seurat v4 WNN	c50k	1:08:17	62.214GB	NA	50000
Seurat v4 WNN	c100k	3:58:56	206.864GB	NA	1e+05
Seurat v4 WNN	c500k	NA	NA	NA	5e+05
uniPort	c500	1:04:38	5.046GB	1829MB	500
uniPort	c1k	30:52.18	5.147GB	1829MB	1000
uniPort	c5k	8:59.61	6.102GB	1829MB	5000
uniPort	c10k	7:35.70	7.445GB	1829MB	10000
uniPort	c50k	10:02.92	18.259GB	1829MB	50000
uniPort	c100k	10:52.01	33.039GB	1829MB	1e+05
uniPort	c500k	43:34.62	160.224GB	1829MB	5e+05
