V1	c500	c1k	c5k	c10k	c50k	c100k	c500k
bindSC	1.172GB	1.647GB	4.18GB	7.359GB	68.673GB	223.206GB	NA
CiteFuse	0.91GB	1.167GB	7.201GB	24.975GB	NA	NA	NA
MaxFuse	0.416GB	0.49GB	1.069GB	1.956GB	5.79GB	11.13GB	54.3GB
MOFA2	1.293GB	1.421GB	3.649GB	6.683GB	35.414GB	73.069GB	412.212GB
multigrate	3.454GB	3.564GB	5.028GB	8.936GB	42.148GB	NA	NA
SCALEX	5.027GB	5.087GB	5.822GB	5.957GB	10.62GB	16.533GB	72.053GB
sciPENN	5.015GB	5.342GB	6.177GB	6.722GB	13.203GB	21.299GB	80.383GB
scMDC	5.121GB	3.708GB	3.901GB	6.832GB	31.739GB	63.917GB	326.805GB
SeuratV4	0.503GB	0.588GB	1.27GB	3.329GB	57.612GB	216.61GB	NA
totalVI	3.938GB	2.099GB	4.691GB	8.038GB	34.312GB	66.595GB	328.114GB
