V1	c500	c1k	c5k	c10k	c50k	c100k	c500k
bindSC	0:53.99	1:10.03	7:29.27	9:54.89	33:25.32	1:18:42	NA
CiteFuse	0:31.61	0:32.43	5:38.08	15:05.61	NA	NA	NA
MaxFuse	1:37.85	1:14.92	4:54.78	6:48.91	28:39.27	1:17:58	22:02:42
MOFA2	3:02.35	4:40.00	49:49.99	58:42.42	45:04.08	1:42:17	8:56:30
multigrate	2:45.97	3:12.19	4:25.16	8:12.85	34:56.59	NA	NA
SCALEX	27:24.13	22:22.88	8:36.96	8:59.81	9:05.57	12:16.97	54:10.56
sciPENN	1:10.63	0:39.86	1:11.93	4:20.14	6:16.66	10:56.29	49:52.24
scMDC	1:04.58	1:28.40	7:14.01	11:53.43	38:26.89	1:15:04	11:56:54
SeuratV4	0:16.64	0:21.54	1:28.46	4:48.22	46:43.02	3:29:48	NA
totalVI	3:12.37	3:06.21	4:05.51	5:24.09	15:21.45	17:38.16	38:22.45
