V1	c500	c1k	c5k	c10k	c50k	c100k	c500k
cobolt	4.057GB	5.102GB	5.613GB	6.121GB	11.122GB	16.579GB	NA
DCCA	9.218GB	12.258GB	33.895GB	NA	NA	NA	NA
MOFA2	2.248GB	4.063GB	10.808GB	18.68GB	100.834GB	180.377GB	NA
multigrate	4.897GB	4.813GB	8.088GB	15.539GB	75.537GB	150.24GB	NA
multivi	7.505GB	7.587GB	8.496GB	9.628GB	21.547GB	41.732GB	232.704GB
scAI	4.475GB	7.872GB	38.353GB	80.232GB	NA	NA	NA
scDEC	3.384GB	3.878GB	14.819GB	28.998GB	142.327GB	208.731GB	NA
scMDC	4.923GB	4.952GB	16.713GB	32.214GB	156.078GB	310.432GB	NA
scMVAE	5.664GB	6.266GB	10.423GB	16.804GB	NA	NA	NA
scMVP	5.457GB	5.802GB	8.87GB	12.859GB	44.484GB	85.926GB	423.815GB
SeuratV4	1.494GB	1.642GB	3.776GB	7.237GB	62.214GB	206.864GB	NA
uniPort	5.046GB	5.147GB	6.102GB	7.445GB	18.259GB	33.039GB	160.224GB
