V1	c500	c1k	c5k	c10k	c50k	c100k	c500k
cobolt	0:20.60	1:25.20	9:54.27	13:48.58	41:34.83	2:23:01	NA
DCCA	6:59.77	10:38.04	17:08.04	NA	NA	NA	NA
MOFA2	3:10.31	9:35.31	27:05.30	43:21.18	2:06:22	2:57:01	NA
multigrate	1:31.76	1:43.84	4:35.47	8:38.30	33:18.37	1:04:37	NA
multivi	0:43.82	1:03.35	3:27.61	6:35.05	19:06.17	37:10.20	3:38:16
scAI	2:44.29	5:19.24	44:23.71	2:48:01	NA	NA	NA
scDEC	35:12.55	34:47.32	39:42.37	47:15.22	2:19:57	1:09:39	NA
scMDC	0:54.38	3:49.04	8:37.04	12:43.45	45:25.46	1:32:34	NA
scMVAE	5:55.23	8:22.45	32:59.27	58:05.49	NA	NA	NA
scMVP	0:46.82	1:03.02	2:50.55	4:35.72	15:43.63	30:57.04	15:41:02
SeuratV4	0:47.36	1:19.10	5:16.38	8:21.03	1:08:17	3:58:56	4:24:58
uniPort	1:04:38	30:52.18	8:59.61	7:35.70	10:02.92	10:52.01	43:34.62
